Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1011703;Ace Hardware;4;021-5828282;ramdani@acehardware.co.id;www.acehardware.co.id/id;www.se.com;Kawan Lama Building, 5th floorJl. PUri Kencana No. 1Meruya - Kembangan;11610;Jakarta;Jakarta Raya;Indonesia;
1011704;Amien Jaya Elektrik;4;08126975900;;;www.se.com;PEUNAYONGJl.TWK Moh Daudsyah No.69;23122;Banda Aceh;Aceh;Indonesia;
1011705;CV Bina Sapta Tunggal Graha;4;+62315022123;info@bstg.co.id;https://www.bstg.co.id/;www.se.com;Komplek Manyar Megah Indah Plaza, B-15;60284;Surabaya;Jawa Timur;Indonesia;
1011706;PT. Cakramerlindo Pratama;4;+62247607890;marketing@cakramerlindo.com;https://cakramerlindo.com;www.se.com;JL. Puri Anjasmoro Blok H-5/10;50144;Semarang;Jawa Tengah;Indonesia;
1011707;PT. Cordelia Berdikari Elektrik;4;022-73514837;cordelia.be08@gmail.com;;www.se.com;Jl. Suryalaya XIII No. 14;40265;Bandung;Jawa Barat;Indonesia;
1011708;PT. ELEKTRA BARU SUKSES;4;02142885055;raden.has@ebs.co.id;www.ebs.co.id;www.se.com;Ruko Mega Grosir Cempaka Mas Blok J No. 37, Jl. Letjend Suprapto No. 1;10231;Jakarta Pusat;Jakarta Raya;Indonesia;
1011709;PT. LEEGATAMA ANTA RAYA;4;+62778459559;dinen@leegatamaantaraya.com;;www.se.com;Komplek Nagoya Newtown Blok R No. 05;29444;Batam;Kepulauan Riau;Indonesia;
1011710;PT. Mega Cahaya Kadiri;4;(0354)695925;;;www.se.com;Jl. Joyoboyo No.24;64125;Kediri;Jawa Timur;Indonesia;
1011711;PT. SUMBER ABADI PERKASA;4;;sena1378@yahoo.com;;www.se.com;Jl Arif Rahman Hakim No. 36;35214;Bandar Lampung;Lampung;Indonesia;
1011712;PT. TECH DATA ADVANCE SOLUTIONS INDONESIA;4;;;;www.se.com;Jl. Abdul Muis No.40;0;Jakarta;Jakarta Raya;Indonesia;
1011713;Putra Sumber Abadi;4;021-3153232,08158110203;;;www.se.com;Jl. Kramat Raya No. 170, Kel. Kenari Kec. Senen Jakpus;10430;Jakarta Pusat;Jakarta Raya;Indonesia;
1011714;Sarana Energi Investama;4;;marketing@seinvestama.com;https://seinvestama.com/;www.se.com;Green Sedayu Bizpark Blok GS No.51, RT.11/RW06;13910;Jakarta Timur;Jakarta Raya;Indonesia;
1011715;Sari Dewi;4;0361-227998,08123803922;;;www.se.com;Jl. Hasanudin No. 18;;Denpasar Bali;Bali;Indonesia;
1011716;CV Habe Tec;4;+62315031555;sales@habetec.com;www.habetec.com/;www.se.com;Jl. Kertajaya 185F;60282;Surabaya;Jawa Timur;Indonesia;
1011717;Setia Usaha;4;031-5345704,0818881955;;;www.se.com;Pasar Kenari Lama Lt. dasar Blok Aks No 131;10430;Jakarta Pusat;Jakarta Raya;Indonesia;
1011718;Sinar Buana;4;0274-5013531,0811293359;;;www.se.com;Jl. Tino Sidin No. 58, Ngestiharjo, Kasihan, Bantul;55184;Yogyakarta;Yogyakarta;Indonesia;
1011719;Sinar Jaya;4;0812-3124-2373;;;www.se.com;Jl. Basuki Rachmat no 100;68413;Banyuwangi;Jawa Timur;Indonesia;
1011720;Sinar jaya;4;0822-45681877;;;www.se.com;Jl. Stand Pasar Gebang no 15;;Jember;Jawa Timur;Indonesia;
1011721;Sinar Mas;4;031-8912808;;;www.se.com;jl. raya gedangan 90;60000;Sidoarjo;Jawa Timur;Indonesia;
1011722;Sinar Mataram;4;0274-515937,081226991991;;;www.se.com;Jl. Mataram No. 31;55213;Yogyakarta;Yogyakarta;Indonesia;
1011723;Sinar Sahabat;4;031-5619131/031-5673061,08123278869;;;www.se.com;Jl. Mayjend Sungkono No.12;60271;Surabaya;Jawa Timur;Indonesia;
1011724;Sinar Terang Listrik;4;0281-637276;;;www.se.com;Jl. Gatot Subroto No. 46-47;53144;Purwokerto;Jawa Tengah;Indonesia;
1011725;Sri Batam Raya;4;0778-458526;;;www.se.com;Komplek Bumi Indah Blok E. No 9 Nagoya Batam 29432;29432;Batam;Kepulauan Riau;Indonesia;
1011726;Supermarket Elektrik Gunung Sari;4;061-4523560;;;www.se.com;Jalan Gatot Subroto No. 94 ABC;20118;Medan;Sumatera Utara;Indonesia;
1011727;CV LANCAR SEJATI;4;;;;www.se.com;Jln. Yos Sudarso 14/8-10, Timika;99910;Timika;Papua Barat;Indonesia;
1011728;Supermarket Elektrik Gunung Sari;4;061-8225366;;;www.se.com;Jl. Setia Budi (Depan Pizza Hut);20132;Medan;Sumatera Utara;Indonesia;
1011729;Supermarket Elektrik Gunung Sari;4;061-4570108;;;www.se.com;Jl. Surabaya No. 41;20212;Medan;Sumatera Utara;Indonesia;
1011730;Supermarket Elektrik Gunung Sari;4;0761-38669;;;www.se.com;Tuanku Tambusai 407-411. Riau - Pekanbaru;28122;Riau;Sumatera Selatan;Indonesia;
1011731;Teguh Electric;4;024-7600297,0818450003;p3t3r_tan@yahoo.com;;www.se.com;Jl. Puri Anjasmoro E1/19;50144;Semarang;Jawa Tengah;Indonesia;
1011732;Terang Abadi;4;0761-8415799;naga_wijaya@yahoo.com;;www.se.com;Jl. Arengka II No. 89 G - H;28293;Pekanbaru;Riau;Indonesia;
1011733;Terang Jaya Listrik;4;0291-425801,081391884967;;;www.se.com;Jl. Mejobo 15;50199;Kudus;Jawa Tengah;Indonesia;
1011734;Tirtha Surya;4;0361-8476142,0812-3758-0924;;;www.se.com;Jl. Teuku Umar Bar. No.288, Dauh Puri Kauh, Denpasar Barat;80114;DENPASAR;Bali;Indonesia;
1011735;Toko Aldennindo Listrik;4;081225546005;aldennindo@gmail.com;;www.se.com;Jl. Jend Sudirman No. 129, Kroya;53282;Cilacap;Jawa Tengah;Indonesia;
1011736;Toko Bintang Jaya;4;0351-451561,0813-5842-8000;;;www.se.com;Jl. Setia budi Timur 24;;Madiun;;Indonesia;
