Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1012986;AE Partner;4;+37163401817;main@aepartner.lv;www.aepartner.lv;www.se.com;Ganību iela 1/3;LV-3401;Liepaja;;Latvia;
1012987;Aircom Plus LLC;4;;;;www.se.com;Teatra 15/17-7;5401;Daugavpils;;Latvia;
1012988;BN Kurši  - Rīga, Vienības gatve 113;4;+37129747195;vienibasgatve.info@kurshi.lv;www.kurshi.lv;www.se.com;Vienības gatve 113;LV-1058;Riga;;Latvia;
1012989;Mājai un dārzam - Ventspils;4;+37163627202;mdventspils@diana.lv;www.majaiundarzam.lv;www.se.com;Inženieru iela 58b;LV-3601;Ventspils;;Latvia;
1012990;MultiCore SIA;4;;sales@multicore.lv;www.multicore.lv;www.se.com;Dārzciema iela 60;LV-1073;Riga;;Latvia;
1012991;Multisistema Riga SIA;4;+37167333312;salons@ms.lv;www.ms.lv;www.se.com;Kr. Valdemara 25/4;LV1010;Riga;;Latvia;
1012992;Onninen Express;4;+37167819600;infolatvia@onninen.com;www.onninen.com;www.se.com;Dārzciema iela 39;LV-1082;Riga;;Latvia;
1012993;Onninen Express - Liepāja;4;+37129458257;liepaja@onninen.com;www.onninen.com;www.se.com;Satiksmes iela 2;LV-3401;Liepāja;;Latvia;
1012994;Onninen Express - Tīraine;4;+37125652292;tiraine@onninen.com;www.onninen.com;www.se.com;Tīraines iela 15;LV-1058;Rīga;;Latvia;
1012995;Onninen Express - Valmiera;4;+37126557595;valmiera@onninen.com;www.onninen.com;www.se.com;Mūrmuižas iela 14;LV-4201;Valmiera;;Latvia;
1012996;PROELEKTRO;4;+37167373718;proelektro@proelektro.lv;www.proelektro.eu;www.se.com;Mazjumpravas 32;1063;Riga;;Latvia;
1012997;Satema;4;+3715048616;aigars.germanis@satema.lv;www.satema.lv;www.se.com;Akmeņu iela 45;LV-5001;Ogre;;Latvia;
1012998;SEDL;4;+37167555153;info@sedl.lv;www.sedl.lv;www.se.com;Gustava Zemgala gatve 85;LV-1031;Rīga;;Latvia;
1012999;BN Kurši - Daugavpils Filiāle;4;+37165454550;daugavpils.info@kurshi.lv;www.kurshi.lv;www.se.com;Vecstropi, Krāslavas 1, Naujenes pagasts;LV-5451;Daugavpils;;Latvia;
1013000;SIA Adaptive;4;;;https://www.adaptive.lv/;www.se.com;Skanstes iela 54;LV-1013;Riga;;Latvia;
1013001;Systemax;4;+37120304737;igors@systemax.lv;www.systemax.lv;www.se.com;Katlakalna iela 9 A;LV-1073;Rīga;;Latvia;
1013002;WALDI SIA;4;+37125244849;waldi@inbox.lv;https://www.waldi.lv;www.se.com;Lidonu iela 3A-114;1067;Riga / Lettland;;Latvia;
1013003;BN Kurši - Dobeles Filiāle;4;+37163725154;dobele.info@kurshi.lv;www.kurshi.lv;www.se.com;Liepājas šoseja 19b;LV-3701;Dobele;;Latvia;
