Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1013151;3D Networks Sdn Bhd;4;;;;www.se.com;TA-9-1 Level 9 Tower A Plaza 33, No.1 Jalan Kemajuan Seksyen 13;46200;Petaling Jaya;Selangor;Malaysia;
1013152;A & S BUILDING TECH. SDN BHD;4;+603-78802710;;www.asbtsb.com.my;www.se.com;17-6, Block C1, Jalan PJU 1/41, Dataran Prima;47301;Petaling Jaya;Selangor;Malaysia;
1013153;Afiintra Technologies Sdn Bhd;4;;;;www.se.com;THE BOULEVARD, MID VALLEY CITY, LINGKARAN SYED PUTRA,;59200;Kuala Lumpur;Kuala Lumpur;Malaysia;
1013154;INGRAM MICRO MALAYSIA SDN BHD**;4;;syaharul.akmal@ingrammicro.com;my.ingrammicro.com;www.se.com;Lot 4A, 4th Floor, Wisma Academy, Jalan 19/1;46100;Petaling Jaya;Selangor;Malaysia;
1013155;Innovix Distribution;4;;cytee@innovix.com.my;;www.se.com;6th Floor, Wisma Prosper, Block B, Kelana Centre Point, No. 3, Jalan SS7/19, Kelana Jaya,;47301;Petaling Jaya;Selangor;Malaysia;
1013156;INTAJ HOLDINGS SDN BHD;4;+60378057707;nazliabr@intaj.com.my;;www.se.com;UNIT NO. 3A01, BLOCK A, LOBBY A,KOMPLEKS KELANA CENTRE POINT,NO. 3, JALAN SS 7/19, KELANA JAYA,PETALING JAYA,;47301;Selangor Darul Ehsan;;Malaysia;
1013157;INTER XS SDN BHD;4;+60389122645;pakrul@interxs.com.my;www.interxs.com.my;www.se.com;C-11-2, PLAZA PARAGON POINT;43650;BANDAR BARU BANGI;Selangor;Malaysia;
1013158;INTERLINX AUTOMATION SDN. BHD.;4;;;;www.se.com;78, JALAN BP5/11, TAMAN INDUSTRY BANDAR BUKIT PUCHONG,,;47100;Puchong;;Malaysia;
1013159;INTO SOLUTIONS SDN. BHD.;4;;;;www.se.com;UNIT 607, 608 & 609, BLOCK D, DATARAN USAHAWAN KELANA,,NO.17, JALAN SS7/26, KELANA JAYA,;47301;Petaling Jaya;Selangor;Malaysia;
1013160;IS SOLUTIONS AND CONSULTANCY SDN BHD;4;6046466923;;;www.se.com;PLOT 110, HALA KAMPUNG JAWA 2,;11900;Bayan Lepas;Pahang;Malaysia;
1013161;IT GENERATION ENTERPRISE;4;;it.generation@yahoo.com;;www.se.com;108 Batu 13;21600;MARANG;Trengganu;Malaysia;
1013162;IT HOMES;4;60168898186;;;www.se.com;Boulevard Shopping Complex, TF 1.23 & 1.24,;98000;Miri;Sarawak;Malaysia;
1013163;ITECH System Engineering Sdn Bhd;4;;;;www.se.com;NO.2-B, Jalan BPU 8,;47100;Puchong;Selangor;Malaysia;
1013164;AIMS Motion Technology Sdn Bhd;4;6046262090;;;www.se.com;No.3 Solok Beringin, Off Jln Permatangan Damar Laut;11900;Bayan Lepas;Pahang;Malaysia;
1013165;ITECH SYSTEM ENGINEERING SDN BHD;4;0123351726;koksh@itech.com.my;www.itech.com.my;www.se.com;2, Jalan Bpu 8, Kawasan Perniagaan Bandar Puchong Utama, 47100 Puchong, Selangor, Malaysia;47100;Selangor;Selangor;Malaysia;
1013166;ITWin Technology Sdn Bhd;4;;chinhl@itwin.asia;;www.se.com;100 Jalan RosMerah 2/17;81100;Johor Bahru;Johor;Malaysia;
1013167;J & J ELECTRICAL TRADING SDN BHD;4;60380791323;;;www.se.com;29G, Jalan OP1/6, Pusat Perdagangan One Puchong,;47160;Puchong;Selangor;Malaysia;
