Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1013388;AEI del Carmen Suc. Cancun;4;(998)2832405;cancun@aei.mx;https://aei.mx;www.se.com;Km 21 Carretera Cancún-Puerto Morelos,;77500;Cancun;Quintana Roo;Mexico;
1013389;Aei Mérida;4;(999)9412353;merida@aei.mx;https://aei.mx;www.se.com;Calle 60 Diagonal 483 A x 59.;97300;Mérida;Yucatán;Mexico;
1013390;Coel Tapachula;4;(962)1180901;ventas@coeltapachula.com;www.grupocoel.com.mx;www.se.com;Av. Central Sur 75 Entre 6a. y 9a Poniente;30700;Tapachula;Chiapas;Mexico;
1013391;Grupo Coel;4;(461)613-5573;ventas@coelcelaya.com;www.coel.com.mx;www.se.com;Blvd Adolfo Lopez Mateos 1116;36070;Celaya;Guanajuato;Mexico;
1013392;Grupo Coel;4;(55)91260600;ctames@tecnoelectrica.com.mx;www.coel.com.mx;www.se.com;Avenida 1ro de Mayo No. 229;53519;Naucalpan;Estado de México;Mexico;
1013393;Grupo Coel;4;(771)153-3204;ventas1@coelhidalgo.com;www.coel.com.mx;www.se.com;Boulevard Everardo Marquez No.413;42080;Pachuca;Hidalgo;Mexico;
1013394;Grupo Eléctrico del Noroeste;4;6677145216;luis_gmo_99@yahoo.com;www.grupoelectrico.com.mx;www.se.com;Av 16 De Septiembre Num 1660;80129;Culiacán;Sinaloa;Mexico;
1013395;Grupo Maseel;4;(656)62-03-231;ventasmaseel@gmail.com;www.grupomaseel.com;www.se.com;Ramiro Diaz Blvd Zaragoza 6951;32690;Ciudad Juárez;Chihuahua;Mexico;
1013396;HOME DEPOT;4;;;;www.se.com;Nogalar 130 Sur ColCuauhtemoc San Nicolas de Los Garza;66452;Monterrey;Nuevo Léon;Mexico;
1013397;HOME DEPOT  MEXICO  S. DE R.L. DE C.V.;4;;;;www.se.com;López Mateos Y Simona Barba No. 1365Col. Melchor Ocampo;32380;Ciudad Juárez;Chihuahua;Mexico;
1013398;HOME DEPOT  MEXICO  S. DE R.L. DE C.V.;4;;;;www.se.com;Paseo De Los Triunfadores No. 3200Col. Las Cumbres 8 Sector;64610;Monterrey;Nuevo Léon;Mexico;
1013399;HOME DEPOT  MEXICO S. DE R.L. DE C.V.;4;;;;www.se.com;Calzada Del Hueso No. 670Col. Los Robles Coyoacán;4870;México;Ciudad de Mexico;Mexico;
1013400;HOME DEPOT  MEXICO S. DE R.L. DE C.V.;4;;;;www.se.com;Av. Chapultepec No. 210Col. Colinas Del Parque;78299;San Luis Potosí;San Luis Potosí;Mexico;
1013401;Coel Veracruz;4;2299319939;coel7@hotmail.com;www.grupocoel.com.mx;www.se.com;Paso Y Troncoso 658;91700;Veracruz;Veracruz;Mexico;
1013402;HOME DEPOT (SUC.CULIACAN 8708);4;;;;www.se.com;Bvd. Emiliano Zapata No. 2546 Int. PTE Col. El Ballado;80110;Culiacán;Sinaloa;Mexico;
1013403;HOME DEPOT 8088 Queretaro 2;4;;;;www.se.com;Carr Humilpan Esq Plaza Zimapa No. S/NCol. Plazas El Sol 3Ra Secc;76099;Querétaro;Querétaro;Mexico;
1013404;HOME DEPOT 8646 CUATLA-MOR;4;;;;www.se.com;AvFerrocarril y carretera Federal a Cuernavaca, fraccVolcanes de Cuautla, Cuautla, Morelos / 627;62757;Cuautla;Morelos;Mexico;
1013405;Home Depot 8661 Santa fe;4;;;;www.se.com;Vasco de Quiroga & Manuel Sandoval , Col. La Rosita;05340;Mexico;Ciudad de Mexico;Mexico;
1013406;HOME DEPOT 8701 TORRES;4;;;;www.se.com;Av. Lázaro Cárdenas No. 2800-BCol. Balcones Del Mirador;64790;Monterrey;Nuevo Léon;Mexico;
1013407;HOME DEPOT 8778  Celaya;4;;;;www.se.com;Av. Tecnologico No. 698-DCol. Ciudad Industrial;38010;Celaya;Guanajuato;Mexico;
