Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1013604;Bakker Elektrotechniek B.V.;4;;;;www.se.com;Stationsstraat 1a;9414 TH;HOOGHALEN;Drenthe;Netherlands;
1013605;Besselink Electro Import B.V.;4;;;;www.se.com;Leemansweg 98;6827 BX;ARNHEM;Gelderland;Netherlands;
1013606;Ingram Micro B.V.;4;;suraj.panchoe@ingrammicro.com;;www.se.com;Papendorpseweg 95;3528 BJ;Utrecht;Utrecht;Netherlands;
1013607;Technische Unie B.V. - VK Emmen;4;;;;www.se.com;Tweede Bokslootweg 10;7821 AS;EMMEN;;Netherlands;
1013608;Technische Unie B.V. - VK Enschede;4;;;;www.se.com;De Giem 35;7547 SW;ENSCHEDE;;Netherlands;
1013609;Technische Unie B.V. - VK Gouda;4;;;;www.se.com;Marconistraat 36;2809 PE;GOUDA;;Netherlands;
1013610;Technische Unie B.V. - VK Haarlem;4;;;;www.se.com;Conradweg 30;2031 CM;HAARLEM;;Netherlands;
1013611;Technische Unie B.V. - VK Helmond;4;;;;www.se.com;Schootense Loop 8;5708 HX;HELMOND;;Netherlands;
1013612;Technische Unie B.V. - VK Hilversum;4;;;;www.se.com;Nieuwe Havenweg 43;1216 BK;HILVERSUM;;Netherlands;
1013613;Technische Unie B.V. - VK Leeuwarden;4;;;;www.se.com;Zuiderkruisweg 1;8938 AP;LEEUWARDEN;;Netherlands;
1013614;Technische Unie B.V. - VK Leiden;4;;;;www.se.com;Flevoweg 16;2318 BZ;LEIDEN;;Netherlands;
1013615;Technische Unie B.V. - VK Maastricht;4;;;;www.se.com;Sleperweg 39;6222 NK;MAASTRICHT;;Netherlands;
1013616;Technische Unie B.V. - VK Middelburg;4;;;;www.se.com;Arnesteinweg 65;4338 PD;MIDDELBURG;;Netherlands;
1013617;Itsme (Hoofdkantoor);4;;;;www.se.com;STEURWEG 2;4941 VR;RAAMSDONKSVEER;Noord-Brabant;Netherlands;
1013618;Technische Unie B.V. - VK Nieuwegein;4;;;;www.se.com;Liesbosch 88;3439 LC;NIEUWEGEIN;;Netherlands;
1013619;Technische Unie B.V. - VK Nijmegen;4;;;;www.se.com;Mercuriusstraat 1;6541 BM;NIJMEGEN;;Netherlands;
1013620;Technische Unie B.V. - VK Oud-Gastel;4;;;;www.se.com;Argon 31;4751 XC;OUD-GASTEL;;Netherlands;
1013621;Technische Unie B.V. - VK Sloterdijk;4;;;;www.se.com;Dynamostraat 5;1014 BN;AMSTERDAM;;Netherlands;
1013622;Technische Unie B.V. - VK Spaanse Polder;4;;;;www.se.com;Schuttevaerweg 76;3044 BB;ROTTERDAM;;Netherlands;
1013623;Technische Unie B.V. - VK Tilburg;4;;;;www.se.com;Dr. A. Philipsweg 3;5026 RK;TILBURG;;Netherlands;
1013624;Technische Unie B.V. - VK Utrecht;4;;;;www.se.com;Hudsondreef 32;3565 AV;UTRECHT;;Netherlands;
1013625;Technische Unie B.V. - VK Venlo;4;;;;www.se.com;Alerbeemdweg 25;5928 PV;VENLO;;Netherlands;
1013626;Technische Unie B.V. - VK Watergraafsmeer;4;;;;www.se.com;H.J.E. Wenckebachweg 171;1096 AM;AMSTERDAM;;Netherlands;
1013627;Technische Unie B.V. - VK Westland;4;;;;www.se.com;Zilverstraat 100;2544 EL;DEN HAAG;;Netherlands;
1013628;Itsme - Amsterdam;4;;;;www.se.com;Gyroscoopweg 108;1042 AX;AMSTERDAM;Noord-Holland;Netherlands;
1013629;Technische Unie B.V. - VK Zaandam;4;;;;www.se.com;Gerrit Kiststraat 23;1506 SZ;ZAANDAM;;Netherlands;
1013630;Technische Unie B.V. - VK Zwolle;4;;;;www.se.com;Loggerweg 5;8042 PG;ZWOLLE;;Netherlands;
1013631;Technische Unie B.V. VK Charlois;4;;;;www.se.com;Driemanssteeweg 106;3084 CB;ROTTERDAM;;Netherlands;
1013632;Van Egmond Elektrogroothandel - BARENDRECHT;4;;;;www.se.com;Bijdorp West 57-59;2992 LC;BARENDRECHT;Zuid-Holland;Netherlands;
1013633;Van Egmond Elektrogroothandel - VEGHEL;4;;;;www.se.com;Eisenhowerweg 11;5466 AB;VEGHEL;Noord-Brabant;Netherlands;
1013634;Van Egmond Elektrogroothandel - WEERT;4;;;;www.se.com;Copernicusstraat 9;6003 DE;WEERT;Limburg;Netherlands;
