Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1014314;Advania Norge AS;4;;;;www.se.com;Ole Deviksvei 6c;0666;Oslo;Oslo;Norway;
1014315;Agder Industri-Automasjon As;4;38125570;;;www.se.com;NARVIGA 7;4633;KRISTIANSAND S;;Norway;
1014316;Atea as;4;;rune.gasbakk@atea.no;www.atea.no;www.se.com;Karvesvingen 5;0579;Oslo;;Norway;
1014317;Otra Norge AS - Rud;4;;;;www.se.com;Baker Ostbys vei 16;1351;RUD;;Norway;
1014318;Otra Norge AS - Sandefjord;4;;;;www.se.com;Uranienborgveien 1 B;3217;SANDEFJORD;;Norway;
1014319;Otra Norge AS - Stavanger;4;;;;www.se.com;Auglendsmyra 6;4016;STAVANGER;;Norway;
1014320;Otra Norge AS - Tromso;4;;;;www.se.com;Rektor Hortsgt.21;9009;TROMSO;;Norway;
1014321;Otra Norge AS - Trondheim;4;;;;www.se.com;Nardoveien 10;7032;TRONDHEIM;;Norway;
1014322;Pec Installasjon AS;4;33377000;installasjon@pec.no;;www.se.com;Halfdan Wilhelmsens Alle 48;3117;TØNSBERG;;Norway;
1014323;Pettersson & Gjellesvik AS - Bergen;4;55549000;;;www.se.com;C. Sundts Gate 52;5004;BERGEN;;Norway;
1014324;Rogaland Elektro - Hovedkontor;4;51855000;post@rogalandelektro.no;www.rogalandelektro.no;www.se.com;AUGLENDSMYRÅ 5;4016;STAVANGER;;Norway;
1014325;ROGALAND INDUSTRI-AUTOMASJON AS;4;;agu@ria.no;;www.se.com;HAUGÅSSTUBBEN 5;4016;STAVANGER;;Norway;
1014326;ROGALAND INDUSTRI-AUTOMASJON AS;4;51906130;agu@ria.no;;www.se.com;HAUGÅSSTUBBEN 5;4016;STAVANGER;;Norway;
1014327;AVANTI ENGINEERING AS MO I RANA;4;;avanti@avantieng.no;www.avantieng.no;www.se.com;Midtre gate 10;8624;MO I RANA;;Norway;
1014328;Ronning Elektro AS;4;51828000;ronningelektro@ronning.el.no;;www.se.com;ZETLITZVEIEN 2;4017;STAVANGER;;Norway;
1014329;Sigum Fagerberg AS;4;+4795266280;tov@sifag.no;www.sigumfagerberg.no/;www.se.com;Billingstadsletta 19 B;1396;Billingstad;;Norway;
1014330;Sigum Fagerberg AS;4;+4795266280;tov@sifag.no;www.sigumfagerberg.no/;www.se.com;Billingstadsletta 19 B;1396;Billingstad;;Norway;
1014331;Skaaret AS;4;62585880;ronny@skaaret.as;www.skaaret.as;www.se.com;Elgfaret 55;2335;Stange;;Norway;
1014332;Solar Norge AS - Drammen;4;63946400;support@solarengros.no;www.solarnorge.no;www.se.com;Valhallavegen 8;2060;GARDERMOEN;;Norway;
1014333;Solar Norge AS - Hamar;4;63946400;support@solarengros.no;www.solarnorge.no;www.se.com;Valhallavegen 8;2060;GARDERMOEN;;Norway;
1014334;Solar Norge AS - Hovedkontor;4;63946400;support@solarengros.no;www.solarnorge.no;www.se.com;Valhallavegen 8;2060;GARDERMOEN;;Norway;
1014335;Solar Norge AS - Oslo;4;63946400;support@solarengros.no;www.solarnorge.no;www.se.com;Valhallavegen 8;2060;GARDERMOEN;;Norway;
1014336;Solar Norge AS - Skien;4;63946400;support@solarengros.no;www.solarnorge.no;www.se.com;Valhallavegen 8;2060;GARDERMOEN;;Norway;
1014337;Solar Norge AS - Stavanger;4;63946400;support@solarengros.no;www.solarnorge.no;www.se.com;Valhallavegen 8;2060;GARDERMOEN;;Norway;
1014338;Bergen Elektrokompetanse AS;4;004799523288;frode@bekas.no;bekas.no/;www.se.com;Kokstadveien 44;5257;KOKSTAD;;Norway;
1014339;Sonnico Elektro AS;4;4090;;;www.se.com;BRYNSVEIEN 12;667;OSLO;;Norway;
1014340;Sterk Elektro;4;22071050;;;www.se.com;Smalvollveien 44;667;OSLO;;Norway;
1014341;Svensgaard Installasjon AS;4;62417500;;;www.se.com;Svartbekkvegen 20;2411;ELVERUM;;Norway;
1014342;Sætren AS;4;;;;www.se.com;Gate 1;6700;MALOY;;Norway;
1014343;Tech Nordic AS;4;;frank@technordic.no;www.technordic.no;www.se.com;Høgberget 42;7606;Levanger;Nord-Trøndelag Fylke;Norway;
1014344;Tromso Elektromekaniske (TEMEK) AS;4;;;;www.se.com;Ramfjordnesvegen 229;9021;TROMSDALEN;;Norway;
1014345;Trysil Elektro AS;4;62454490;post@trysilelektro.no;www.trysilelektro.no;www.se.com;Storvegen 27;2420;TRYSIL;;Norway;
1014346;ULVESUND ELEKTRO AS;4;57855080;geir@ulvesund-elektro.no;;www.se.com;Deknepollen;6718;DEKNEPOLLEN;;Norway;
1014347;Varhaugs Diesel Elektro AS;4;51605670;;www.varhaugs.no;www.se.com;Bedriftsveien 24;4313;Sandnes;Rogaland Fylke;Norway;
1014348;Vestby Elektro-Service AS;4;;firmapost@vesas.no;www.vesas.no;www.se.com;Vestbyveien 29;1540;VESTBY;;Norway;
1014349;Bergen Elektroservice AS;4;55207940;firmapost@bergenelektroservice.no;;www.se.com;Inndalsveien 61;5063;BERGEN;;Norway;
1014350;Øra Elektro as;4;;;;www.se.com;Industrivegen 45;6600;Sunndalsøra;Møre og Romsdal F.;Norway;
1014351;Bergen Elteknikk AS;4;40005740;firmapost@bergen-elteknikk.no;;www.se.com;Totlandsvegen 2;5224;NESTTUN;;Norway;
1014352;Berggard Amundsen & Co AS - Drammen;4;;;;www.se.com;SYRETÅRNET 27;3048;DRAMMEN;;Norway;
1014353;Berggard Amundsen & Co AS - Fredrikstad;4;69311310;;;www.se.com;Mosseveien 3 A;1610;FREDRIKSTAD;;Norway;
1014354;Berggard Amundsen & Co AS - Hamar;4;62540400;;;www.se.com;Strandvegen 131;2316;HAMAR;;Norway;
1014355;Berggard Amundsen & Co AS - Hovedkontor;4;;;;www.se.com;Grenseveien 10;1406;SKI;;Norway;
1014356;Berggard Amundsen & Co AS - Lillestrom;4;63806590;;;www.se.com;Svelleveien 29;2004;LILLESTRØM;;Norway;
1014357;Ahlsell Norge AS - Bergen;4;51818500;info@ahlsell.no;www.ahlsell.no;www.se.com;BROBEKKVEIEN 80 A;582;OSLO;;Norway;
1014358;Berggard Amundsen & Co AS - Oslo;4;23036300;;;www.se.com;Enebakkveien 150;680;OSLO;;Norway;
1014359;Blåsmo Elektro AS;4;;;www.blasmoelektro.com;www.se.com;Bekkfaret 7;7300;Orkagner;;Norway;
1014360;Bluetec AS;4;;;;www.se.com;Wergelandsvei 17;3117;Tønsberg;;Norway;
1014361;Brattvåg Elektro AS - Brattvåg;4;70208100;office@brattvaag-electro.no;www.brattvaag-electro.no;www.se.com;Skjelt-Ole Bakken 1;6270;BRATTVÅG;;Norway;
1014362;Bravida Norge AS - Hovedkontor;4;24048000;bravida@braida.no;www.bravida.no;www.se.com;Østre Aker Vei 90;596;OSLO;;Norway;
1014363;Bryne Elektriske AS;4;51779200;post@bryne-elektriske.no;;www.se.com;Vesthagen 9;4344;BRYNE;;Norway;
1014364;Caverion Askim;4;69887777;jan.barli@caverion.com;;www.se.com;Askimveien 936;1811;Askim;Østfold Fylke;Norway;
1014365;EAS/Elektro & Automasjon Systemer AS;4;;;;www.se.com;Ashaugveien 62;3170;SEM;Vestfold Fylke;Norway;
1014366;ECS Automation AS;4;;;;www.se.com;Industriveien 2;4344;Bryne;;Norway;
1014367;Egersund Elektro AS;4;51463939;;;www.se.com;Mosbekk Plass 7;4370;EGERSUND;;Norway;
1014368;Ahlsell Norge AS - Flekkefjord;4;;;;www.se.com;Sundegaten 5;4400;FLEKKEFJORD;;Norway;
1014369;El Installasjon Lillehammer AS;4;61256050;post@el-installasjon.no;www.elinstallasjon.com;www.se.com;Industrigata 35;2619;LILLEHAMMER;;Norway;
1014370;EL-24 Ensiko AS;4;41242424;oddbjorn.vad@el-24.no;www.el-24.no;www.se.com;Bankgata 14;6200;Stranda;;Norway;
1014371;El-Experten AS;4;51496000;post@el-experten.no;www.el-experten.no;www.se.com;Gamle Sokndalsveien 38;4372;EGERSUND;;Norway;
1014372;Elcam AS;4;62555350;kib@elcam.no;www.elcam.no;www.se.com;Birkebeinervegen 26;2316;Hamar;Hedmark Fylke;Norway;
1014373;Elcor AS - Stavanger;4;51951500;post@elcor.no;;www.se.com;GAMLE FORUSVEIEN 12 C;4031;STAVANGER;;Norway;
1014374;Elektriker'n Ringsaker AS;4;62340271;;;www.se.com;Fossåkeren 1;2390;MOELV;;Norway;
1014375;Elektrisk Byra AS - Bodo;4;75586030;firmapost@tavlebygger.com;www.tavlebygger.com;www.se.com;Tjeldberget 4;8012;BODØ;;Norway;
1014376;Elektroskandia AS - Hamar;4;81559824;;;www.se.com;Vangsvegen 111;2318;HAMAR;;Norway;
1014377;Elektroskandia AS - Hovedkontor;4;23143000;;www.elektroskandia.no;www.se.com;Alfasetveien 11;668;OSLO;;Norway;
1014378;Elektroskandia AS - Skien;4;81559827;;;www.se.com;Nensetbakken 20;3736;SKIEN;;Norway;
