Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1014445;A&A Corporation SAC;4;949430060;ventascorporativas@tecnologiaideal.com;www.tecnologiaideal.com;www.se.com;Av. España 2350 - CC. Boulevard 2° Nivel O-08;044;Trujillo;La Libertad;Peru;
1014446;A&C Facture Soft SAC;4;;mcampos@facturesoft.pe;www.facturesoft.pe/;www.se.com;Jr. Cutervo 1818 Int. P-503;Lima 01;Lima;Lima y Callao;Peru;
1014447;ANIXTER  PERU S.A.C;4;+5114151000;milene.cardenas@anixter.com;www.anixter.com;www.se.com;CALLE ONTARIO 157 LA CAMPIÑA CHORRILLOS;15056;LIMA;Lima y Callao;Peru;
1014448;Intcomex Perú SAC;4;(01)7165005;mariella.garcia@intcomex.com;www.intcomex.com;www.se.com;Calle Los Negocios 448 Surquillo;51;Lima;Lima y Callao;Peru;
1014449;INTELECTRIC  S.A.C.;4;;;;www.se.com;JR. VENUS NRO. 1176 URB. LA LUZ (EN;LIMA  01;CERCADO, LIMA;Lima y Callao;Peru;
1014450;INTELECTRIC S.A.C.;4;(01)3375177/985570546/944247512;ventas@intelectric.com.pe;;www.se.com;JR. VENUS NRO. 1176 URB. LA LUZ (ENTRE BERTELLO Y MARIANO CORNEJO) CERDADO DE LIMA - LIMA - PERU;1;LIMA;Lima y Callao;Peru;
1014451;Intelligent Peru SAC;4;51989669146;rodolfo.campos@intelligent.pe;;www.se.com;Asoc. Los Pinos Mz C Lt 22;01;Lima;Lima y Callao;Peru;
1014452;INTER SERVICE EIRL;4;+34512658698;jdavila@isperu.com;www.isperu.com;www.se.com;CALJULIO CTELLO NRO215 D;PE;LIMA;Lima y Callao;Peru;
1014453;Interconnect Peru SAC;4;;informes@ix.pe;;www.se.com;Av. La Molina 1110 of. 203;15023;Lima;Lima y Callao;Peru;
1014454;Inversiones Interamericanas S. A.;4;933819382;rlucero@interamsa.com;www.interamsa.com;www.se.com;Av. Tomas Marsano 2119, Surquillo;05101;Lima;Lima y Callao;Peru;
1014455;IT SERVICE SAC;4;5114110200;sol@itservice.com.pe;;www.se.com;Calle Coronel Inclan 914;18;Lima;Lima y Callao;Peru;
1014456;ItnovaTec;4;;jorge.avila@itnovatec.com;www.itnovatec.com;www.se.com;Km. 27 Pan. Norte Condominio Ciudad Verde;12345;Lima;Lima y Callao;Peru;
1014457;J&P Hardware y Software SRL.;4;999702581;ploayza@jphys.com;;www.se.com;Jr. Natalio Sanchez 220 Of. 503 - Jesus Maria;;Lima;Lima y Callao;Peru;
1014458;ASTEL PERU;4;931975908;augusto.stucchi@grupo-astel.com;www.grupo-astel.com;www.se.com;Jr. Mariscal Castilla 630 San Miguel;;Lima;Lima y Callao;Peru;
1014459;JZ INGENIEROS S.A.C.;4;+51964398602;jreategui@jzingenieros.com;www.jzingenieros.com;www.se.com;Av. General Arenales 395 Ofc. 507;15072;Jesús María;Lima y Callao;Peru;
1014460;KROTON;4;(01)6111200;;www.kroton.com.pe;www.se.com;Av. Petit Thouars 3460;San Isidro;Lima;Lima y Callao;Peru;
1014461;KUAXAR SYSTEMS S.A.C.;4;51-1-4800385;ventas@kuaxar.com;www.kuaxar.com;www.se.com;Calle German Schreiber 276. San Isidro, Lima27, Perú;;Lima;Lima y Callao;Peru;
1014462;LSF Electronics;4;7342998;lsfelectronics@gmail.com;www.lsfelectronics.com;www.se.com;Los Eucaliptos 547- Urb. Jardines Virú- Bellavista- Callao;Callao-02;Lima;Lima y Callao;Peru;
1014463;M. ELECTRO S.A.;4;(01)2051717;melectro@melectro.com.pe;www.melectro.com.pe;www.se.com;JR. VICTOR REYNEL NRO. 797 Z.I. CONDE DE LAS TORRES, ESQUINA AV. ARGENTINA CUADRA 20;1;LIMA;Lima y Callao;Peru;
1014464;Macron Technologies del Perú SAC;4;511999200707;jrodriguez@macrontech.com;;www.se.com;Av. Parque de Las Leyendas N° 210 - Oficina 704-A,;lima 21;Lima;Lima y Callao;Peru;
1014465;MAESTRO PERU - AREQUIPA LAMBRAMANI;4;(01)6310310;;www.maestro.com.pe;www.se.com;Av. Lambramani con Av. Los Incas;054;Arequipa;Arequipa;Peru;
1014466;MAESTRO PERU - CUSCO;4;(01)6310310;;www.sodimac.com.pe/;www.se.com;Prolongación Av. De La Cultura cdra. 19;0;Cusco;Cuzco;Peru;
1014467;MAESTRO PERU AMAZONIA S.A.C.;4;(01)6310310;;www.sodimac.com.pe/;www.se.com;Jr. Salvador Allende s/n (ingresando por Aduanas) - Pucallpa;22;PUCALLPA;Loreto;Peru;
1014468;MAESTRO PERU S.A - CHACARILLA;4;(01)6310310;;www.maestro.com.pe;www.se.com;AV. CAMINOS DEL INCA NRO.116MZ.ALT.2 URB. CHACARILLA;33;LIMA;Lima y Callao;Peru;
1014469;AUTOMATIZACION Y MONTAJES ELECTRICOS S. R. L.;4;(074)491947-959363542;ventas@atmelsrl.com;;www.se.com;P. J. FERNANDO BELAUNDE TERRY MZ ,I,, LT 27;;CHICLAYO;Lambayeque;Peru;
1014470;MAESTRO PERU S.A - COLONIAL;4;(01)6310310;;www.maestro.com.pe;www.se.com;Av. Colonial 769. Cercado de Lima;1;LIMA;Lima y Callao;Peru;
1014471;MAESTRO PERU S.A - COMAS;4;(01)6310310;;www.maestro.com.pe;www.se.com;ComasCruce de Trapiche con Av. Los Incas - Comas;1;LIMA;Lima y Callao;Peru;
1014472;MAESTRO PERU S.A - NARANJAL;4;(01)6310310;;www.maestro.com.pe;www.se.com;Av. Alfredo Mendiola 5118. Los Olivos;1;LIMA;Lima y Callao;Peru;
1014473;MAESTRO PERU S.A - PUENTE PIEDRA;4;(01)6310310;;www.maestro.com.pe;www.se.com;Av. San Juan de Dios con Calle 7 (Alt. Bypass Puente Piedra - Pan. Norte Km. 30);1;LIMA;Lima y Callao;Peru;
1014474;MAESTRO PERU S.A - TRUJILLO;4;(01)6310310;;www.sodimac.com.pe/;www.se.com;AV. AMERICA SUR NRO. 1451 URB. SANTO DOMINGO;;TRUJILLO;La Libertad;Peru;
1014475;MAESTRO PERU S.A - VENTANILLA;4;(01)6310310;;www.maestro.com.pe;www.se.com;Av. Precursores cdra. 10 (al costado del colegio Kumamoto);1;LIMA;Lima y Callao;Peru;
1014476;MAESTRO PERU S.A -INDEPENDENCIA;4;(01)6310310;;www.maestro.com.pe;www.se.com;Panamericana Norte con Tómas Valle. Independencia;1;LIMA;Lima y Callao;Peru;
1014477;MAESTRO PERU S.A. - CALLAO;4;(01)6310310;;www.maestro.com.pe;www.se.com;Av. Argentina 2842 (1/2 cuadra de Minka);1;LIMA;Lima y Callao;Peru;
1014478;MAESTRO PERU S.A. - HUANCAYO;4;(01)6310310;;www.sodimac.com.pe/;www.se.com;Av. Huancavelica 221 - El Tambo;16;HUANCAYO;Junín;Peru;
1014479;MAESTRO PERU S.A. - Piura;4;(01)6310310;;www.sodimac.com.pe/;www.se.com;Esquina de la Av. Sánchez Cerro con Chulucana;;Piura;Piura;Peru;
1014480;B2B Consultores Asociados SAC;4;;administracion@b2bconsultores.com;www.b2bconsultores.com;www.se.com;Jiron Francisco Lazo 1604, Oficina 201 Lince;15046;Lima;;Peru;
1014481;MAESTRO PERU S.A. - PUEBLO LIBRE;4;(01)6310310;;www.maestro.com.pe;www.se.com;Av. Universitaria con Av. La Mar (Al frente del C.C Plaza San Miguel);1;LIMA;Lima y Callao;Peru;
1014482;MAESTRO PERU S.A. - Sullana;4;(01)6310310;;www.sodimac.com.pe/;www.se.com;Cruce Av. Buenos Aires con Jorge Chávez - Sullana;;Sullana;Piura;Peru;
1014483;MAESTRO PERU SA - ATE;4;(01)6310310;;www.maestro.com.pe/;www.se.com;Av. La Molina 378 - Ate;3;LIMA;Lima y Callao;Peru;
1014484;MAESTRO PERU SA - CHINCHA;4;(01)6310310;;www.maestro.com.pe;www.se.com;Av. San Idelfonso S/N ( 5 esquinas) - sunampe - Chincha;11;Lima;Lima y Callao;Peru;
1014485;MAESTRO PERU SA - CHORRILLOS;4;(01)6310310;;www.maestro.com.pe;www.se.com;CC Plaza Lima Sur, Av. Prolongación Paseo de la República s/n - Urb. Matellini - Chorrillos;9;Lima;Lima y Callao;Peru;
1014486;MAESTRO PERU SA - HUACHO;4;(01)6310310;;www.sodimac.com.pe/;www.se.com;Panamericana Norte Km. 27 -(Costado de Redondos);1;HUACHO;Lima y Callao;Peru;
