Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1014819;ABCOLD Spólka Jawna;4;;;;www.se.com;Lakowa 7A;90-562;Lódz;Lodzkie;Poland;
1014820;AC/DC Electric Artykuly Elektrotechniczne;4;+48586614849;;;www.se.com;Morska 107/109;81-222;Gdynia;;Poland;
1014821;AMPER S.C. Rafal Zydowski, Norbert Kublik;4;+48598102462;;;www.se.com;Koscielna 2;76-100;Slawno;Zachodnio-Pomorskie;Poland;
1014822;Castorama Polska Sp. z o.o.;4;+48757555100;;;www.se.com;Jana Pawla II 11;58-506;Jelenia Góra;Dolnoslaskie;Poland;
1014823;PW Elektro-Hurt;4;+48438220996;;;www.se.com;Polskiej Organizacji Wojskowej 60;98-200;Sieradz;Lodzkie;Poland;
1014824;PW MET-EL Hurt Detal Ireneusz Wroblewski;4;+48552327037;;;www.se.com;Radomska 25;82-300;Elblag;;Poland;
1014825;ROMAN BARTOSZEWSKI P.H.U. APARATEX;4;0;;;www.se.com;Pradzynskiego 1,;63-400;Ostrów Wielkopolski;Wielkopolskie;Poland;
1014826;RZESZOWSKA CENTRALA MATERIAloW BUDOWLANYCH S.A.;4;+48825454400;;;www.se.com;Rampa Brzeska 14 A;22-100;Chelm;Lubelskie;Poland;
1014827;Salon Budowlany KRAM Sieniccy Spolka Jawna;4;+48913824439;;;www.se.com;Paderewskiego 27;72-400;Kamien Pomorski;;Poland;
1014828;SAMBUD Sp.J. Waldemar Brzus, Marian Darczuk, Slawomir Zgnilec;4;+48846821084;;;www.se.com;Zamojska 27;22-460;Szczebrzeszyn;Lubelskie;Poland;
1014829;SAS Salon Oswietlenia;4;+48833426043;;;www.se.com;Sidorska 2K;21-500;Biala Podlaska;Lubelskie;Poland;
1014830;SCHIMA Sp. z o. o.;4;+48713398915;;;www.se.com;Koscielna 6;52-314;Wroclaw;Dolnoslaskie;Poland;
1014831;SEA - Przedsiebiorstwo Wielobranzowe Ambroziak Adam Jozef;4;+48227567389;;;www.se.com;Jana Pawla 62;05-500;Piaseczno;Mazowieckie;Poland;
1014832;SELTAR;4;+48158223369;;;www.se.com;Sklodowskiej-Curie 12A;39-400;Tarnobrzeg;Podkarpackie;Poland;
1014833;Castorama Polska Sp. z o.o.;4;+48324695100;;;www.se.com;Zjednoczonej Europy 26;44-240;Zory;Slaskie;Poland;
1014834;Shemeck Sp. z o.o.;4;+48222442392;;;www.se.com;Czerwonych Beretów 14;00-910;Warszawa;Mazowieckie;Poland;
1014835;Sklad Techniczny Iwona Kasza;4;+48618755823;;;www.se.com;Krancowa 5;61-037;Poznan;Wielkopolskie;Poland;
1014836;Sklep Elektroniczno-Elektryczny Zieleniewicz;4;+48426809765;;;www.se.com;Zarzewska 8;93-184;Lódz;Lodzkie;Poland;
