Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1015887;A Electrificadora;4;229998860;geral@a-electrificadora.pt;;www.se.com;Rua de Almeiriga, 586;4450-801;Leça da Palmeira;Porto;Portugal;
1015888;A ELECTRIFICADORA;4;;;;www.se.com;Rua de gondezende;3885-500;Esmoriz;Porto;Portugal;
1015889;BIFASE;4;255781172;filial@bifase.com;www.bifase.com;www.se.com;Rua de São José, 800;4580-119;Paredes;Porto;Portugal;
1015890;REXEL LEIRIA;4;244890310;ag_leiria@rexel.pt;www.rexel.pt;www.se.com;Estr. Fig. da Foz - Cond. Almoinha Parque, nº 164;2400-003;Leiria;Leiria;Portugal;
1015891;REXEL LOURES;4;219382320;ag_povoa@rexel.pt;www.rexel.pt;www.se.com;Av. Salgado Zenha, 9;2660-327;Loures;Lisboa;Portugal;
1015892;REXEL LUMIAR;4;217545500;ag_lumiar@rexel.pt;www.rexel.pt;www.se.com;R. Luís Pastor de Macedo, lote 13;1769-003;Lumiar;Lisboa;Portugal;
1015893;REXEL MAIA;4;229470480;ag_maia@rexel.pt;www.rexel.pt;www.se.com;Zona Industrial Maia I- Sector X - Rua de José Maria Carvalho Ramos Lote 378;4470-407;Maia;Porto;Portugal;
1015894;REXEL PORTO;4;226167090;ag_porto@rexel.pt;www.rexel.pt;www.se.com;Rua Delfim Ferreira, 679;4100-201;Porto;Porto;Portugal;
1015895;REXEL SEIXAL;4;212269980;ag_msul@rexel.pt;www.rexel.pt;www.se.com;R. Gervásio Lobato, 9, Casal do Marco;2840-426;Seixal;Setubal;Portugal;
1015896;REXEL TORRES VEDRAS;4;261334900;ag_torresvedras@rexel.pt;www.rexel.pt;www.se.com;R, Dr. Ricardo Belo, 6;2560-324;Torres Vedras;Lisboa;Portugal;
1015897;REXEL VISEU;4;232950050;ag_viseu@rexel.pt;www.rexel.pt;www.se.com;Estrada Nacional Nº.2 - Vila Chã de Sá;3510-936;Vila Chã de Sá;Viseu;Portugal;
1015898;Rexel, S.A.;4;;;;www.se.com;Rua do Entreposto Industrial nº3;2610-183;Alfragide;Lisboa;Portugal;
1015899;Rexel, Sa;4;;;;www.se.com;Est Fig Foz, 164;2415-766;Leiria;Leiria;Portugal;
1015900;BIFASE - Material Eléctrico e Electrónico, Lda.;4;;;;www.se.com;RUA DOS BOMBEIROS VOLUNTÁRIOS, Nº 233;4590-580;PAÇOS DE FERREIRA;Porto;Portugal;
1015901;REXEL- Building Management;4;;;;www.se.com;Rua Luís Pastor de Macedo Lote 13;1750-156;Lisboa;Lisboa;Portugal;
1015902;RODEL - Rodrigues, Delgado & Cª., S.A.;4;;;;www.se.com;Tv. Pitancinhos, 28, Palmeira PORTUGAL;4700-007;BRAGA;Braga;Portugal;
1015903;RODEL BRAGA;4;253203510;geral@rodel.pt;www.rodel.pt;www.se.com;Tv. Pitancinhos, 28;4700-706;Braga;Braga;Portugal;
1015904;RODEL VIANA DO CASTELO;4;258321590;vianadocastelo@rodel.pt;www.rodel.pt;www.se.com;RUA DAS ROSAS,101 R/C;4935-139;Viana do Castelo;Viana do Castelo;Portugal;
1015905;RODEL VILA REAL;4;259321884;vilareal@rodel.pt;www.rodel.pt;www.se.com;Rua José Teixeira de Mello e Castro, 70;5000-430;Vila Real;Vila Real;Portugal;
1015906;ROLEAR FARO ( SEDE );4;289860330;areal@rolear.pt;www.rolearmais.pt;www.se.com;Parque Rolear - Apart. 530 - Sitio do Areal Gordo;8001-906;Areal Gordo;Faro;Portugal;
1015907;ROLEAR LAGOA;4;282340430;lagoa@rolear.pt;www.rolearmais.pt;www.se.com;Sítio do Passarinho, Estrada do Carvoeiro;8400-428;Lagoa;Faro;Portugal;
1015908;ROLEAR LAGOS;4;282790540;lagos@rolear.pt;www.rolearmais.pt;www.se.com;Urbanização Industrial da Marateca, Lote 3 - Chinicato;8600-314;Lagos;Faro;Portugal;
1015909;ROLEAR MAIS BEJA;4;284311340;beja@rolear.pt;;www.se.com;RUA D AFONSO III;7800-050;Beja;Beja;Portugal;
1015910;ROLEAR PORTIMÃO;4;282430430;portimao@rolear.pt;www.rolearmais.pt;www.se.com;Zona Industrial Coca Maravilhas, Lote 10;8500-483;Portimão;Faro;Portugal;
