Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1016297;"Азия Альянс Сервис";4;;asiaallianceservice@gmail.com;;www.se.com;улица Тургенева д.64 Б, кв. 7;030020;Актобе;Aqtobe;Kazakhstan;
1016298;"ГК ПРАКТИК";4;+7(8332)76-00-22,+7(912)364-64-00;practik-kirov@pr52.ru;www.kirov.pr52.ru;www.se.com;ул. Щорса, д.105;610035;Киров;The Kirov Area;Russian Federation;
1016299;"Минимакс";4;+7(8352)367377;;www.minimaks.ru;www.se.com;Привокзальная, 1/1;428020;Чебоксары;;Russian Federation;
1016300;"ЭТМ" офис продаж;4;(8552)475-151,475-152,475-153;chelny1@chelny.etm.ru;www.etm.ru;www.se.com;ул. Низаметдинова, д. 2;423800;НАБЕРЕЖНЫЕ ЧЕЛНЫ;Tatarstan Republic;Russian Federation;
1016301;Кристалл-Электроцентр;4;(8362)60-00-19;;;www.se.com;Панфилова, 19;424006;Йошкар-Ола;;Russian Federation;
1016302;Кристалл-Электроцентр;4;(8422)73-51-77;;;www.se.com;Пушкарева ул., 8а;432005;Ульяновск;;Russian Federation;
1016303;Кристалл-Электроцентр;4;+78362232233;lev@k-kirov.ru;www.kristall43.ru;www.se.com;ул. Красноармейская, 78а;424031;Йошкар-Ола;Marijskaya Republic;Russian Federation;
1016304;Кристалл-Электроцентр;4;+7(812)241-60-70;;;www.se.com;Московское шоссе, 14/1;196158;Санкт-Петербург;;Russian Federation;
1016305;Кристалл-Электроцентр;4;+78362232223;kuam@k-kirov.ru;www.kristall43.ru;www.se.com;ул.Кирова, 9б;424038;Йошкар-Ола;Marijskaya Republic;Russian Federation;
1016306;Кристалл-Электроцентр;4;(8212)23-91-81;;;www.se.com;Чкалова ул., 28/1;167000;Сыктывкар;;Russian Federation;
1016307;Кристалл-Электроцентр;4;неттелефона;;;www.se.com;Давыдовский 3-й мкр-н, 11;156014;Кострома;;Russian Federation;
1016308;Кристалл-Электроцентр;4;+78422370450;san@k-kirov.ru;www.kristall43.ru;www.se.com;пр-т Ульяновский, 24;432072;Ульяновск;The Ulyanovsk Area;Russian Federation;
1016309;КРОНОС;4;8(800)200-00-27;shop@xbook.ru;;www.se.com;Советская д.42;143909;Балашиха;The Moscow Area;Russian Federation;
1016310;КРЭББИТ;4;+7(495)135-15-10;guschin@crabbit.ru;crabbit.ru;www.se.com;Андроновское шоссе, д.26, стр.3;111024;Москва;;Russian Federation;
1016311;"ЭТМ" офис продаж;4;(8639)21-21-95;vld1@vld.etm.ru;www.etm.ru;www.se.com;ул. Степная, д. 71;347360;ВОЛГОДОНСК;The Rostov Area;Russian Federation;
