Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1018874;3i Solution;4;;;www.3isolution.com;www.se.com;PO BOX 15600;21454;JEDDAH;;Saudi Arabia;
1018875;A Abunayyan Electric Corporation Dammam Branch;4;966038332177;samih-rankousi@dm.abunayyangroup.com;www.abunayyangroup.com;www.se.com;King Abdulaziz St.;D-31422;Al Khobar;;Saudi Arabia;
1018876;Abunayyan Showroom _ Buraidah;4;0540540290;ahmed-fahmi@abunayyangroup.com;;www.se.com;Buraidah;Buraidah;Buraidah;;Saudi Arabia;
1018877;Ghandourah Attijariah Est.;4;966026081575;ghandourah@ghandourah.com;https://ghandourah.com.sa;www.se.com;Indsturial Area;D-11496;Jeddah;;Saudi Arabia;
1018878;Ghandourah Attijariah Est.;4;966026482052;ghandourah@ghandourah.com;https://ghandourah.com.sa;www.se.com;Janoubia- Show room 3;D-11496;Jeddah;;Saudi Arabia;
1018879;Ghandourah Attijariah Est.;4;966026655289;ghandourah@ghandourah.com;https://ghandourah.com.sa;www.se.com;Anwar Center - Baladia Street;D-21462;Jeddah;;Saudi Arabia;
1018880;Ghandourah Attijariah Est. - Dammam Branch;4;966038332427;feroz_khan509@yahoo.com;https://ghandourah.com.sa;www.se.com;Imara St.;D-11496;Al Khobar;;Saudi Arabia;
1018881;Ghandourah Attijariah Showroom _ Dammam 1;4;0503431404;dammam-1@ghandourah.com;https://ghandourah.com.sa;www.se.com;Dammam;Dammam;Dammam;;Saudi Arabia;
1018882;Ghandourah Attijariah Showroom _ Riyadh 2;4;0507461794;riyadh-2@ghandourah.com;https://ghandourah.com.sa;www.se.com;Riyadh;Riyadh;Riyadh;;Saudi Arabia;
1018883;Giza Arabia;4;;;;www.se.com;Olaya;SA;Riyadh;;Saudi Arabia;
1018884;Gulf Computer Services Co. - SPSNET;4;966546777706;abdullah.mahmoud@sps.net.sa;www.gulf.sa;www.se.com;Madina Road - Albawadi;21441;Jeddah;;Saudi Arabia;
1018885;Hesham Alsewedy Showroom _ Dammam;4;0555186215;zulfikhar.aslam@el-sewedy.com;el-sewedy.com/;www.se.com;Dammam;Dammam;Dammam;;Saudi Arabia;
1018886;Hesham Alsewedy Showroom _ Riyadh Ghorabi;4;0550844615;mohamed.shawer@el-sewedy.com;el-sewedy.com/;www.se.com;Riyadh;Riyadh;Riyadh;;Saudi Arabia;
