Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1019554;2 Ezy Technology;4;;support@2ezy.co.za;www.2ezy.co.za;www.se.com;The Energy Shop;7780;Cape Town;Western Cape;South Africa;
1019555;3DR Holding (PTY) Ltd;4;845190596;pat@3dr.co.za;;www.se.com;Postnet suite 1300;2021;Braynston;Gauteng;South Africa;
1019556;AdvanceNet;4;;bretts@advancenet.co.za;;www.se.com;St Peter’s Squere; Waterford Place; Off Witkoppen Road; Paulshof;2128;Johannesburg;Gauteng;South Africa;
1019557;Cooper Power;4;824965674;peter@cooperpower.co.za;cooperpower.co.za;www.se.com;Unit 2 Lincoln Business Park;1459;Jet Park, Gauteng, South Africa;Gauteng;South Africa;
1019558;Copious Industrial Solutions (Pty) Ltd;4;0115932170;dharmendra.singh@cisworld.org;www.cisworld.org;www.se.com;SPACES, 377 Rivonia Boulevard;2157;johannessburg;;South Africa;
1019559;Corner 22;4;0712656734;info@corner22.co.za;corner22.co.za;www.se.com;8086 Sugarbird Crescent;1519;Etwatwa;Gauteng;South Africa;
1019560;Corporate Business Consulting;4;;craig@cbcsa.co.za;www.cbcsa.co.za;www.se.com;22 Magnolia Rd, Primrose Hill;1410;Johannesburg;Gauteng;South Africa;
1019561;Cosmo Power;4;+27818080072;eddie@cosmopower.co.za;https://www.cosmotronics.co.za/;www.se.com;15 Barry Road,Sidwell;6056;Port Elizabeth;Eastern Cape;South Africa;
1019562;CQ Electrical;4;+27129976592;info@cqelectrical.co.za;cqelectrical.co.za/;www.se.com;755 Iberius Street, c/o Wekker & Iberius Streets, Moreleta Park, Ext. 9;0056;Pretoria;Gauteng;South Africa;
1019563;Cronlec Electrical W/S Cape;4;0218414800;marina@cewc.co.za;www.cronleccape.co.za;www.se.com;60 Mynardt Street;7137;Strand;Western Cape;South Africa;
1019564;CT CONTROL SYSTEMS CC;4;+27113139012;info@ctcontrolsystems.co.za;www.ctcontrolsystems.co.za/;www.se.com;55 RICHARDS DRIVE;;MIDRAND;Gauteng;South Africa;
1019565;Daeta International;4;;mashudu@daetaint.com;www.daetaint.com;www.se.com;Cnr 14th Ave & Kessel Street,;2195;Johannesburg;Gauteng;South Africa;
1019566;Data Reticulation cc;4;+27215340202;info@datareticulation.com;datareticulation.com/;www.se.com;75 Haguenot WayPinehurstDurbanville;7475;Cape Town;Western Cape;South Africa;
1019567;AE Soft (Pty) Ltd;4;;nikita@aesoftware.co.za;www.aesoftware.co.za;www.se.com;1st Floor, 43 Sovereign Drive;0178;Pretoria;;South Africa;
1019568;Data-Guardian, L.L.C.;4;27118690015;josec@dataguardian.co.za;www.dataguardian.co.za;www.se.com;75 Mitchell Street;01449;Alberton;;South Africa;
1019569;Databridge Networks;4;+27828445835;darryl.richter@databridge.co.za;www.databridge.co.za;www.se.com;Block B01, 372 Oak Avenue Office Park;2194;Johannesburg;Gauteng;South Africa;
1019570;DCB Drives & Automation;4;+27113962004;clive@dcbautomation.co.za;;www.se.com;44 Sim Road;1630;Kempton Park;Gauteng;South Africa;
1019571;De Brin Electrical Suppliers;4;+27414846172;debrin@webmail.co.za;;www.se.com;12 Short Street, North End;6056;Port Elizabeth;Eastern Cape;South Africa;
1019572;Denwa Engineering PTY LTD;4;+27796920271;denwa@denwa.co.za;www.denwa.co.za;www.se.com;12 All Black Road;1508;Boksburg North;Gauteng;South Africa;
1019573;Desktop Business Solutions cc;4;;wernerb@desktop.co.za;;www.se.com;PO Boix 1006, Edenvale, 1610;1610;Johannesburg;Gauteng;South Africa;
1019574;Devcotech Cc;4;+27(0)861011005;eugene.smith@devcotech.co.za;https://devcotech.co.za/;www.se.com;Winelands Close;7530;CAPE TOWN;Western Cape;South Africa;
1019575;Dexani;4;;sdeklerk@dexani.co.za;www.dexani.co.za;www.se.com;PO Box 11856;ZA;Zwartkops;Gauteng;South Africa;
1019576;Dg Store (pty)  LTD.;4;;helenb@dg.co.za;www.dg.co.za;www.se.com;82 Le Roux Avenue Capital hill Midrand;1685;Johannesburg;Gauteng;South Africa;
1019577;DIAL-A-NERD;4;;nedmonds@axxess.co.za;;www.se.com;Woodlands Avenew, Hurling ham Office Park;ZA;Johannesburg;Gauteng;South Africa;
1019578;Aethyr It;4;;shelly@aethyrit.co.za;;www.se.com;Cedar Ave West Fourways Gauteng;2055;Johannesburg;Gauteng;South Africa;
1019579;DIEBOLD;4;;;www.diebold.com;www.se.com;Meadowbrook Business Estate 972 Jacaranda Avenue Olivedale , Ext 18;2160;Randburg;Gauteng;South Africa;
1019580;Diesel Electric Services;4;+27114937079;dieselelec@icon.co.za;www.dieselelectricservices.co.za;www.se.com;27/29 Mewett Street;2100;Johannesburg;Gauteng;South Africa;
1019581;Dimension Data - Bryanston;4;;stanslous@gmail.com;www.dimensiondata.com;www.se.com;The Campus, 57 Sloane Street, Cnr Sloane Street & Main Road, Bryanston;2191;Johannesburg;Gauteng;South Africa;
1019582;DJ Busbar Manufacturers;4;;djbusbar@iafrica.com;;www.se.com;124 Side road;2190;Johannesburg;Gauteng;South Africa;
1019583;DLK GROUP (PTY) LTD;4;;;www.dlkgroup.com;www.se.com;P O Box 38700 PINELANDS;7430;CAPE TOWN;Western Cape;South Africa;
1019584;DRA Mineral Projects (PTY) Ltd - JHB;4;;;;www.se.com;DRA HOUSE, NO 3 INYANGA CLOSE, SUNNINGHILL;;Johannesburg;;South Africa;
1019585;DRIVE CONTROL CORPORATION (PTY) LTD;4;+27112018927;pieterg@drivecon.net;www.drivecon.net;www.se.com;20 Milky Way Ave, Rivonia;2065;Johannesburg;Gauteng;South Africa;
1019586;Drives & Controls;4;0810346825;vaughn.kretzmann@dnc.za.com;www.dnc.za.com;www.se.com;130 Tenth Road;2090;Johannesburg;Gauteng;South Africa;
1019587;Dynamic IT Consultants;4;0114721700;reception@ditc.co.za;www.ditc.co.za;www.se.com;22 Keith Ave;1709;Johannesburg;Gauteng;South Africa;
1019588;E&I System Intergrators;4;;;;www.se.com;74 Jasmyn RoadFlimieda;2571;Klerksdorp;North-West;South Africa;
1019589;AFR;4;114729105;karinb@afrigle.co.za;www.afrigle.co.za;www.se.com;15 Musketeer Street;1734;Helderkruin;Gauteng;South Africa;
1019590;EASTCOAST SOLUTIONS CC;4;+27317656754;eastcoast@eastcoastsolutions.co.za;eastcoastsolutions.co.za/;www.se.com;7 BRISTOL HOUSE, SHONGWENI ROAD;3610;HILLCREST;KwaZulu-Natal;South Africa;
