Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1020069;7424TÉCNIQUES DE CLIMA I SANITARI S.L;4;933035533;marc.fiallega@teclisa.com;;www.se.com;PERÚ, 156-15;08020;BARCELONA;Barcelona;Spain;
1020070;ABC GIRONA, S.L;4;;;;www.se.com;AGUDES 52 BAIXOS;17006;GIRONA;Girona;Spain;
1020071;ALECAS SERVICIOS Y GESTION, S.L.;4;964340734;amarti@sesaelec.com;;www.se.com;CAMI PI GROS, 52;12005;CASTELLON DE LA PLANA;Castellon;Spain;
1020072;CARLOS ALCARAZ, S.A.;4;;;;www.se.com;JOSE MARIA IBARRA Y GOMEZ RULL, 11 P.I.C.A.;41007;SEVILLA;Sevilla;Spain;
1020073;CARLOS ALCARAZ, S.A.;4;952478886;;;www.se.com;MALLORCA,ESQ.INCA P.ISLAS BALEARES;29640;FUENGIROLA;Malaga;Spain;
1020074;CARLOS ALCARAZ, S.A. (Delegación Almería);4;950268899;;;www.se.com;C/ BENITAGLA, 4 P.I. CORTIJO GRANDE;04007;ALMERIA;Almeria;Spain;
1020075;CARLOS ALCARAZ, S.A.(CATALUÑA).;4;952393799;;;www.se.com;CATALUÑA, 47;29009;MALAGA;Malaga;Spain;
1020076;CARLOS ALCARAZ, S.A.(CENTRAL).;4;951011500;;;www.se.com;CTRA. AZUCARERA-INTALHORCE, 14;29004;MALAGA;Malaga;Spain;
1020077;CARLOS ALCARAZ,S.A.;4;952455182;;;www.se.com;P.I. CANTARRANAS, SECTOR 6-NAVES 6 Y 8, PTA. 5;29100;COIN;Malaga;Spain;
1020078;CAROL AUTOMATISMES BAGES, S.L;4;938749500;;;www.se.com;MIQUEL SERVET, 29-33, NAVE 2 P.I.BUFALVENT;08243;MANRESA;Barcelona;Spain;
1020079;CAROL AUTOMATISMES TERRASSA S.A;4;;;;www.se.com;C/. Ignasi Iglesias, 38;08226;Terrassa;Barcelona;Spain;
1020080;CAROL AUTOMATISMOS IGUALADA, S.A.;4;938017370;;;www.se.com;ITALIA,11 NAVE 8 POL.IND.LES COMES;08700;IGUALADA;Barcelona;Spain;
1020081;CAROL AUTOMATISMOS MARTORELL, S.A.;4;937735680;;;www.se.com;CAN ALBAREDA, 78 POLIGONO INDUSTRIAL EL CONGOST;08760;MARTORELL;Barcelona;Spain;
1020082;ALM. ELEC.MADRILEÑOS,S.A EMBAJADORES;4;915171858;;;www.se.com;EMBAJADORES, 168;28045;MADRID;;Spain;
1020083;CAROL INDUSTRIAL, S.A.;4;937457700;torras@grupcarol.com;www.grupcarol.com;www.se.com;BORRAS, 31-35;08208;SABADELL;Barcelona;Spain;
1020084;CENTRELEC, S.L.;4;920253864;;;www.se.com;POL.IND.LAS HERVENCIAS, P.22;05004;AVILA;Avila;Spain;
1020085;CENTRELEC, S.L.;4;916931255;;;www.se.com;TRIGO, 1-3 NAVE 15 POL.IND POLVARANCA;28914;LEGANES;Madrid;Spain;
1020086;CODIME BOLEA SL;4;938902011;ctejero@codime.cat;;www.se.com;CTRA SANT JAUME DELS DOMENYS, KM0.5 PI DOMENYS I;08720;VILAFRANCA DEL PENEDES;Barcelona;Spain;
1020087;CODIMEL S.A.;4;950459110;;;www.se.com;VENTE VACIO PARC. E-15 POL.IND. EL REAL;04628;ANTAS;Almeria;Spain;
1020088;coeva barcelona;4;932431960;jreina@coevabcn.com;;www.se.com;c/ costa rica, 21-23;08027;barcleona;Barcelona;Spain;
1020089;COEVA GIRONA, S.A.;4;972231674;tecnic@coevagi.com;www.coevagi.com/;www.se.com;Carrer RASET 160;17180;VILABLAREIX;Girona;Spain;
1020090;COEVA GIRONA, S.A.;4;972269162;delegat.olot@coevagi.com;www.coevagi.com/es/;www.se.com;FRANÇA,6;17800;OLOT;Girona;Spain;
1020091;COEVA GIRONA, S.A.;4;972670323;direccio.comercial@coevagi.com;www.coevagi.com/es/;www.se.com;ALEMANYA S/N;17600;FIGUERES;Girona;Spain;
1020092;COEVA VIC, S.A.;4;;pere.serradell@coevavic.com;;www.se.com;LLEIDA, 3 ESQ. C/GANDESA;08500;VIC;;Spain;
1020093;ALM. ELEC.MADRILEÑOS,S.A GETAFE;4;916652222;;;www.se.com;BRINELL, 6-8, POL.IND. SAN MARCOS;28906;GETAFE;Madrid;Spain;
1020094;COMATEL, S.L.;4;965114808;;;www.se.com;ROSA DE LOS VIENTOS, 22-24;03007;ALICANTE;Alicante;Spain;
1020095;COMERCIAL AUTOMATISMOS Y NEUMATICA,;4;;;;www.se.com;COBALTO, 16-20 NAVE B-1;08038;BARCELONA;Barcelona;Spain;
