Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1020869;A-O Elbolaget AB;4;46857020242;anders@ao-elbolaget.se;;www.se.com;Solbacken 1 A;13936;VARMDO;Stockholms Län;Sweden;
1020870;A.N.K Bygg & renovering ab;4;;;;www.se.com;Rosengatan 11 LGH 1001;17270;Sundbyberg;;Sweden;
1020871;AF AB;4;;;;www.se.com;Bryggaregatan 1;57230;OSKARSHAMN;;Sweden;
1020872;Ahlsell;4;;;;www.se.com;Filgatan 1;57635;SAVSJO;;Sweden;
1020873;Ahlsell;4;;;;www.se.com;Järnringen 4;433 30;PARTILLE;;Sweden;
1020874;Ahlsell;4;;;;www.se.com;Vattenverksvagen 10;13141;NACKA;;Sweden;
1020875;Ahlsell;4;;;;www.se.com;Rollsbovagen 22;44240;KUNGALV;;Sweden;
1020876;Ahlsell;4;;;;www.se.com;Hantverkaregatan 1;73150;Koping;;Sweden;
1020877;Ahlsell;4;;;;www.se.com;Norra Industrigatan 2;28141;Hassleholm;;Sweden;
1020878;Ahlsell;4;;;;www.se.com;Baldersgatan 19;76150;NORRTALJE;;Sweden;
1020879;Ahlsell;4;;;;www.se.com;Myrangatan 10;74542;Enkoping;;Sweden;
1020880;Ahlsell;4;;;;www.se.com;Verkstadsgatan 1;26134;LANDSKRONA;;Sweden;
1020881;Ahlsell;4;;leif.eriksson@ahlsell.se;;www.se.com;Vastermalmsvagen 28;79177;Falun;Dalarnas Län;Sweden;
1020882;AF AB;4;;;;www.se.com;Nygatan 30;39234;KALMAR;;Sweden;
1020883;Ahlsell;4;;;;www.se.com;Hantverksgatan 4;62141;Visby;;Sweden;
1020884;Ahlsell;4;;;;www.se.com;Arnoleden 4;61131;Nykoping;;Sweden;
1020885;Ahlsell;4;;;;www.se.com;Grafitvagen 17;46138;TROLLHÄTTAN;Västra Götalands Län;Sweden;
1020886;Ahlsell;4;;;;www.se.com;Ovädersgatan 12;41834;GÖTEBORG;Västra Götalands Län;Sweden;
1020887;Ahlsell;4;;;;www.se.com;Stenyxegatan 33;20039;Malmo;;Sweden;
1020888;Ahlsell;4;;;;www.se.com;Mandagsgatan 5;25664;Helsingborg;;Sweden;
1020889;Ahlsell;4;;;;www.se.com;Kurodsvagen 10;45155;UDDEVALLA;;Sweden;
1020890;Ahlsell;4;;;;www.se.com;Rosterigränd 12;11798;Stockholm;;Sweden;
1020891;Ahlsell;4;;;;www.se.com;Lundavagen 142;20570;MALMO;;Sweden;
1020892;Alltor Larm och Datateknik AB;4;+4643518495;support@alltor.se;www.alltor.se;www.se.com;Apoteksgatan 6;26433;Klippan;;Sweden;
1020893;ÅF Engineering Halmstad;4;46(0)105057673;kjell.n.andersson@afconsult.com;;www.se.com;Slottsmöllan;283 21;Halmstad;Blekinge Län;Sweden;
1020894;Also AB;4;;mats.astrom@also.com;;www.se.com;Finlandsgatan 14;16474;Kista;;Sweden;
1020895;APOCCA AB;4;46722048104;jan-erik.liljefors@apocca.se;;www.se.com;STRIDSVAGNSVÄGEN 9;83148;KRISTIANSTAD;Blekinge Län;Sweden;
1020896;APQ AB;4;+4640-6155500;peter.jonsson@apqel.se;www.apqel.se;www.se.com;STENYXEGATAN 15A;21376;Malmö;Skåne Län;Sweden;
1020897;Aros Allservice AB;4;;;;www.se.com;LÄBY-VÄSTERBY 706;74020;Vänge;Uppsala Län;Sweden;
1020898;AS ALARM-tjanst Aktiebolag;4;+4641778390;anna@alarm-tjanst.se;www.alarm-tjanst.se;www.se.com;Ystadsvagen 14;27322;Tomelilla;Blekinge Län;Sweden;
1020899;Assemblin El AB;4;0104724821;magnus.andersson@imtech.se;;www.se.com;J A Wettergrens Gata 10;42130;Vastra Frolunda;;Sweden;
1020900;Automatic Alarm AB;4;+46840101606;eddie.johansson@automaticalarm.se;www.automaticalarm.se;www.se.com;Hammarby Allé 113;12064;Stockholm;;Sweden;
1020901;Avarn Security AB;4;0775500700;david.lindquist@avarnsecurity.com;avarnsecurity.com;www.se.com;August barks gata 23b vån1;421 32;Västra Frölunda;Blekinge Län;Sweden;
1020902;Avazent Bygg & Anläggning AB;4;0720557777;robert.bergqvist@avazent.com;https://www.avazent.se;www.se.com;Poppelstigen 5;30270;Halmstad;Hallands Län;Sweden;
1020903;AW Elteam AB;4;46303243090;danielforsstrom@gmail.com;;www.se.com;Rollsbovagen 25;44240;KUNGALV;Stockholms Län;Sweden;
1020904;ÅF Engineering Malmö;4;46(0)105053801;henric.persson@afconsult.com;;www.se.com;Hallenborgs gata 1A;28321;Malmö;Blekinge Län;Sweden;
