Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1021543;24 Distribution and Service;4;+6627432691;;;www.se.com;??? 10280 Rodrangkao Road;10310;Samut Prakan;;Thailand;
1021544;298 ENGINEERING AND SWITCHBOARD CO.,LTD.;4;+6629312071;;;www.se.com;45 LADPRAO RD., SOI 83,WANGTHONGLANG;;Bangkok;;Thailand;
1021545;A.C. ENGINEERING & DESIGN CO., LTD.;4;+6676258164;;;www.se.com;61/3 THEPKRASATTRI ROAD, TALADYAI , MUANG;83000;Phuket;;Thailand;
1021546;CHIANGMAI TEERAPANICH ENGINEERING LTD.,PART.;4;+6653252738;;;www.se.com;157-159 CHANGMOI RD., CHANGMOI, MUANG;50300;Chiang Mai;;Thailand;
1021547;สุราษฎร์แสงทอง;4;+6677273268;;;www.se.com;326/9-11 ต.ตลาดใหม่ อ. เมือง สุราษฏร์ธานี84000;84000;สุราษฏร์ธานี;;Thailand;
1021548;สุวิทย์ธรรมการไฟฟ้า;4;+6645720846;;;www.se.com;74/1 ถ.วารีราชเดช ต.ในเมือง อ.เมืองยโสธร ยโสธร35000;35000;ยโสธร;;Thailand;
1021549;หจก.อ้น อินเตอร์เทค;4;084-9155295;aonprinter@gmail.com;;www.se.com;ข2-017/1 ถ.เสนาพินิจ ต.นครนายก;26000;นครนายก;Nakhon Nayok;Thailand;
1021550;หาดใหญ่สิริภัณฑ์;4;;;;www.se.com;288 ถ.นิพิทน์สงเคราะห์ ตำบล/อำเภอหาดใหญ่ สงขลา 90110;90110;สงขลา;;Thailand;
1021551;ห้างไฟฟ้าไทย;4;36627455;;;www.se.com;109 นารายณ์มหาราช ต.ทะเลชุบศร อ.เมืองลพบุรี ลพบุรี;40000;Lopburi;;Thailand;
1021552;องอาจ วิศวกรรม;4;+6676223144;;;www.se.com;40/1-2 ถ.บางกอก ต.ตลาดเหนือ อ.เมือง ภูเก็ต83000;83000;ภูเก็ต;;Thailand;
1021553;อนันตกาญจน์ ภูเก็ต;4;76513179;;;www.se.com;63/15 หมู่ 2 เจ้าฟ้าดาวรุ่งตัดใหม่ ต.วิชิต อ.เมืองภูเก็ต ภูเก็ต;83000;Phuket;;Thailand;
1021554;อภิชัย ออโตเมติค อิเล็คทริค;4;022159112;;;www.se.com;195/23 ถ.พระราม 6 แขวงพญาไท เขตราชเทวี กทม.10400;10400;BANGKOK;;Thailand;
1021555;อภินันต์ เอ็นจิเนียริ่ง;4;+6643283327;;;www.se.com;50/20-21 ซ.ศิลป์สนิท ถ.มะลิวัลย์ ต.ในเมือง อ. เมือง ขอนแก่น 40000;40000;ขอนแก่น;;Thailand;
1021556;อภิภัทรไลท์ติ้ง;4;+6643332980;;;www.se.com;44/3,44/6 ถ.อำมาตย์ ต.ในเมือง อ.เมืองขอนแก่น ขอนแก่น;40000;ขอนแก่น;;Thailand;
1021557;Chiangmai University;4;+6653221699;;;www.se.com;239 Huay Kaew Road A. Muang;;Chiang Mai;;Thailand;
1021558;ออสม่า อินเตอร์เทรด;4;+6627304703;;;www.se.com;81/14-5 หมู่ 20 ซอยไทรอัมพ์เซ็นเตอร์ เทพารักษ์ ต.บางพลีใหญ่ อ.บางพลี สมุทรปราการ 10540;10540;สมุทรปราการ;;Thailand;
