Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1022668;3E Endüstriyel Mühendislik;4;;ertugrulnarin@3eendustriyel.com.tr;;www.se.com;TÜBİTAK TEKGEB Gebze Yerleşkesi A Blok No:2 41400;41400;Gebze;;Turkey;
1022669;7KR Consulting Kontrol Sistemleri Sanayi Ve Ticaret Ltd. Sti.;4;5333400466;yigit.seckiner@7kr.com.tr;www.7kr.com.tr;www.se.com;Sanayi Cd. 33/210 Kazim dirik mahallesi;35100;izmir;Izmir;Turkey;
1022670;BILGI OTOMASYON ELEKTRIK VE ELEKTRONIK SAN. TIC. VE LTD. STI.;4;902165408878;satinalma@bilgiotomasyon.com;www.bilgiotomasyon.com;www.se.com;y.dudullu mah;34775;ümraniye;Istanbul;Turkey;
1022671;BOTEK OTOMASYON - MERKEZ OFİS (İSTANBUL ANADOLU);4;+902163145900;botek@botekotomasyon.com;www.botekotomasyon.com;www.se.com;Esenşehir Mah. Güneyli Sok. No:13/1 34776 Yukarı Dudullu / Ümraniye İSTANBUL;34846;İSTANBUL;Istanbul;Turkey;
1022672;ELEKTROS ELEKTRONİK SAN. TİC.LTD.ŞTİ;4;2166270896;tamer@elektros.com.tr;;www.se.com;Velibaba Sanayi Sitesi A3-1 PENDIK;34896;PENDİK;Istanbul;Turkey;
1022673;EMCEKARE OTOMASYON;4;;;;www.se.com;Batı Sitesi Mah. Gersan Sanayi Sitesi 2310.Sok. No:20;060000;ANKARA;;Turkey;
1022674;EMO BINA VE ENERJI YONETIM SISTEMLERI LTD. STI.;4;3125271605;can@emootomasyon.com;www.emootomasyon.com;www.se.com;Bayar Cad. Demirkaya İş Mrkz. No:97/AK:7 D:16 Kozyatağı – Kadıköy / İstanbul;34734;KADIKOY;Istanbul;Turkey;
1022675;ENOKS ENERJI OTOMASYON KONTROL;4;;;;www.se.com;1151 Sok. SS Gül-86 Toplu İş Yeri Yapı Koop. No : 84 Ostim;6000;ANKARA;Ankara;Turkey;
1022676;ERKA SISTEM MUH.OTOM.SAN.TIC.LTD.STI;4;;;;www.se.com;IKITELLI ORGANIZE SANAYI BOLGESI MUTSAN SANAYI SITESI M 8 BLOK NO :32 BASAKSEHIR;34000;ISTANBUL;;Turkey;
1022677;ERMAF OTOMASYON ELEKTRIK SAN. VE TIC. LTD. STI.;4;;;;www.se.com;Mehmet Akif Ersoy Mah. 286. Cad. Proofis Blokları No:6/48Yenimahalle / ANKARA;06200;ANKARA;Ankara;Turkey;
