Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001146;Legrand Albanie;4;;info.albania@legrand.com;www.bticino.al;www.legrand.com;Representative office - Pjeter Budi Str. "Rogert" Building 1st Floor, Locale 12 Tirana Albanie;;;;albania;
1003461;ABS - Advanced Business Solutions;4;35542274672;hariet.bani@abs-al.com;www.abs.al;www.se.com;Rr."Papa Gjon Pali II", Godina 11/1,H.1, Nr.19, Tirana, Albania;1010;Tirana;;albania;
1003462;Alvision;4;;b.bacova@alvision.al;www.alvision.al;www.se.com;Rr. Fadil Rada;1001;Tirane;;albania;
1003463;SINTEZA CO. SH. P. K.;4;0035542238530;bkamo@sinteza-al.com;www.sinteza-al.com;www.se.com;Rruga Fortuzi;1016;TIRANA;;albania;
1003464;CSP SHPK;4;+355042211445;info@csp.al;www.csp.al;www.se.com;Rr.Haxhi Kika,Nd.25, H.17,AP17;1023;Tirane;;albania;
1003465;EuroElektra Sh.p.k;4;+355682086560;info@euroelektra.al;https://euroelektra.al;www.se.com;Rruga Prush 1041, Vaqarr;1041;Tirana;;albania;
1003466;Information Business Systems - IBS SHPK;4;+3554247260;info@ibs.al;www.ibs.al;www.se.com;Rruga "Mihal Duri" Nr.3, K.3;1000;Tirane;;albania;
1003467;Intracom Telecom Albania Sh.A;4;+355692080311;niko.shupuli@intracom-telecom.al;;www.se.com;Rr.Ibrahim Rugova, Sky Tower, K.3-te, Tirane;1001;Tirana;;albania;
1003468;ITD SHPK;4;;lprendi@itd-al.com;;www.se.com;GJERGII CENTER RR MURAT TOPTANI;1010;TIRANA;;albania;
1003469;ITE GRUP Sh.p.k;4;+35544538440;info@itegrup.al;www.itegrup.al;www.se.com;Km5, Mrapa QTU, Rruga Industriale, Laknas 1001, Shqiperia;1000;Tirana;;albania;
1003470;KUEL;4;;valmir.hajdari@kuel.al;www.kuel.al;www.se.com;Rruga Frang Bardhi, Hyria 1 Zyra 2Njesia Nr 5,;1022;Tirana;;albania;
1003471;S&T Albania Shpk;4;+355(0)42221666;sales@snt.al;www.snt.al;www.se.com;Rr Deshmoret e 4 Shkurtit, Sky Tower 42380;1001;Tirane;;albania;
