Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999812;2001 Grupo Electro S.r.l.;4;541146572834;ventas@electro2001.com.ar;www.electro2001.com.ar;www.abb.com;Av. Gaona 3995;1702;Ciudadela;Buenos Aires;Argentina;
999833;Alberto Ramon Ingani;4;543446426369;pedidos@donluciano.com.ar;www.donluciano.com.ar/contacto.php;www.abb.com;25 De Mayo 1560;2820;Gualeguaychu;Entre Rios;Argentina;
999863;Argelec Centro;4;543415270830;info@argeleccentro.com.ar;www.argelec.com.ar;www.abb.com;Eva Peron 4242;2000;Rosario;Santa Fe;Argentina;
999864;Argelec SA;4;543414300751;info@argelec.com.ar;www.argelec.com.ar;www.abb.com;Eva Peron 4242;2000;Rosario;Santa Fe;Argentina;
999876;Atelec S.A.;4;5492644265877;jatencio@atelecsa.com;www.atelec.com.ar;www.abb.com;San Luis Oeste 1564;5400;San Juan;San Juan;Argentina;
999887;Bassani Carlos Enrique;4;543874222446;info@tecnofer.com.ar;www.tecnofer.com.ar;www.abb.com;Necochea 226;A4400;Salta;Salta;Argentina;
999893;Bellini Electricidad S.r.l.;4;543624445999;ventas@bellinielectricidad.com;www.bellinielectricidad.com;www.abb.com;Av 25 de Mayo 1085;3506;Resistencia;Chaco;Argentina;
999895;Bertoldi Ricardo Alberto;4;542614317005;cumelmza@speedy.com.ar;;www.abb.com;Puente del Inca 3552;5547;Mendoza;Mendoza;Argentina;
999897;Blanco Grup S.A.;4;5492994360982;mhuerga@gotlip.com.ar;www.casablanco.com;www.abb.com;Perticone 685;8300;Neuquen;Neuquen;Argentina;
999899;BP SA;4;+543814224427;jorgecu@bp-sa.com.ar;bpsolucioneselectricas.com.ar;www.abb.com;San Martin 1301;T4000CWA;San Miguel del Tucuman;Tucuman;Argentina;
999901;Brana Hermanos SA;4;5491142832200;ventas@brana.com.ar;www.brana.com.ar;www.abb.com;Molina Arrotea 1929;1832;Lomas De Zamora;Buenos Aires;Argentina;
999904;Bruno Cruzzolin E Hijos S.A.;4;+540237-4663800;ventaonline@cruzzolin.com.ar;www.cruzzolin.com.ar;www.abb.com;Acceso Oeste Km 34 Y Puente G.Bell;1742;Moreno;Buenos Aires;Argentina;
999905;Buffolo Electricidad SA;4;+5490299477-0300;ventas@buffolo.com.ar;www.buffolo.com.ar/;www.abb.com;9 De Julio 235;8324;Cipolletti;Rio Negro;Argentina;
999914;Canal Electric SA;4;+541147441121;ventas@canalelectric.com.ar;www.canalelectric.com.ar;www.abb.com;Colon 1276;1646;San Fernando;Buenos Aires;Argentina;
999919;CASA BLANCO SA;4;5402234101300;casablanco@casablanco.com;www.casablanco.com;www.abb.com;Avenida Juan B Justo 5758;7600;Mar del Plata;Buenos Aires;Argentina;
999924;Centro Electrico Bariloche S R L;4;542944430991;ventas@casablanco.com;www.centroelectricobari.com.ar/home.php?v=1;www.abb.com;Av. 12 de Octubre 1887;8400;San Carlos de Bariloche;Rio Negro;Argentina;
999925;Centro Electrico SAS;4;542804425118;info@centroelectrico.com.ar;www.centroelectrico.com.ar;www.abb.com;Colombia 650;9100;Chubut;Chubut;Argentina;
999940;Compania Electrica S.r.l.;4;5493755425999;jan@neaelectrica.com.ar;neaelectrica.com.ar/;www.abb.com;AVENIDA BELTRAME 1208;3360;Obera;Misiones;Argentina;
999947;CONTELEC S.A.;4;542914564545;ventas@contelecsa.com.ar;www.contelecsa.com.ar;www.abb.com;Don Bosco 1055;8000;Bahia Blanca;Buenos Aires;Argentina;
999948;Contomatic S.A.C.I.Y.F.;4;+541144323732;ventas@contomatic.com.ar;;www.abb.com;Av Directorio 1460;1406;Capital Federal;Buenos Aires;Argentina;
999956;Corpus SA;4;+542664420680;corpussa@speedy.com.ar;;www.abb.com;Av Espana 871;4723;San Luis;San Luis;Argentina;
999959;Cremer SA;4;543414826209;electricidad@cremersa.com.ar;www.cremersa.com.ar/contactenos.htm;www.abb.com;San Martín 1935;2000;Rosario;Santa Fe;Argentina;
999967;Degra Argentina S.A.;4;543514707010;degra@degra.com.ar;www.degra.com.ar;www.abb.com;Juan B Justo 3976;5001;Cordoba;Cordoba;Argentina;
999986;Dimater SA;4;543814205349;fpalacios@dimater.com.ar;www.dimater.com.ar;www.abb.com;Marina Alfaro 1140;4000;San Miguel De Tucuman;Tucuman;Argentina;
999987;Diselec SA;4;543434347114;diselec@arnetbiz.com.ar;diselecsa.com.ar;www.abb.com;Bartolome Zapata 1296;3100;Parana;Entre Rios;Argentina;
999994;Distribuidora Baudracco;4;+543462435900;ventas@baudracco.com.ar;baudracco.com.ar/;www.abb.com;Av. Marconi 531;2600;Venado Tuerto;Santa Fe;Argentina;
1000004;Distribuidores del Sud;4;+542234726268;javier@dsmdq.com.ar;www.distribuidoresdelsud.com/;www.abb.com;11 de Septiembre 5644;7600;Mar del Plata;Buenos Aires;Argentina;
