Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999560;A&RT Machinery Pty Ltd;4;+61247315866;dale@a-rt.com.au;www.a-rt.com.au/;www.abb.com;28 UNIT 3, COOMBES DRIVE;2750;Penrith;New South Wales;Australia;
999599;AML3D;4;+61882582658;;amltec.com;www.abb.com;35 Woomera Avenue;5111;Edinburgh;South Australia;Australia;
999607;Andrew Donald Design Engineers;4;+61397609600;barry@adde.com.au;www.adde.com.au;www.abb.com;6b/841 Mountain Hwy;3153;Bayswater;Victoria;Australia;
999641;Reco Pak Machinery Pty Ltd;4;+61358711955;;www.recopak.com;www.abb.com;4 Schubert St;3644;Cobram;Victoria;Australia;
999644;REMTRON AUTOMATION PTY LTD-ALBURY;4;+61260231819;alburysales@remtron.com.au;www.remtron.com.au;www.abb.com;444 Wilson St;2640;Albury;New South Wales;Australia;
999645;Remtron Pty Ltd;4;+61395871233;sales@remtron.com.au;www.remtron.com.au;www.abb.com;Unit 12/2 Sibthorpe Street;3194;Braeside;Victoria;Australia;
999660;Robotic Solutions Australia;4;+61417091791;info@roboticswa.com.au;www.roboticswa.com.au/;www.abb.com;Unit 2 / 79 Cutler Road;6164;Jandakot;Western Australia;Australia;
999680;Scott Automation & Robotics Pty Ltd;4;+61297487001;mar@scottautomation.com;www.scottautomation.com;www.abb.com;Unit R, 10-16 South Street;2116;Rydalmere;New South Wales;Australia;
999739;Sure Power;4;+61732493188;;www.surepower.com.au;www.abb.com;4 Manilla Street;4169;Brisbane;Queensland;Australia;
999745;Swadel Technologies Pty Ltd;4;+61894721999;sales@tech-source.com.au;www.tech-source.com.au;www.abb.com;182 Rutland Avenue;6101;Carlisle;Western Australia;Australia;
999858;Arc Holdings(Wa)pty Ltd;4;+6193027300;info@arcswitchboards.com.au;www.arcswitchboards.com.au/;www.abb.com;17 PARAMOUNT DRIVE;6065;Wangara;Western Australia;Australia;
999929;Cnw Electrical Pty Ltd;4;+61739078388;;www.cnw.com.au;www.abb.com;675 Macarthur Ave Central;4008;Pinkenba;Queensland;Australia;
1000077;Electrolink (CEW Group);4;+61266433330;;www.electrolink.com.au/;www.abb.com;Unit 1, First Floor 91-95 Fitzroy Street;2460;Grafton;New South Wales;Australia;
1000110;Apex Automation & Robotics Pty Ltd;4;+61298388151;danys@apexautomation.com.au;www.apexautomation.com.au;www.abb.com;7 Prince William Drive;2147;Seven Hills;New South Wales;Australia;
1000113;Applied Robotics International Pty Ltd;4;+61297378633;engineering@appliedrobotics.com.au;www.appliedrobotics.com.au;www.abb.com;17 Egerton St;2128;Silverwater;New South Wales;Australia;
1000131;AUSTRALIS ENGINEERING Pty Ltd;4;+61297075867;sales@australiseng.com.au;www.australiseng.com.au;www.abb.com;25 HARLEY CRESCENT;2200;Condell Park;New South Wales;Australia;
1000137;AUTOMATION INNOVATION;4;+61397717920;;automationinnovation.com.au/;www.abb.com;20 ARCTIC COURT;3173;Keysborough;Victoria;Australia;
1000190;Gemcell Pty Ltd;4;+61288141174;;;www.abb.com;SUITE 2.12, 29-31 LEXINGTON DRIVE;2153;Bella Vista;New South Wales;Australia;
1000233;High Technology Control - NSW;4;+61297714088;estimating@hightech.com.au;www.hightech.com.au;www.abb.com;8 Stuart Street;2211;Padstow;New South Wales;Australia;
1000275;IPD Group Ltd;4;+611300556601;customerservice@ipd.com.au;www.ipdgroup.com.au;www.abb.com;Level 2/43 Newton Rd;2164;Wetherill Park;New South Wales;Australia;
1000277;Ivory Egg (Aust) Pty Ltd;4;+611300811510;;;www.abb.com;23/6 Jubilee Avenue;2102;Warriewood;New South Wales;Australia;
1000309;Lawrence & Hanson Group Pty Ltd;4;+61392433636;;www.lh.com.au;www.abb.com;Level 2, 1 Chapel Street;3030;Blackburn;Victoria;Australia;
1000359;Middendorp Electric;4;+61393878333;;www.middys.com.au;www.abb.com;372 Victoria Street;3056;Brunswick;Victoria;Australia;
1000371;MM Electrical Merchandising;4;+61288399016;;www.mmem.com.au;www.abb.com;1/1445 SOUTH GIPPSLAND HIGHWAY;3997;CRANBOURNE;Victoria;Australia;
1000454;Rexel Australia;4;+61298876222;;www.rexel.com;www.abb.com;Level 2, Building 1Riverview Business Park3 Richardson Place;2113;North Ryde;New South Wales;Australia;
1000535;Scandinavian Electronics Pty Ltd;4;+61299861222;;www.se-anz.com/;www.abb.com;Suite 33/7 Narabang Way;2000;New South Wales;New South Wales;Australia;
1000682;Celltec Pty Ltd;4;+61383608533;sales@celltec.com.au;www.celltec.com.au;www.abb.com;U2/227 FITZGERALD ROAD;3026;LAVERTON NTH;Victoria;Australia;
1000696;Control Logic Pty Ltd;4;+61736231212;sales@controllogic.com.au;www.control-logic.com.au;www.abb.com;25 Lavarack Avenue;4009;Eagle Farm;Queensland;Australia;
1000697;Control Logic Pty Ltd - NSW;4;+61298901120;sales@controllogic.com.au;www.control-logic.com.au;www.abb.com;4/1B Kleins Rd;2152;Northmead;New South Wales;Australia;
1000698;Control Logic Pty Ltd - VIC;4;+1800557705;sales@controllogic.com.au;www.controllogic.com.au;www.abb.com;113 Scanlon Drive;3076;Epping;Victoria;Australia;
1000699;Control Logic Pty Ltd - WA;4;+61897383048;sales@controllogic.com.au;www.control-logic.com.au;www.abb.com;5 Stretton Place;6021;Balcatta;Western Australia;Australia;
1000706;Cromarty;4;+611300365136;info@cromarty.com.au;www.cromarty.com.au;www.abb.com;79 Howick Street;7249;Launceston;Tasmania;Australia;
1000716;Current Engineering Solutions Pty Ltd;4;+61400837890;paul@currentengineeringsolutions.com;www.currentengineeringsolutions.com;www.abb.com;28 Shelduck Bend;6112;Harrisdale;Western Australia;Australia;
1000717;Cutting Edge Electrical And Instrumentation;4;+61356223516;info@cuttedge.com.au;www.cuttedge.com.au;www.abb.com;12 Lindy Court;3820;Warragul;Victoria;Australia;
1000747;Elec Power Technologies;4;+61892031800;;www.ept.com.au;www.abb.com;4 Carson Road;6090;Malaga;Western Australia;Australia;
1000798;Foodmach Pty Ltd;4;+61354824666;melbourne@foodmach.com.au;www.foodmach.com.au;www.abb.com;1 Darling Street;3564;Echuca;Victoria;Australia;
1000842;Hot Melt & Packaging Systems;4;+61881501000;sales@hmps.com.au;www.hmps.com.au;www.abb.com;2A Corbett Court, Export Park;5950;Adelaide Airport;South Australia;Australia;
1000855;Imp Group Pty Ltd;4;+61892044200;info@impgroup.com.au;www.impautomation.com/;www.abb.com;34 Hasler road;6017;Osborne Park;Western Australia;Australia;
1000920;Lewis Australia Pty Ltd;4;+61395553666;;www.lewis.com.au;www.abb.com;87-89 Cochranes Rd;3189;Moorabbin;Victoria;Australia;
1000950;MEXX ENGINEERING Pty Ltd;4;+61755715733;luis.dejesus@mexx.com.au;www.mexx.com.au;www.abb.com;UNIT 1, 28 HARRINGTON ST;4214;Arundel;Queensland;Australia;
1001007;Power Protect Pty Ltd;4;+611300877626;;www.powerprotect.com.au;www.abb.com;43 Whyalla St;2609;Fyshwick;Aust Capital Terr;Australia;
1001220;LEGRAND AUSTRALIE;4;;;www.legrand.com.au;www.legrand.com;Nexus Industry Park, Building 4, 43-47 Lyn Parade NSW 2170 Prestons Australie;;;;australia;
1003472;1 Ste Communications Pty Ltd;4;0393256666;bob@1step.com.au;;www.se.com;7/60 Keilor Park Drive;3033;Keilor East;Victoria;australia;
1003473;1iCT Pty Ltd;4;0424600843;gavin.rabie@1ict.com.au;1ict.com.au;www.se.com;125 Kirkland Ave;4151;Coorparoo;Queensland;australia;
1003474;Acuity Electrical;4;0452511156;info@acuityelectrical.com.au;;www.se.com;19 Bristol Circuit;2148;Blacktown;New South Wales;australia;
1003476;Crown Cabling Pty Ltd;4;;john@crowncabling.com.au;www.crowmcabling.com.au;www.se.com;U3 72 Oriordan St;2015;Alexandria;;australia;
1003477;CTG Technology Services;4;0390388600;sales@ctgtechnology.com.au;www.ctgtechnology.com.au;www.se.com;116 Bank Street;3205;South Melbourne;Victoria;australia;
1003478;Cube Networks;4;;john.louden@cubenetworks.com.au;www.cubenetworks.com.au;www.se.com;2177 Salmon St;3207;Port Melbourne;Victoria;australia;
1003479;Custom Smart Automation (a division of Custom Electrical Solutions Pty Ltd);4;0291881535;sp@customelectricalsolutions.com.au;;www.se.com;95 Greenway Drive;2171;West Hoxton;New South Wales;australia;
1003481;D and T IT Pty Ltd;4;0406729159;duncan.crothers@dandtit.com.au;www.dandtit.com.auj;www.se.com;134a London Street;6006;North Perth;Western Australia;australia;
1003482;D T CUTTING;4;0406885753;admin@dtcutting.com.au;;www.se.com;35 Maud St;2460;Grafton;New South Wales;australia;
1003483;D.A. Stafford & Associates Pty Ltd;4;+61-3-9597-9572;supp_apc@dastafford.com;www.dastafford.com;www.se.com;47 Burrindi Road;3162;Caulfield South;Victoria;australia;
1003484;Data 3 Group H/O - Toowong;4;;oppreg@data3.com.au;www.data3.com.au;www.se.com;67 High St;4066;Toowong;Queensland;australia;
1003485;Adnet TEchnology Australia;4;61289202060;admin@adnet-technology.com.au;;www.se.com;Suite 301 - 171 Clarence Street;2020;Sydnet;New South Wales;australia;
1003487;Data 3 Ltd - Melbourne;4;0425802589;bill_crocaris@data3.com;www.data3.com;www.se.com;L 455 Southbank Blvd;3006;Southbank;Victoria;australia;
1003488;Datacom Systems (au) Pty Ltd;4;0747287800;joe.droguet@datacom.com.au;www.datacom.com.au;www.se.com;Unit 2 264-278 WoolCock St;4810;townsville;Queensland;australia;
1003490;Datatel Electrical & Communications;4;1300328283;service@datatel.com.au;www.datatel.com.au;www.se.com;3/231 Balcatta Rd;6021;Balcatta;Western Australia;australia;
1003492;Dave Ciotti & Associates PTY LTD;4;0419929435;davide.ciotti@wna.com.au;;www.se.com;PO Box 75;6100;Burswood;Western Australia;australia;
1003494;Dell Australia Pty Ltd;4;;apcanzdr@dell.com;www.dell.com.au;www.se.com;Building 3 Level 214 Aquatic Dr;2086;Frenchs Forest;New South Wales;australia;
1003495;Delta Sierra Consulting;4;0894765050;enquiries@dsc.net.au;www.dsc.net.au;www.se.com;1/28 Bayview Terrace;6008;Claremont;Western Australia;australia;
1003497;Desa Aust -Balcatta;4;+61893384222;;www.desa.com.au;www.se.com;U4 15 Halley Rd;6021;Balcatta;Western Australia;australia;
1003499;Dicker Data- SA;4;0882368236;;www.dickerdata.com.au;www.se.com;139 Frome St;5000;Adelaide;South Australia;australia;
1003500;Dicker Data-NSW;4;0295898445;;www.dickerdata.com.au;www.se.com;230 Captian Cook Dr;2231;Kurnell;New South Wales;australia;
1003501;Dienst Consulting;4;;jegar.priddle@dienstconsulting.com;;www.se.com;59 Parry St;6004;East Perth;Western Australia;australia;
1003502;Digistor Pty Ltd;4;0396455000;darreng@digistor.com.au;;www.se.com;5-7 Cleg Street;2064;Artarmon;New South Wales;australia;
1003503;Digital Arts Computers (Aust.) Pty Ltd;4;;raymond@digitalarts.com.au;;www.se.com;474 Bridge Rd;3121;Richmond;Victoria;australia;
1003504;Digital Genius;4;;michaelg@digitalgenius.com.au;;www.se.com;1 Mayneview St;4064;Milton;Queensland;australia;
1003505;Dotcommz;4;;dave@dotcommz.com.au;www.dotcommz.com.au;www.se.com;347 Alfred St;4740;Mackay;;australia;
1003506;Dreamworks IT Nerang;4;;steven@dreamworks.com.au;;www.se.com;Shop 16 Jupiter Plaza;4211;Nerang;Queensland;australia;
1003507;Advanced Communication Riverina Site Information:;4;;joel@advancedcomms.com.au;;www.se.com;94 Hammond Avenue;2650;Wagga Wagga;New South Wales;australia;
1003508;Dropship Central;4;;yuryk@dropshipcentral.com.au;www.dropshipcentral.com.au;www.se.com;U17 Pine Rivers Trade Centre 670 Gympie Rd;4501;BRISBANE;Queensland;australia;
1003509;DXN Limited;4;0449744577;anthony.auld@dxn.solutions.com.au;;www.se.com;3 Dampier Rd;6106;Welshpool;Western Australia;australia;
1003510;Efficient Chips;4;;trevor.p@efficientchips.com;;www.se.com;Shop 86 Canning Rd;6076;Kalamunda;Western Australia;australia;
1003511;Electric Werx;4;0403367378;electricwerx1@gmail.com;www.electric-werx-contractor.com;www.se.com;38 Harmony Ave;6030;Clarkson;Western Australia;australia;
1003512;Electricon Contracting;4;0408798798;;www.pumpandpower.com.au;www.se.com;6 Whittaker Street;0871;Alice Springs;Northern Territory;australia;
1003513;electricube;4;0435713577;info@electricube.com.au;;www.se.com;4 forster crt;3165;melbourne;Victoria;australia;
1003514;Element IT Solutions;4;;duncan.crothers@element-it.com.au;;www.se.com;89a Brisbane St;6000;PERTH;Western Australia;australia;
1003515;eManaged Pty Ltd;4;1300363308;mharding@emanaged.com.au;www.emanaged.com.au;www.se.com;747 Fifteenth St;3500;Mildura;Victoria;australia;
1003516;Emerging IT - Head Office - Notting Hill;4;;aubreyd@emergingit.com.au;www.emergingit.com.au;www.se.com;U2 3-5 Gilda Ct;3170;Mulgrave;Victoria;australia;
1003517;Energy IT Systems Pty Ltd;4;0861022102;cameron@energyit.com.au;;www.se.com;Suite 4, 300 Albany Highway;6100;Victoria Park;Western Australia;australia;
1003518;Advanced Computer Care Pty Ltd;4;;sean@advancedcomputercare.com.au;www.advancedcomputercare.com.au;www.se.com;P.O. Box 147;3116;Chirnside Park;Victoria;australia;
1003519;ENGIE AV Technology;4;0426264498;alex.winters@av.engie.com;;www.se.com;54-56 Geddes Street;3170;Mulgrave;Victoria;australia;
1003520;Engie Services - DESA;4;0394903690;daryl.clapton@engie.com;www.engie.com.au;www.se.com;171 Grange Rd;3078;Fairfield;Victoria;australia;
1003521;Enhanced IT Solutions;4;433872288;sales@enhancedit.com.au;;www.se.com;34 Westgate way;6064;Marangaroo;Western Australia;australia;
1003523;Enosys Solutions;4;;habeeb@enosys.com.au;www.enosys.com.au;www.se.com;L7 Suite 701 56 Berry St;2060;North Sydney;;australia;
1003525;ERG Electrics Pty Ltd;4;0897257111;todd@ergelectrics.com.au;;www.se.com;19 Hensen St;6230;Bunbury;Western Australia;australia;
1003526;Ericom;4;0401422758;matthewr@ericom.com.au;www.ericom.com.au;www.se.com;Unit 46, 126-130 Auburn St;2500;Wollongong;New South Wales;australia;
1003527;ESN Group;4;0894605400;sales@esngroup.com.au;https://www.esngroup.com.au/;www.se.com;Level 14, 256 Adelaide Tce;6000;Perth;Western Australia;australia;
1003528;Ethan Group Pty Ltd Sydney AUstralia;4;;helen.colonques@ethangroup.com.au;;www.se.com;Level 5, 13-15 Lyon Park Road;2113;North Ryde;New South Wales;australia;
1003530;Etherworks Pty Ltd;4;;jayb@etherworks.com.au;www.etherworks.com.au;www.se.com;100 Annerley Rd;4102;Woolloongabba;Queensland;australia;
1003531;Everett-Smith & co. Pty Ltd;4;(08)94448800;nick.williams@everettsmith.com.au;www.everettsmith.com.au;www.se.com;58 Howe Street;6017;Osborne Park;Western Australia;australia;
1003532;Experteq IT Services Pty Ltd;4;;peter.loader@experteq.com;https://www.experteq.com/;www.se.com;Level 13;2000;Sydney;New South Wales;australia;
1003533;Fearless Energy Pty Ltd;4;0747794381;admin@mge.net.au;www.mge.net.au;www.se.com;8/510 Woolcock Street;4814;Garbutt;Queensland;australia;
1003534;Federation International;4;+61394309999;support@fedinternational.com;www.fedinternational.com;www.se.com;Level 1, 33-39 Centreway;3149;Mount Waverley;Victoria;australia;
1003535;First Focus IT;4;+61290078100;orders@firstfocus.com.au;;www.se.com;Level 2;2019;Botany;New South Wales;australia;
1003536;FlexiTech NT;4;0423064250;flexitechnt@outlook.com.au;;www.se.com;2 Bristow Ct;0832;Bakewell;Northern Territory;australia;
1003537;Focus Group Technologies;4;+61289859890;sales@fgtech.com.au;www.fgtech.com.au;www.se.com;Suite 301 Atlas Norwest;2153;BAULKHAM HILLS;New South Wales;australia;
1003538;Foreshore Professionals;4;0402529983;etarento@foreshoreprofessionals.com;;www.se.com;Eastlake Parade;2604;KINGSTON;Australian Capital Territory;australia;
1003540;Aeris Networks;4;0892238000;nicholas.dale@aerisnetworks.com.au;www.aerisnetworks.com.au;www.se.com;Level 2, 1 Walker Avenue;6005;West Perth;;australia;
