Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999574;AC-DC Ltd;4;+35964802350;office.pl@acdc-bg.com;www.acdc-bg.com;www.abb.com;Bul. Ruse 19, Et. 2;5800;Pleven;Pleven;Bulgaria;
999728;START ENGINEERING JSCo;4;+35929360373;office@starteng.com;www.starteng.com;www.abb.com;3 Lokomotiv Street;1220;Sofia;Sofia;Bulgaria;
999906;Bul-Lighting EOOD;4;+35929628700;info@bul-lighting.com;www.bul-lighting.com;www.abb.com;7 Georgi Raychev Str.;1700;Sofia;Sofia;Bulgaria;
999949;Contragent 35 Eood;4;+35942600131;sales@contragent.com;www.contragent.com;www.abb.com;Kvartal Industrialen, Ul. Voyvoda Stoyno Chernogorski, 23;6000;Stara Zagora;Stara Zagora;Bulgaria;
999968;Delectra EOOD;4;+35929585764;delectra@spnet.net;www.delektra.company.bg;www.abb.com;26 Maior Parvan Toshev Str Fl 1 apt 1;1000;Sofia;Sofia;Bulgaria;
1000020;El Energy 03 EOOD;4;+35929572279;info@elenergy03.com;www.elenergy03.com;www.abb.com;Ovca kupel 1, bul. Montevideo 88;1618;Sofia;Sofia;Bulgaria;
1000022;Eldom Ood;4;+35954831029;eldom_sh@mail.bg;eldominvest.com/;www.abb.com;ul. Rafail Popov 16, ap. 2;9700;Shumen;Shumen;Bulgaria;
1000060;Electro Ligcht;4;+35952953031;office@lightstylebg.com;;www.abb.com;Neptun str. 8;9000;Varna;Varna;Bulgaria;
1000089;Elektroresurs Eood;4;+35984651636;office@elektroresurs.com;www.elektroresurs.com;www.abb.com;bul. Balgariya 27 vh.G et. 2 ap. 4;7200;Razgrad;Razgrad;Bulgaria;
1000270;Intercomplex OOD;4;+35932241414;office@intercomplex.bg;;www.abb.com;Peshtersko Shose 201;4015;Plovdiv;Plovdiv;Bulgaria;
1000288;Jo & Ven Bulgaria OOD;4;+35928321195;joiven@abv.bg;www.joiven.com;www.abb.com;Lomsko Shose 210;1202;Sofia;Sofia;Bulgaria;
1000301;Klimatik Garant EOOD;4;+35986822329;klimatik_garant@abv.bg;;www.abb.com;14 Nikola Vaptsarov;7500;Silistra;Silistra;Bulgaria;
1000311;Ldg Ood;4;+35928628875;sales@ldg-bg.com;www.ldg-bg.com;www.abb.com;Kvartal Lagera, Bl. 53, Vh. B, Et. 6, Ap. 40;1612;Sofia;Sofia;Bulgaria;
1000355;Metix Ltd;4;+35974560743;metix@metix.bg;www.metix.bg;www.abb.com;49 Svoboda Str;2850;Petrich;Blagoevgrad;Bulgaria;
1000370;Miva Start EOOD;4;+35952506130;office@mivastart.com;;www.abb.com;ul. Topola 13, Et.3 ap. 6;9009;Varna;Varna;Bulgaria;
1000384;Nikika-90 OOD;4;+35956880894;nikika90@abv.bg;;www.abb.com;Slaveykov Distr., 16 Yanko Komitov;8000;Burgas;Burgas;Bulgaria;
1000401;Oskar-El EOOD;4;+35929624693;office@oskar-el.com;www.oskar-el.com;www.abb.com;88 Evropeiski Pat BLVD.;2227;Bozhurishte;Sofia;Bulgaria;
1000425;Powerz Bulgaria Ltd;4;+35974551516;stoicho.yankulov@powerz.bg;www.powerz.gr;www.abb.com;ul. Polkovnik Drangov, 6;2850;Petrich;Blagoevgrad;Bulgaria;
1000449;Rait El EOOD;4;+35929315698;rait@abv.bg;;www.abb.com;Ul. Bratya Miladinovi, 57, Et. 5, Ap. 17;1202;Sofia;Sofia;Bulgaria;
1000534;Sbm 2 Ood;4;+35938665069;sbm2@abv.bg;;www.abb.com;bul. Vasil Levski 6;6300;Haskovo;Haskovo;Bulgaria;
1000577;Spak Ood;4;+35973831063;spak@abv.bg;spak-bg.com;www.abb.com;ul. Sv. Ivan Rilski 28;2700;Blagoevgrad;Blagoevgrad;Bulgaria;
1000624;Tilcom OOD;4;+359888397064;office@tilcom-bg.com;www.tilcom-bg.com;www.abb.com;1 Poruchik-Nedelcho Bonchev Street;1528;Sofia;Sofia;Bulgaria;
1000745;El Kontrol Eood;4;+35942600178;office@elkontrol.com;www.elkontrol.com;www.abb.com;17A Patriarh Evtimiy Boulevard;6006;Stara Zagora;Stara Zagora;Bulgaria;
1001155;Legrand;4;;;www.legrand.bg;www.legrand.com;Legrand Bulgaria ldt. - Business Park Sofia - Building 7A, Office P06 1766 Sofia Bulgarie;;;;bulgaria;
