Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999689;Shanghai Aomai Electric Co Ltd;4;+8613917554856;;;www.abb.com;No. 865, Jiuxin Road, Jiuting Town, North Side of Building B, Songjiang District;201101;Shanghai;Shanghai;China;
999690;Shanghai Jingxu Automatic Equipment Co Ltd;4;+862150396016;joyce@cnjingxu.com;;www.abb.com;No. 26, Lane 380, Minmin Road, Pudong New District;200127;Shanghai;Shanghai;China;
999691;Shanghai Legen Automation Co Ltd;4;+862159903958;info@legen-auto.com;www.legen-auto.com;www.abb.com;No. 25, Jinyuan Road, Waigang Town, Jiading District;201823;Shanghai;Shanghai;China;
999692;Shanghai Shanluwu Enterprise Development Co Ltd;4;+862157466422;;www.jqr365.cn;www.abb.com;Room 071, Floor 10, Building 3, No.170 Huoshan Road, Houkou District;200082;Shanghai;Shanghai;China;
999694;Shanghai WinTech Instrument Co Ltd;4;+862136550515;fjduan@163.com;;www.abb.com;No.1111, Xinlin Road;201499;Shanghai;Shanghai;China;
999695;Shanghai Xingyan Industrial Intelligent Technology Co Ltd;4;+862159160032;;;www.abb.com;No. 1508 Kunyang Road, No. 2 Building, 2nd floor, Minhang District;201799;Shanghai;Shanghai;China;
999696;Shanghai Yede Automation Technology Co Ltd;4;+862156391691;;;www.abb.com;No. 209, Gongyue Road, No. 2 Building, Baoshan District;201900;Shanghai;Shanghai;China;
999697;Shenyang Jiarui Drive Co Ltd;4;+862422791619;d0094@cniab-partner.com;www.syjr.cn/;www.abb.com;No. 262A, Shifu Road, Shenyang Xinji Torch Building 25th floor, No. 2510 Room, Shenhe District;110013;Shenyang;Liaoning;China;
999698;Shenyang Kedi Electric Control System Co Ltd;4;+862423609957;sykdcon@126.com;;www.abb.com;Room 505, No. 35-1, Quanyun 5th Road, Shenyang Area, China (Liaoning) Pilot Free Trade Zone;110000;Shenyang;Liaoning;China;
999699;Shenzhen Leadwell Technology Co Ltd;4;+8675528123321;;www.lklw.com.cn;www.abb.com;Qinghu Community, Longhua Street, Baoan District;518100;Shenzhen;Guangdong;China;
