Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999816;ABCONTROL INGENIERIA S A S;4;+5717465545;marketing@abcontrol-ingenieria.com;abcontrolingenieria.com/;www.abb.com;CR 80 73A 29;110561;Bogota;Bogota;Colombia;
999976;Dielco SAS;4;+5717439050;asistente.comercial@dielco.net;dielco.co/;www.abb.com;Calle 15 No 12-51;---;Bogota;Bogota;Colombia;
999990;Distribuciones Electricas AC;4;+5728882417;;acdistribucioneselectricas.com/;www.abb.com;Calle 22 No. 20B-21 Av.santander;520003;San Juan de Pasto;Narino;Colombia;
1000048;Electricos De Colombia Edecol SA;4;+5742857011;caja@edecol.com;www.edecol.com/;www.abb.com;Carrera 51 12 Sur 69;050021;Medellin;Antioquia;Colombia;
1000049;Electricos E Iluminacion Sas;4;+573175861695;cliente@electricosei.com;dekoei.com/;www.abb.com;KRA 43 No. 79-61;---;BARRANQUILLA;Atlantico;Colombia;
1000050;Electricos la 36;4;+5716610705;info@electricosla36.co;www.electricosla36.co/;www.abb.com;Calle 36 No. 28 - 13;---;Villavicencio;Meta;Colombia;
1000080;Electronica De Potencia Y Semiconductores Y Compania S C A;4;+5725248818;epyscaribe@epys.com.co;epys.com.co/landing/;www.abb.com;Carrera 6 No 20 30 Barrio San Nicolas;760044;Cali;Valle del Cauca;Colombia;
1000243;IE Inter Electricas SAS;4;+5713360755;servicioalcliente@ie.com.co;www.interelectricas.com.co/;www.abb.com;Carrera 12 13 46;---;Bogota DC;Bogota;Colombia;
1000248;Imsel SAS;4;+5716154798;imsel@imsel.com.co;imsel.com.co;www.abb.com;Carrera 47 No. 141-50;110561;Bogota;Bogota;Colombia;
1000258;INGEAL S.A.;4;+5716558455;mercadeo@ingeal.com;ingeal.com/;www.abb.com;CRA 13 96 - 38;655 8455;Bogota;Bogota;Colombia;
1000272;Interelectricos Group Sas;4;+573204547020;info@interelectricos.com;www.interelectricos.com/;www.abb.com;C.C. Bolivar Local A-33;540006;CUCUTA;Norte de Santander;Colombia;
1000518;RG Distribuciones SA;4;+5743510622;dircomercial@rgd.com.co;www.rgd.com.co/portal/principal.html;www.abb.com;Cl 8 N 9 46 EL ACERO;661002;Dosquebradas;Risaralda;Colombia;
1000540;Semcon Ltda;4;+5726900344;;;www.abb.com;Calle 64N #5BN 146 Of. 316 A Centro Empresa;---;Cali;Valle del Cauca;Colombia;
1000690;Colsein SAS;4;+5718698789;info@colsein.com.co;www.colsein.com.co/;www.abb.com;Parque Industrial Gran Sabana Edif 32;251017;Tocancipa;Cundinamarca;Colombia;
1001078;Bticino;4;;;www.bticino.com.co;www.legrand.com;Calle 65 N°93-91 Bogotá Colombie;;;;colombia;
1001079;Legrand Colombia;4;;;www.legrand.com.co;www.legrand.com;Legrand Colombia S.A. - Calle 65 N°93-91 Bogotá Colombie;;;;colombia;
1001080;Ortronics;4;;;www.legrand.com.co;www.legrand.com;Legrand Colombia S.A. - Calle 65 N°93-91 Bogotá Colombie;;;;colombia;
1003047;1A INGENIERIA S.A.S;4;3152241414;jrodriguez@1aingenieria.com.co;www.ticyservicios.com;www.se.com;CARRERA 68B # 78-71 INT 1 Of 501;11211;BOGOTA;CUNDINAMARCA;colombia;
1003048;365tech.co;4;3125364021;info@365tech.co;www.365tech.co;www.se.com;calle 79#15-20 of 303;57;bogota;CUNDINAMARCA;colombia;
1003049;ADVANCE TECHNOLOGY GLOBAL SOLUTION (ATGS) LTD.;4;;sales@atgsglobal.com;www.atgsglobal.com/;www.se.com;Av. Francisco de Miranda Torre Delta, piso 14, oficina A;1060;CARACAS;Distrito Federal;colombia;
1003050;DMR Gestion Informatica;4;;amarin@dmrgi.com;;www.se.com;Diagonal 75B 8-40 OFI 322;0;medellin;ANTIOQUIA;colombia;
1003052;E&P INGENIERIA SAS;4;;mrueda@epingenieria.com;;www.se.com;CALLE 41 27 - 23 EDIFICIO SATUR LOCAL 101;CO;BUCARAMANGA;SANTANDER;colombia;
1003053;EC Corp Global S.A;4;0981412606-(04)4549336;contactenos@eccorpglobal.com;eccorpglobal.com;www.se.com;Guayaquil: Ciudad Santiago,3ra. EtapaMz. 5764Solar 14;090150;Guayaquil;Guayas;colombia;
1003054;Ecuadana;4;0986461980;ventas@ecuadana.com;www.ecuadana.com;www.se.com;Manuel zambrano 76-85 y malvinas;ec110101;Loja;Loja;colombia;
1003055;ECUAINTEGRITY TECHNOLOGIES;4;0995421660;jtapia@ecuaintegrity.com;www.ecuaintegrity.com;www.se.com;Av. Gran Colombia y Telmo Paz y Miño;170403;Quito;;colombia;
1003056;eDinamic Mayoristas;4;;ventas@e-dinamic.com;www.e-dinamic.com;www.se.com;Bella vista;4001;Maracaibo;Zulia;colombia;
1003057;ELECTRICAS DE MEDELLÍN COMERCIAL (EDEMCO);4;+5743656500;cesar.correa@edemco.co;;www.se.com;CARRERA 52 # 10 - 131 AVENIDA GUAYABAL;050024;Medellín;ANTIOQUIA;colombia;
