Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999567;abacon Gesellschaft fur Mess-, Steuer- und Regeltechnik mbH;4;+49617360710;automatisierung@abacon.org;www.abacon.org;www.abb.com;Hauptstr. 392;65760;Eschborn;Hessen;Germany;
999578;ACS Industrietechnik GmbH;4;+499115283740;kontakt@acs-industrietechnik.de;www.acs-industrietechnik.de;www.abb.com;Lina-Ammon-Str. 22;90471;Nurnberg;Bayern;Germany;
999584;AED Automation GmbH;4;+49734820010;info@aed-automation.com;www.aed-automation.com/de/;www.abb.com;Lerchenbergstr. 23;89160;Dornstadt;Baden-Wurttemberg;Germany;
999588;AKE technologies GmbH;4;+49851955840;info@ake-technologies.de;www.ake-technologies.de;www.abb.com;Adolf-Hollinger Str. 3;94034;Passau;Bayern;Germany;
999600;AMServ Mitte GmbH & Co. KG;4;;kontakt-mitte@amserv.de;www.amserv.de;www.abb.com;Delitzscher Str. 74-76 drive via Trafoweg 4;06112;Halle;Sachsen-Anhalt;Germany;
999601;AMServ Nord GmbH & Co. KG;4;;kontakt-nord@amserv.de;www.amserv.de-AugsburgHRA14967;www.abb.com;Rondenbarg 13;22525;Hamburg;Hamburg;Germany;
999602;AMServ Sud GmbH & Co KG;4;;kontakt-sued@amserv.de;www.amserv.de-AugsburgHRA14965;www.abb.com;Oskar-von-Miller-Str. 2;86356;Neusass;Bayern;Germany;
999603;AMServ West GmbH & Co.KG;4;+49681841180;kontakt-west@amserv.de;www.amserv.eu;www.abb.com;Gewerbegebiet Klingenthal 49;66578;Schiffweiler;Saarland;Germany;
999615;Process Automation Solutions GmbH;4;+496237932-0;info@pa-ats.com;www.pa-ats.com;www.abb.com;Am Herrschaftsweiher 25;67071;Ludwigshafen am Rhein;Rheinland-Pfalz;Germany;
999621;PROMONTAN Elektroplan GmbH;4;+493327573000;info@promontan.de;www.promontan.de;www.abb.com;Phobener Str. 28;14542;Werder (Havel);Brandenburg;Germany;
999637;rbc robotics GmbH;4;+496434207910;info@rbc-robotics.de;www.rbc-robotics.de;www.abb.com;Dieselstr. 5;65520;Bad Camberg;Hessen;Germany;
999662;robot-machining GmbH;4;+496182897390;s.rupp@robot-machining.de;www.robot-machining.de;www.abb.com;Am Sandborn 10;63500;Seligenstadt;Hessen;Germany;
999667;RTT Robotertechnik-TRANSFER GmbH;4;+493583540890;;www.RTT-Zittau.de;www.abb.com;Hirschfelder Ring 9a;02763;Zittau;Sachsen;Germany;
999676;SAR Elektronic GmbH;4;+4998318811370;gunzenhausen@sar.biz;www.sar.biz;www.abb.com;Richard-Stucklen-Strasse 15;91710;Gunzenhausen;Bayern;Germany;
999678;Schmidbaur Schaltanlagen GmbH;4;+49870926880;;www.schmidbaur.com;www.abb.com;Bichlmannstr. 22;84174;Eching;Bayern;Germany;
999679;Schwarz & Graf Elektrotechnik GmbH;4;+497219553300;info@schwarzundgraf.de;www.schwarzundgraf.de;www.abb.com;Sudbeckenstr. 9;76189;Karlsruhe;Baden-Wurttemberg;Germany;
999701;SHL AG;4;+49742993040;info@shl.ag;www.shl.ag;www.abb.com;Spaichinger Weg 14;78583;Bottingen;Baden-Wurttemberg;Germany;
999722;SpiraTec AG;4;+496232919060;info.sp@spiratec-ag.com;www.spiratec-ag.com;www.abb.com;An der Hofweide 7;67346;Speyer;Rheinland-Pfalz;Germany;
999725;Stadler + Schaaf Mess- und Regeltechnik GmbH;4;+4963486110;offenbach@stadler-schaaf.de;www.stadler-schaaf.de;www.abb.com;Im Schlangengarten 20;76877;Offenbach An Der Queich;Rheinland-Pfalz;Germany;
999763;Tppa Turbine Power Plant Automation GmbH;4;+496322409020;info@tppa.eu;www.tppa.eu;www.abb.com;Robert-Bunsen-Str. 1;67098;Bad Durkheim;Rheinland-Pfalz;Germany;
999766;Transnova Ruf Verpackungs- und Palettiertechnik GmbH;4;+499819698440;info@transnova-ruf.de;www.transnova-ruf.de;www.abb.com;Rudolf-Diesel Str. 12;91522;Ansbach;Bayern;Germany;
999789;VisiConsult X-ray Systems & Solutions GmbH;4;+494512902860;info@visiconsult.de;www.visiconsult.de;www.abb.com;Brandenbrooker Weg 2-4;23617;Stockelsdorf;Schleswig-Holstein;Germany;
999793;Weingärtner GmbH Elektromaschinenbau;4;+4972215047530;weingaertnergmbh@weingaertnergmbh.de;www.weingaertnergmbh.de;www.abb.com;Geroldsauer Str. 113a- 115;76534;Baden-Baden;Baden-Wurttemberg;Germany;
999800;WMS - engineering Werkzeuge - Maschinen - Systeme GmbH;4;+497742857570;info@wms-engineering.de;www.wms-engineering.de;www.abb.com;Jahnstr. 1;79771;Klettgau;Baden-Wurttemberg;Germany;
1000135;Automation in GUS GmbH;4;+4961819080896;autgus@autgus.com;www.autgus.com;www.abb.com;Friedrichstr. 28;63477;Maintal;Hessen;Germany;
1000144;Avantec Antriebs- und Pumpentechnik GmbH;4;+492411689800;info@avantec-gmbh.de;www.avantec-gmbh.de;www.abb.com;Rutherford 106;52072;Aachen;Nordrhein-Westfalen;Germany;
1000671;Blumenbecker Industrie-Service GmbH;4;+49252184060;info@blumenbecker.com;www.blumenbecker-industrieservice.com;www.abb.com;Sudhoferweg 99-107;59269;Beckum;Nordrhein-Westfalen;Germany;
1000708;CTS GmbH competence for technical solutions;4;+498679916890;burgkirchen@cts-gmbh.de;www.group-cts.de;www.abb.com;Fuhrmannstr. 10;84508;Burgkirchen;Bayern;Germany;
1000723;Delta Control Gesellschaft fur Automation mbH;4;+492236880770;info@deltacontrol.de;www.deltacontrol.de;www.abb.com;Otto-Hahn-Strasse 7;50997;Koln (Godorf);Nordrhein-Westfalen;Germany;
1000725;Dietz Automation & Umwelttechnik GmbH;4;+4966949191-01;info@dietz-automation.de;www.dietz-automation.de;www.abb.com;Sandgarten 2;34626;Neukirchen;Hessen;Germany;
1000732;Dötsch Elektromaschinen- Elektrotechnik GmbH;4;+4992831091;info@motoren-doetsch.de;www.motoren-doetsch.de;www.abb.com;Sonnenstr. 18;95111;Rehau;Bayern;Germany;
1000735;E1 Energiemanagement GmbH;4;+49911812940;;www.e1-energie.com/;www.abb.com;Lina-Ammon-Str. 3;90471;Nuernberg;Bayern;Germany;
1000736;EAS GmbH Elektrische Antriebs- und Systemtechnik;4;+494282592810;info@eas-vierden.de;www.eas-vierden.de;www.abb.com;Ippensen Sud 6;27419;Vierden;Niedersachsen;Germany;
1000740;Ecosmart Energy GmbH;4;+497112508210;info@ecosmartenergy.de;;www.abb.com;Sieglestrasse 33 D;70469;Stuttgart;Baden-Wurttemberg;Germany;
1000746;Elbatron GmbH;4;+49410280770;info@elbatron.de;www.elbatron.de;www.abb.com;Roggenweg 3;22926;Ahrensburg;Schleswig-Holstein;Germany;
1000756;Elektro Kreutzpointner GmbH;4;;elektro@kreutzpointner.de;www.kreutzpointner.de;www.abb.com;Burgkirchener Str. 3;84489;Burghausen;Bayern;Germany;
1000763;Elko Vertriebs-GmbH;4;+492319998070;office@elko-gmbh.de;www.elko-gmbh.de;www.abb.com;Lindentalweg 15;44388;Dortmund;Nordrhein-Westfalen;Germany;
1000764;ELPRO Elektroanlagen Behncke GmbH;4;+49511167980;info@elpro-hannover.de;www.elpro-hannover.de;www.abb.com;Kornstr. 14;30167;Hannover;Niedersachsen;Germany;
