Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001029;Legrand;4;;;www.legrand.ng;www.legrand.com;Eleganza Biro Plaza Plot 634 - Adeyemo Alakija / Akin Adesola Street Victoria Island - Lagos Nigeria;;;;ghana;
1004132;DOMINION TECHNOLOGIES LIMITED;4;0246507315/0574555332;sales@dominion.com.gh;;www.se.com;ACHIMOTA NEW OVERHEAD;+233;ACCRA;;ghana;
1004133;E-Cube Technologies Ltd.;4;0241482487;jdadson@ecubetechnologies.com;www.ecubetechnologies.com;www.se.com;# 22 SAMORA MACHEL STREET,;+233;ACCRA;;ghana;
1004135;ERITEK TECHNOLOGY SOLUTIONS;4;0244567523;eric@eritektechnology.com;www.eritektechnology.com;www.se.com;PLOT NO. 12 TRASSACO VALLEY,;+233;ACCRA;;ghana;
1004136;Fairgreen Limited;4;0302246453;yofori@fairgreenlimited.com;www.fairgreenlimited.com;www.se.com;Efua Sutherland Road, Dzorwulu, Accra;3039;Accra;;ghana;
1004137;FIRST LINE COMPUTER SERVICE;4;;mduodu@firstlinegh.com;;www.se.com;10th Street - Tempo Rd233, 233;233;Ghana;;ghana;
1004138;GENESOL GHANA LIMITED;4;0303935811,0540124776;sales@genesolgh.com;www.genesolgh.com;www.se.com;JOHN TEYE DOWN,;233;ACCRA;;ghana;
1004139;Get4Less;4;+233500290290;info@get4lessghana.com;www.get4lessghana.com;www.se.com;Opposite Labone Senior High School, Labone;+233;Accra;;ghana;
1004140;Global Information Technology Solutions;4;0302320296;yusif.salihu@gits.com.gh;www.gits.com.gh;www.se.com;B608/15A Nii Adote Kojo Street Off Shika Shika Lane;+233;Accra;;ghana;
1004141;GUARDIANTECH;4;0269031578;mavi@guardiantech.com.gh;;www.se.com;Awudome Loop;+233;Accra;;ghana;
1004142;BRIDGE-WELL AFRICA;4;0245877603;jeffery@bridge-wellafrica.com;;www.se.com;H/No. C943/13 MAXWELL ROAD,;+233;ACCRA;;ghana;
1004143;HEYCO TECH LTD.;4;0248607080;info@heycoghana.com;www.heycoghana.com;www.se.com;Blohum street, Dzorwulu;+233;Accra;;ghana;
1004144;IPMC;4;;bhupinder@ipmcghana.com;www.ipmcghana.com;www.se.com;62, KOJO THOMPSON ROAD PO Box 7617;AN7617;Accra;;ghana;
1004145;IT MARKET LIMITED;4;+233302762835;it-market@hotmail.com;;www.se.com;OSU OXFORD ST. OPP KFC RST, ACCRA GHANA;233;ACCRA;;ghana;
1004146;KEMSS ENGINEERING SERVICES;4;0243547751;kemssengineeringservices@gmail.com;WWW.kemssengineeringservices.com;www.se.com;ACCRA;+233;ACCRA;;ghana;
1004147;MADSON JAPAN ENGINEERING (GH) LTD;4;0244356528;mitsuigroup@gmail.com;;www.se.com;B/52 FADAMA STREET, PLOT NO. 87 OPP.;+233;ACCRA;;ghana;
1004148;MARITA SOLUTIONS;4;0261260966;omarzi@yahoo.com;;www.se.com;SHOPE NO. 16, KINGSWAY BUILDING,;+233;ACCRA;;ghana;
1004149;MULTIBUILD LIMITED;4;0244207276;multibuildlimited@gmail.com;www.multibuild.com;www.se.com;11 ADDIS ABABA ST.;233;ACCRA;;ghana;
