Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1000817;GRP Electronics;4;+302262032975;jgkaripis@grpelectronics.gr;www.grpelectronics.gr;www.abb.com;Leophoros Athenon 1;32011;Oinofita;Voiotia;Greece;
1001175;Legrand;4;;;www.legrand.gr;www.legrand.com;HELLINIKI LEGRAND S.A. - 184A, Kifissias avenue 15231 Athens Grèce;;;;greece;
1010953;Antilipsis;4;28150078350+306942928649;gaitanakis@antilipsis.com;engineering.antilipsis.com;www.se.com;Κυράς της Ρω 26;71307;Ηράκλειο;;greece;
1010954;ASPEC;4;+302111842719;g.georgilas@aspec.gr;www.aspec.gr;www.se.com;Panagioti Mikropoulou 17;14121;Iraklio;;greece;
1010955;ELECTEC;4;2821081461;info@electec.gr;www.electec.gr;www.se.com;Βιο.Παρκο Χανίων;73200;Χανιά;;greece;
1010956;ELEMEN - NIKOLAOS ANTONIADIS;4;6945545777;info@elemen.gr;www.elemen.gr;www.se.com;Panagiotopoulou 38;18534;PIREAUS;Attiki;greece;
1010957;Elemsi Systems Integration;4;00302721024379;info@elemsi.gr;www.elemsi.gr;www.se.com;Athinon 64;24100;Kalamata;Messinia;greece;
1010958;GIALAMAS;4;2332041491;egialamas@gmail.com;;www.se.com;Ερμού 39;59035;Νάουσα;;greece;
1010959;KYRITSIS;4;+306932209238;giannis.kyritsis@roi.gr;;www.se.com;ΕθνικήςΑντιστάσεως 12;30300;Ναύπακτος;;greece;
1010960;PANAGIOTIDIS;4;2551552073;sotirisp60@gmail.com;;www.se.com;Τήνου 3;68132;Αλεξανδρούπολη;;greece;
1010961;PAPADATOS;4;+306945781422;g-papadatos@hotmail.com;;www.se.com;Βουνάργο Ηλείας;27100;Πύργος;;greece;
1010962;PAVLOS MAVRIDIS KAI SIA OE;4;(239)905-1680;mavridis@wickentech.com;www.wickentech.com;www.se.com;Λάκκωμα Χαλκιδικής;63080;Θεσσαλονίκη;;greece;
1010963;PEPES GIANNIS;4;+306989424318;ioannisp65@yahoo.com;;www.se.com;Λετρίνων 19;270555;Πύργος;;greece;
1010964;STANCOS;4;2396024621;stan_konstantinos@yahoo.com;www.stancossmartsystems.blogspot.gr;www.se.com;Εμπορικό Κέντρο Σουρωτής;57006;Θεσσαλονίκη;;greece;
1010965;AUTOMATICA;4;2310943366;info@automatica.gr;www.automatica.gr;www.se.com;25ης Μαρτίου 4;55337;Θεσσαλονίκη;;greece;
1010966;TEAVE EPE;4;+302109855277;;www.teabe.gr;www.se.com;Taxiarchon 16;175 63;Paleo Faliro;Attiki;greece;
1010967;TECHORAMA;4;2310666540;info@techorama.gr;www.techorama.gr;www.se.com;Μ. Αυγέρη 1 & Θεμιστοκλέους;56430;Thessaloniki;;greece;
1010968;TESCON;4;2614002840;info@tescon.gr;www.tescon.gr;www.se.com;Οδός Πάροδος Ποσειδώνος, Αγ. Βασίλειος;26504;Πάτρα;;greece;
1010969;THALASSINOS IOANNIS;4;(690)901-1418;jia_thal@hotmail.gr;;www.se.com;Επτανήσου 9;15235;Αθήνα;;greece;
1010970;ZORGIOS OE;4;2634027195;dimitris@zorgios.gr;www.zorgios.gr;www.se.com;3o KM ETHINIKIS ODOU NAFPAKTOU-ITEAS;30300;NAFPAKTOS;;greece;
1010971;ΚΑΛΥΒΙΩΤΗΣ ΓΙΩΡΓΟΣ;4;+306946793947;kaliviotisgk@gmail.com;;www.se.com;Σμύρνης 14;43100;Καρδίτσα;;greece;
1010972;ΛΟΥΚΑΣ ΜΙΧΑΛΗΣ;4;+306972600059;miclouk1964@hotmail.com;;www.se.com;Πανταζίδου 18;54352;Θεσσαλονίκη;;greece;
1010973;AUTOMATION ALEXANDRIS;4;+306981193064;leyterisalexandris92@gmail.com;;www.se.com;Λημένας Χερσονήσου;70014;Χερσόνησος;;greece;
1010974;CONTROLINE S.A.;4;+302109221946;;www.controline.gr;www.se.com;Veikou 2;117 42;Athina;;greece;
1010975;CONTROLS;4;2310550536;vaggelis@controls.gr;www.controls.gr;www.se.com;Μοναστηρίου 225;54628;Θεσσαλονίκη;;greece;
1010976;DCONTROL;4;+302130904025;info@dcontrol.gr;www.dcontrol.gr;www.se.com;Βορείου Ηπείρου 31;16562;Αθήνα;Attiki;greece;
1010978;DIMOUDIS;4;2310796982;dimoudiss@gmail.com;;www.se.com;Χρυσοστόμου Σμύρνης 28-30;57400;Θεσσαλονίκη;;greece;
1010979;Dolapsakis ATE;4;(281)023-1418;adolapsakis@dolapsakis.gr;www.dolapsakis.gr;www.se.com;Ούλοφ Πάλμε 151;30002;Κρήτη;;greece;
1010980;PSS A.E;4;2108074177;info@pss-sa.eu;www.pss-sa.eu;www.se.com;Μενεξέδων 14Β;145 64;Κηφισιά;;greece;
1010982;Β. ΚΑΥΚΑΣ Α.Ε.;4;2102448813;pinakes@kafkas.gr;www.kafkas.gr;www.se.com;Λεωφ. Κωνσταντίνου Καραμανλή 55;13671;ΑΧΑΡΝΑΙ;;greece;
