Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001444;6D HONG KONG LIMITED;4;85225250650;enquiry@6dhk.com;www.6dhk.com;www.se.com;Room 315, Kar Wah Industrial Building;;Hong Kong;;hongkong,china;
1001446;HKBN JOS Limited;4;25795392;network.pmm@jos.com;;www.se.com;19/F Tower One Millennium City 1, 388 Kwun Tong Road, kowloon;;Hong Kong;;hongkong,china;
1001447;ICO Technology Limited;4;21517268;jessie.tam@ico.com.hk;;www.se.com;Unit A, 25/F, TG Place, 10 Shing Yip, Street, Kwun Tong, Kowloon, Hong Kong.;;Hong Kong;Kowloon;hongkong,china;
1001448;INTELLITECH SYSTEM LIMITED - PROJECT TEAMS;4;31880760;eric@itsys.com.hk;www.itsys.com.hk;www.se.com;Unit C, 6/F., Dragon Industrial Building, No.93 King Lam Street;999077;Lai Chi Kok;Kowloon;hongkong,china;
1001449;Jade Power HongKong Limited;4;85227827500;dyan@jade-power.com;;www.se.com;Unit 905A 9/F Sun Cheong Industrial Bldg, No. 1 Cheung Shun Street;HK;Lai Chi Kok;Kowloon;hongkong,china;
1001451;NetCraft Information Technology (Macau) Co., Ltd;4;85387951640;carmen_cheung@netcraft.com.mo;www.netcraft.com.mo/;www.se.com;Alameda Dr. Carlos D'Assumpcao No. 258, Praca Kin Heng Long, 8 Andar B, Macau;;Macau;;hongkong,china;
1001452;POWERPEG NSI LIMITED;4;+85226271347;contact@powerpeg.com.hk;;www.se.com;UNIT C,18/F,TUNG CHIU COMM CTR.,193 LOCKHART RD., WANCHAI, HK.;HK;HK;Hong Kong Island;hongkong,china;
1001453;Success Information Technology Limited;4;22433405;winnieyeung@successtech.com.hk;https://www.successtech.com.hk;www.se.com;Factory C9, 5/F, Wing Hing Industrial Building,;;Hong Kong;Kowloon;hongkong,china;
1001454;TACT TECHNOLOGY LIMITED;4;85227637444;mandy@tact.com.hk;;www.se.com;FLAT C 8/F KAI CENTRE;999077;KWUN TONG;;hongkong,china;
1001455;Welfare Electronic Component Ltd;4;(852)31820833;forc@wecl.com.hk;;www.se.com;Unit C, 4/F Garment Centre;;Lai Chi Kok;Kowloon;hongkong,china;
1001456;Apple Solution Consultants Limited;4;(852)36925000;jessica@applesolution.com.hk;www.applesolution.com.hk;www.se.com;Unit A, 29/F TG Place;999077;Kowloon;Kowloon;hongkong,china;
1001459;Automated Systems (H.K.) Limited;4;26086010;pazulee@asl.com.hk;;www.se.com;15/F, Topsail Plaza, 11 On Sum Street, Shatin;;Hong Kong;;hongkong,china;
1001460;BAS ENGINEERING LIMITED;4;+85221409788;;;www.se.com;6/F., PARAMOUNT BUILDING, 12 KAYIP ST., CHAI WAN, HK;HK;HK;;hongkong,china;
1001463;Elibo Engineering Limited;4;29510191;sales@elibo.com.hk;www.elibo.com.hk;www.se.com;Whole Floor, 1/F, Block B, Chung Mei Center;999077;Hong Kong;Kowloon;hongkong,china;
1001464;EXPERT SYSTEMS LIMITED;4;;enquiry@expertsystems.com.hk;www.expertsystems.com.hk;www.se.com;22/F, Yen Sheng Centre,;999077;KWUN TONG;Kowloon;hongkong,china;
