Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999634;Rakoczki Kft.;4;;zsolt.rakoczki@rakoczkikft.hu;www.rakoczkikft.hu;www.abb.com;Juhar Fasor 2.;2081;Piliscsaba;Pest;Hungary;
999811;0, 4KV Kereskedelmi Kft;4;+361281-1850;04kv@04kv.hu;www.04kv.hu;www.abb.com;Fegyvergyar utca 5;1097;Budapest;Budapest;Hungary;
999965;Daniella Kft.;4;+3652517-500;info@daniella.hu;www.daniella.hu;www.abb.com;Kontosgat sor 1-3;4031;Debrecen;Hajdú-Bihar;Hungary;
1000006;Dl'1 Kereskedelmi Es Szolgaltato Kft;4;+361339-9600;dl1@dl1.hu;www.dl1.hu;www.abb.com;Forgach utca 22;1139;Budapest;Budapest;Hungary;
1000085;Elektro Profi Kereskedelmi Kft;4;+3630425-1597;kereskedelem@elektroprofi.hu;www.elektroprofi.hu;www.abb.com;Fogarasi ut 2-6.;1148;Budapest;Budapest;Hungary;
1000333;Marchiol Kereskedelmi Es Szolgaltato Kft;4;+361236-9060;budapest@marchiol.hu;www.marchiol.hu;www.abb.com;Reitter Ferenc utca 172-174;1131;Budapest;Budapest;Hungary;
1000346;Mentavill Kft.;4;+3622 515-545;feh@mentavill.hu;www.mentavill.hu;www.abb.com;Budai út 177;8000;Székesfehérvár;Fejér;Hungary;
1000361;MILE Ipari Elektro-Nagykereskedes Kft;4;+361 431-9800;milekft@mile-kft.hu;www.mile-kft.hu;www.abb.com;Madi utca 52;1104;Budapest;Budapest;Hungary;
1000563;Sonepar Magyarorszag Kereskedelmi es Szolgaltato Kft;4;+3624 888-000;info@sonepar.hu;www.sonepar.hu;www.abb.com;Mechwart András utca 4;2330;Dunaharaszti;Pest;Hungary;
1001176;Legrand Kereskedelmi Iroda;4;;;www.legrand.hu;www.legrand.com;Office Campus - Gubacsi ut 6 B epulet 3. emelet 1097 Budapest Hongrie;;;;hungary;
