Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999568;ABI Instruments Private Ltd;4;+914445540025;;www.abiindia.in;www.abb.com;84, Tiny Sector, Industrial Estate, Ekkattuuthangal;600032;Chennai;Tamil Nadu;India;
999572;Accure Power Technologies (P) Ltd;4;+918022959228;sales@accurepower.com;accurepower.com;www.abb.com;No.986,4th M Block, F Cross, SSI Area, Rajajinangar;560010;Bangalore;Karnataka;India;
999596;ALPHA CONTROLS INSTRUMENTS Pvt Ltd;4;+919335309551;;;www.abb.com;G-39, Upsidc, Deva Road, Chinhat;226019;Lucknow;Uttar Pradesh;India;
999638;RCUBE ELECTRIC PVT.LTD;4;9019166693;kumaresan@rcubeelectric.com;www.rcubeelectric.com;www.abb.com;138/B ,Behind BDA Complex ,   1st block , Nagarbhavi 2nd Stage;560072;BANGALORE;Karnataka;India;
999672;Sahaj Enterprises;4;+918912713848;sagar@sahajenterprises.com;;www.abb.com;Sankarmatam Road, no 49-24-14;530016;Visakhapatnam;Andhra Pradesh;India;
999673;Samarth Electrocare Private Ltd;4;+917122520278;electrocarenag@sify.com;www.sepl.info;www.abb.com;Plot No.456. Shree Nagar, Ring Road;440015;Nagpur;Maharashtra;India;
999686;SHAILDEEP ENTERPRISE;4;7201877277;shaildeepent@gmail.com;www.shaildeepenterprise.com/;www.abb.com;Plot No-1, Survey No-235, Nr. Galaxy B/H Hotel Pitrukrupa, Veraval(Shapar);360024;Rajkot;Gujarat;India;
999702;Shrirang Sales Corp;4;;vfd@shrirangsales.in;www.shrirangsales.com;www.abb.com;UG-3 & 4, Nirman Bhavan, Near Krushi Mangal Hall, Majura Gate, Ring Road;395002;Surat;Gujarat;India;
999705;Sigma Automation & Instruments;4;9493276236;sigmaautomation09@gmail.com;www.sigmaautomation.co.in;www.abb.com;D.No.80 16 8, Kapoor Nivas, Srinivasa Nagar, Reliance tower Building, A.V.A Road;533106;Rajahmundry;Andhra Pradesh;India;
999710;Sirus Electronet India Pvt. Ltd;4;;sirusindia@gmail.com;;www.abb.com;1-10-245 ASHOKNAGAR EXTN;500020;Hyderabad;Telangana;India;
999718;SOUVIK ELECTRO SERVICES;4;9902395596;souvikelectroservices@yahoo.com;;www.abb.com;161C, Dakshin Para Road, Sen Mukherjee Bagan, Behala, Kolkata, West Bengal;700063;Kolkata;West Bengal;India;
999721;Spectrum Automation & Controls Private Ltd;4;+912025863654;sanspectrum@vsnl.net;www.spectrum-automation.com;www.abb.com;E-2,OJAS, PASHAN-BANER LINK ROAD, S NO. 132/2. PASHAN;411021;Pune;Maharashtra;India;
999773;Tycon Automation Pvt. Ltd;4;+91120407700;;www.tyconautomation.com;www.abb.com;B-54, Sector - 63, Electronic City;201301;Noida;Uttar Pradesh;India;
999780;Universal System;4;99835188015;kkmadhu.us@gmail.com;;www.abb.com;RGBK Tower, Gujarat Colony,   Chas,;827013;Bokaro;Jharkhand;India;
999781;V.R. Traders;4;+917926631478;;www.vrtraders.in;www.abb.com;:805, Indraprasth Corporate, Opposite Shell Petrol Pump,Prahladnagar;380015;Ahmedabad;Gujarat;India;
999786;Vdeal Systems Pvt. Ltd;4;;vdealsystem@gmail.com;www.vdealsystem.com;www.abb.com;Plot No. 4A/4B & 6, Janla Industrial Area, Janla, Jatani,Dist: Khurda;752054;Bhubaneshwar;Odisha;India;
999799;Wintex Engineers;4;+914222593737;sathgurudrives@gmail.com;www.wintexengineers.com;www.abb.com;1B,2nd Street, Bharathi Nagar, Kamarajar Road;641015;Coimbatore;Tamil Nadu;India;
1000117;APS Power Systems Private.Limited;4;9987780508;apssales@apspowers.com;www.apspowers.com;www.abb.com;Mistry Industrial Complex, 69, Cross Road"A",Andheri;400093;Mumbai;Maharashtra;India;
1000142;Avakash Automation;4;+912616517676;info@avakaashautomation.com;;www.abb.com;G109, laxmi Narayan industrial estate udhna-sachin road;394210;Surat;Gujarat;India;
1000149;Axis Controls;4;9833843006;axiscontrols@gmail.com;www.axiscontrolpanels.com;www.abb.com;D-20, Phase II, MIDC, Near Pimpleshwar Mandir, Dombivali (E);421204;Thane;Maharashtra;India;
1000680;Cableman Electric Company Pvt. Ltd;4;+914312704201;;;www.abb.com;Old. No. 32A/5 & New No.82, Cauvery Park, Old Karur Road;620002;Tiruchirappalli;Tamil Nadu;India;
1000701;Controlcare Automation Pvt. Ltd;4;;sales@controlcare.co.in;www.controlcare.co.in;www.abb.com;4/303, 6th MAIN ROAD,SADASIVA NAGAR, MADIPAKKAM;600091;Chennai;Tamil Nadu;India;
1000715;Cummins Products And Services;4;;sai9830184840@gmail.com;;www.abb.com;P 8A, CIT Road, Scheme-6M, Phool Bagan;700054;Kolkata;West Bengal;India;
1000719;Cyrus Infra-Tech Private Ltd;4;+913329701516;arup@incyrus.com;www.incyrus.com;www.abb.com;5/6, Bosepara Road, Ps.: Thakurpukur, Po.: Purba Barisha;700008;Kolkata;West Bengal;India;
1000748;Elecsol Technology Pvt Ltd;4;+919479003204;punit@automationgroup.in;www.automationgroup.in;www.abb.com;C61, Sector-1, Devendra Nagar;492004;Raipur;Chhattisgarh;India;
1000750;Electrical Rotating Systems Private Ltd;4;+44-24321535;erschennai@yahoo.co.in;;www.abb.com;339, 249, Anna Salai, Teynampet, Thiru Vi Ka Kudiyiruppu, Teynampet, Chennai;600006;Chennai;Tamil Nadu;India;
1000788;FA Electronics Innovation Pvt. Ltd;4;+91484-4016941;mail@futureautomation.co.in;www.fa-ei.com;www.abb.com;40/443-AMRA-7, Automobile road, Mamangalam, Ernakulam;682025;Kochi;Kerala;India;
1000826;HANUMAN POWER TRANSMISSION EQUIPMENTS PVT Ltd;4;+912242630300;sales@hanumanpower.com;;www.abb.com;OFF ANDHERI KURLA ROAD NO.12-A, NANDDEEP IND. ESTATE, KONDIVITA LANE, ANDHERI (E);400059;MUMBAI;Maharashtra;India;
1000839;Hiecon Technologies;4;9824014949;trupti@hiecon.com;www.hiecon.com;www.abb.com;52/5 Bimanagar Society, Satellite Ro;380015;Ahmedabad;Gujarat;India;
1000860;Industrial It Solutions Pvt.Ltd;4;+911126361298;contact@iitsol.com;www.iitsol.com;www.abb.com;A-263,3rd Floor Vishwakarma Colony M.B. Road, Lal Kuan;110031;New Delhi;Delhi;India;
1000862;INFINITE ENGINEERING;4;+919500778844;;www.infinite.engineering;www.abb.com;NO.25 3RD FLOOR, KOODAL ALAGAR PERUMAL KOVIL STREET;625001;Madurai;Tamil Nadu;India;
1000913;Kudamm Corporation;4;+918448448910;sales@kudammcorp.in;;www.abb.com;Y-25, Okhla Industrial Area,Phase-2;110020;New Delhi;Delhi;India;
1000927;Maars Technologies;4;+918008161681;info@maarstechnologies.com;www.maarstechnologies.com;www.abb.com;44/A "Geetanjalli", Opp: Police Station, Sanjeev Reddy Nagar;500038;Hyderabad;Telangana;India;
1000930;Maheshwari Automation Solution;4;9425293339;giriraj2k1@rediffmail.com;;www.abb.com;171, New Civic Centre;490006;Bhilai;Chhattisgarh;India;
1000931;Makharia Machinaries Pvt Ltd;4;+912266023000;sales@makharia.in;www.makharia.in;www.abb.com;Dr.R.G.Thadani Marg,worli, Dr.R.G.Thadani Marg,worli;400018;Mumbai;Maharashtra;India;
1000951;Microsys Automation;4;+914064517400;;www.microsysautomation.com/;www.abb.com;13/A/1,Road,No:54, Pahse-IV,IDA-Jeedimetla, Rajiv Swagruha Twp, Mettakanigudem;500055;Hyderabad;Telangana;India;
1000964;Naini Tech Solutions;4;;contact.naini@gmail.com;;www.abb.com;SCO- 207, Motia Pacific Centre, Kishanpura, Dhakauli;160104;Zirakpur;Punjab;India;
1000980;OM ENTERPRISES;4;;om.enterprises@rediffmail.com;;www.abb.com;No.151/3, Railway Banla Para;496001;Raigarh;Chhattisgarh;India;
1000985;ORIGINATIVE SOLUTIONS NETWORK PVT LTD;4;+911614663321;;;www.abb.com;#Street No. 1, Opp. SBI Bank, Akal Sahai NagarMundian Kalan, Ludhiana;144001;Ludhiana;Punjab;India;
1000988;P&R CONTROL SYSTEMS PVT LTD;4;+912025442790;info@prcontrolsystems.com;www.prcontrolsystems.com;www.abb.com;SHED NO.4, S.NO.83/2,   DANGAT PATIL NAGAR,;411023;Pune;Maharashtra;India;
1001005;Pooja Marketing;4;+912602422632;pujamktg@rediffmail.com;www.poojagroup.com;www.abb.com;Near Gidc Police Station, Gidc;396195;Vapi;Gujarat;India;
1001006;Power Formers Engineers - P - Ltd;4;+912066243801;powerformers@gmail.com;www.powerformers.com/;www.abb.com;EL-11 Electronic Zone, J Blk, Bhosari;411026;Pune;Maharashtra;India;
1001116;Legrand;4;;;www.legrand.co.in;www.legrand.com;61/62, Kalpataru Square, 6th Floor Off Andheri-Kurla Road - Andheri (East) 400 059 Mumbai Inde;;;;india;
1001118;INDO ASIAN;4;;;www.indoasian.com;www.legrand.com;V.J. Business Tower, A-6, First Floor, Sector – 125, Noida 201303 Noida Inde;;;;india;
1001119;NUMERIC;4;;;www.numericups.com;www.legrand.com;183, 10th Floor, Prestige center court-office block, Vijaya forum mail, NSK salai, Vadapalani 600 026 Chennai Inde;;;;india;
1010177;India - Gurgaon;4;+911246899000;;;www.se.com;DLF Cyber City, Phase II, Gurgaon;122002;Gurgaon;;india;
1010178;Schneider Electric India Pvt. Ltd.;4;040-39404000;srikanth.rangineni@schneider-electric.com;;www.se.com;4th Floor, Ashoka  Bhoopal Chambers, S.P. Road;500003;Secunderabad;;india;
1010179;Schneider Electric India Pvt. Ltd.;4;033-39404000/30248600;Joy.Mukherjee@se.com;;www.se.com;Schneider Electric (I)Pvt.Ltd, BP-4,;700091;Kolkata;;india;
