Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999577;ACS Drives & Control Systems Ltd;4;+353449340242;seamus.butler@acsdrives.ie;www.acsdrives.ie;www.abb.com;Unit 21, Zone CMullingar Business Park;N91 VX4V;Mullingar;County Westmeath;Ireland;
999661;Robotics & Drives Services Ltd;4;+449333812;info@rdservices.ie;www.rdservices.ie;www.abb.com;Zone C, Mullingar Business Park;N91 H725;Mullingar;County Westmeath;Ireland;
1000714;Cully Automation Ltd;4;+35316014012;info@cullyautomation.ie;www.cullyautomation.ie;www.abb.com;Building 1, Liffey Business Campus;W23 R297;Leixlip;County Kildare;Ireland;
1000824;Hanley Technology Ltd;4;+35315175200;sales@hanleytechnology.com;www.hanleytechnology.com;www.abb.com;Unit 2B, Fingal Bay Business Park, Balbriggan;K32 XP23;Dublin;County Dublin;Ireland;
1012158;Ability IT Solutions;4;0656810068;info@abilityit.ie;www.abilityit.ie;www.se.com;Market St Carpark;V95F30C;Ennis;Clare;ireland;
1012159;BMC Manufacturing - Ashbourne;4;+35318351744;info@bmcmfg.ie;www.bmcmfg.ie;www.se.com;Ashtech House Ballybin Road;A84 PX23;Ashbourne;Meath;ireland;
1012160;M Kelliher 1998 Ltd Killarney;4;0646633985;;www.kellihers.com;www.se.com;Ross Road;V93 FD90;KILLARNEY;Kerry;ireland;
1012161;M Kelliher 1998 Ltd Limerick;4;061417442;mark.morriarty@rexel.ie;www.kellihers.com;www.se.com;Dock Road;V94 WF59;LIMERICK CITY;Limerick;ireland;
1012162;M Kelliher 1998 Ltd Mallow Road;4;0214932300;stewart.dennehy@rexel.ie;www.kellihers.com;www.se.com;North Point Business Park;T23 XY33;CORK CITY;Cork;ireland;
1012163;M Kelliher 1998 Ltd Naas;4;045447860;marc.deering@rexel.ie;www.kellihers.com;www.se.com;A1 Tougher Business Park;W91 CX39;NAAS;Kildare;ireland;
1012164;M Kelliher 1998 Ltd Sandyford;4;012952011;wayne.murphy@rexel.ie;www.kellihers.com;www.se.com;Unit E3 Sandyford Ind Est;D18 RK20;DUBLIN CITY;Dublin;ireland;
1012165;M Kelliher 1998 Ltd Tralee;4;0667145300;info@kellihers.com;www.kellihers.com;www.se.com;Ballymullen;V92 D793;TRALEE;Kerry;ireland;
1012166;M Kelliher 1998 Ltd Tramore Road;4;0214704100;;www.kellihers.com;www.se.com;Tramore Road;T12 RC98;CORK CITY;Cork;ireland;
