Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999561;A.M.Tech S.r.l.;4;+390306862067;info@amtech.it;www.amtech.it;www.abb.com;Via Dei Mulini 156;25039;Travagliato;Brescia;Italy;
999639;Rea Robotics S.r.l.;4;+390499004067;info@reagroup.it;www.rearobotics.it/;www.abb.com;Via Volta, 35;35030;Veggiano;Padova;Italy;
999650;RIMEP S.r.l.;4;+390521985029;info@rimep.com;www.rimep.it;www.abb.com;Via Lodovico Borsari 14-A;43126;Parma;Parma;Italy;
999651;Rizzo Elettromeccanica S.u.r.l.;4;+390495970395;info@rizzoelettromeccanica.it;www.rizzoelettromeccanica.it;www.abb.com;Riva Del Grappa 85;35013;Cittadella;Padova;Italy;
999671;S.E.I. Servizio Elettronica Industriale S.r.l.;4;+390241680587;sei@seisrl.it;www.seisrl.it;www.abb.com;Via Fiume 8;23862;Civate;Lecco;Italy;
999677;Scaligera Packaging S.r.l.;4;+390457640203;info@scaligerapackaging.it;www.scaligerapackaging.it/IT/home.html;www.abb.com;Via del Commercio, no. 1;37030;Colognola Ai Colli;Verona;Italy;
999727;STAR S.r.l.;4;+39077326271;info@icapgroup.it;www.icapgroup.it;www.abb.com;Via A. Coletta, 10;04100;Latina;Latina;Italy;
999758;Tech.Pa. S.p.A.;4;+390459251215;amministrazione@techpaspa.com;www.techpaspa.com;www.abb.com;Via Apollo XI 2/4;37057;San Giovanni Lupatoto;Verona;Italy;
999767;TREBI Srl Unipersonale;4;+390303732317;info@trebi-bs.com;www.trebi-bs.com;www.abb.com;Via Industriale, 2/4/6;25060;Cellatica;Brescia;Italy;
1000123;Artimpianti S.R.L;4;+390175231858;;www.artimpianti.it;www.abb.com;Via Busca, 57;12024;Costigliole Saluzzo;Cuneo;Italy;
1000456;Rexel Italia S.P.A;4;+390523593240;rexel@rexel.it;www.rexel.it;www.abb.com;Viale Dell'artigianato, 64/B;29122;Piacenza;Piacenza;Italy;
1000457;Rexel Italia S.p.A.;4;+39030351200;rexel@rexel.it;www.rexel.it;www.abb.com;Via Vergnano;25125;Brescia;Brescia;Italy;
1000459;Rexel Italia S.p.A.;4;+390544451081;rexel@rexel.it;www.rexel.it;www.abb.com;Via B. Buozzi 42 Bassette;48100;Ravenna;Ravenna;Italy;
1000460;Rexel Italia S.p.A.;4;+39036532561;rexel@rexel.it;www.rexel.it;www.abb.com;Via Ponte Pier, 3;25089;Villanuova Sul Clisi;Brescia;Italy;
1000461;Rexel Italia S.p.A.;4;+39069160041;rexel@rexel.it;www.rexel.it;www.abb.com;Via Campobello 7D;00040;Pomezia;Roma;Italy;
1000462;Rexel Italia S.p.A.;4;+390354525000;rexel@rexel.it;www.rexel.it;www.abb.com;Via Nazionale 122;26066;Seriate;Bergamo;Italy;
1000463;Rexel Italia S.p.A.;4;+390521606511;rexel@rexel.it;www.rexel.it;www.abb.com;Via B. Franklin, 31;43100;Parma;Parma;Italy;
1000464;Rexel Italia S.p.A.;4;+3930940111;rexel@rexel.it;www.rexel.it;www.abb.com;Via Francesca, 26;25034;Orzinuovi;Brescia;Italy;
1000465;Rexel Italia S.p.A.;4;+3902511121;rexel@rexel.it;www.rexel.it;www.abb.com;Via Bilbao 101;20099;Sesto San Giovanni;Milano;Italy;
1000466;Rexel Italia S.p.A.;4;+390547415847;rexel@rexel.it;www.rexel.it;www.abb.com;Via Polesine 353;47521;Cesena;Forli' Cesena;Italy;
1000467;Rexel Italia S.p.A.;4;+390514172611;rexel@rexel.it;www.rexel.it;www.abb.com;Via Del Gomito 5/2;40127;Bologna;Bologna;Italy;
1000468;Rexel Italia S.p.A.;4;+3906793251;rexel@rexel.it;www.rexel.it;www.abb.com;Via R.B. Bandinelli, 130;00178;Roma;Roma;Italy;
1000469;Rexel Italia S.p.A.;4;+390541604534;rexel@rexel.it;www.rexel.it;www.abb.com;Via San Leo, 2;47836;Riccione;Rimini;Italy;
1000470;Rexel Italia S.p.A.;4;+39062275446;rexel@rexel.it;www.rexel.it;www.abb.com;Via Di Tor Sapienza 179;00155;Roma;Roma;Italy;
1000679;C.EL.TA. S.r.l.;4;+39817743611;info@celtasrl.it;www.celtasrl.it;www.abb.com;Via Palazziello snc - Zona Industriale Lotto n. 9;80040;Volla;Napoli;Italy;
1000691;Comoli Ferrari and C S.p.A.;4;+390108467628;;www.comoliferrari.it;www.abb.com;Via Enrico Mattei 4;28100;Novara;Novara;Italy;
1000760;Elettromec S.r.l.;4;042324439;info@elettromec.net;www.elettromecsrl.it;www.abb.com;Via Aglaia Anassillide 148A;31044;Montebelluna;Treviso;Italy;
1000777;Espertia Italia S.r.l.;4;;info@espertia.com;www.espertia.com;www.abb.com;Via Giulio Pastore, 27;47922;Rimini;Rimini;Italy;
1000780;Euro S.E.I. Servizi Elettromeccanici Industriali s.a.s.;4;+390331739877;info@euro-sei.com;www.euro-sei.com;www.abb.com;Via Matteotti, 24;21051;Arcisate;Varese;Italy;
1000781;Eurotec S.r.l.;4;+390516321595;info@eurotecsrl.com;www.eurotecsrl.com;www.abb.com;Via Lirone, 60;40013;Castel Maggiore;Bologna;Italy;
1000800;Fusari Elettromeccanica S.r.l.;4;;amministrazione@fusarielettromeccanica.it;www.fusarielettromeccanica.it;www.abb.com;Via Binelunghe, 13;37139;Verona;Verona;Italy;
1000869;INTEC S.r.l.;4;+390306965386;info@intecrobotics.com;www.intecrobotics.com;www.abb.com;Via SM Crocefissa di Rosa 1;25039;Travagliato;Brescia;Italy;
1000882;IS Instrument And Services S.r.l.;4;+39031619232;isinstrument@pec.it;www.isinstrument.com;www.abb.com;Via Diaz 16;22040;Alzate Brianza;Como;Italy;
1000883;IS Rappresentanze S.r.l.;4;+390828616302;israppresentanze@pec.it;www.israppresentanze.it;www.abb.com;Viale G. Brodolini 14;84091;Battipaglia;Salerno;Italy;
1000997;Persico S.p.A.;4;+390354531611;info@persico.com;www.persico.com;www.abb.com;Via Marconi 7;24027;Nembro;Bergamo;Italy;
