Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999669;S Mega Co Ltd;4;+25737521;smegak@naver.com;;www.abb.com;57, Nonhyeon-ro 27-gil, Seocho-gu;06747;Seoul;Seoul;Korea, Republic of;
999747;Systec Engineering Co Ltd;4;+323272677;jmjo@systeceng.co.kr;www.systeceng.co.kr;www.abb.com;22, Samjak-ro;14501;Bucheon-si;Gyeonggi-do;Korea, Republic of;
1000157;BEE Co Ltd;4;+529549000;gw-kim@bestee.co.kr;;www.abb.com;1-206, 40, Sansungro;44252;Ulsan;Ulsan;Korea, Republic of;
1000199;Global Electronics Co Ltd;4;+24238863;joon-ho.yoon@global-electric.co.kr;www.global-electric.co.kr;www.abb.com;Room 2208, Floor 22,67, Saebitgongwon-ro;06193;Gwangmyeong-si;Gyeonggi-do;Korea, Republic of;
1000575;Songkwang Co Ltd;4;+513163891;sokwem@hanmail.com;;www.abb.com;34 Yutongdanji 1-Ro 57beon-Gil Gangseo-Gu Busan;46721;Busan;Busan;Korea, Republic of;
1000603;Sunmin Trading;4;+82(42)4776020;;;www.abb.com;808-2401, YeolMaeMaEur Apt,Noeun-Dong, Yuseong-Gu;34090;Daejeon;Daejeon;Korea, Republic of;
1000639;UNI-SYS;4;+25673136;ceo@uni-sys.net;www.uni-sys.net;www.abb.com;113, Yeoksam-ro, Gangnam-gu;06242;Seoul;Seoul;Korea, Republic of;
1000654;Willinco Co Ltd;4;+266764567;ihsun@willinco.com;www.willinco.com;www.abb.com;17, Deogan-ro 104beon-gil;14322;Gwangmyeong-Si;Gyeonggi-do;Korea, Republic of;
1000658;YUGEON Co Ltd;4;+1085357000;jyabba@hanmail.net;www.yggnf.com/main/index.php;www.abb.com;29-10, Daecheong-ro 26beonan-gil;51012;Gimhae-si;Gyeongsangnam-do;Korea, Republic of;
1000721;Daejeong A & G Co Ltd;4;+24622162;sklee@djang.co.kr;www.djang.co.kr;www.abb.com;473-13 Gunja-Dong Gwangjin-Gu;04996;Seoul;Gyeonggi-do;Korea, Republic of;
