Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999759;Technica International;4;+9614982224;tony.haddad@technicaintl.com;www.technicaintl.com;www.abb.com;BICKFAYA INDUSTRIAL PARK;163;Bikfaya;Lebanon;Lebanon;
1000187;Gardelec Sarl;4;+9615456730;info@gardelec.co;www.gardelec.co;www.abb.com;Baabda-Brazilia, Damascus Main Road, Grundig . Bldg.;---;Beirut;Lebanon;Lebanon;
1000227;Harb Electric International S.A.L Off Shore;4;+9611841844;hussein.harb@harbelectric.com;www.harbelectric.com;www.abb.com;Harb Building, Facing Golf Club of Lebanon, Bir Hassan Area;1107-2090;Beirut;Lebanon;Lebanon;
1000406;PAC Power & Automation Control;4;+9611854286;purchasing@paclb.com;www.paclb.com;www.abb.com;Golf Club Street Harb Bldg, Golf Club Street, Bir Hassan, P.O Box 15-5101- Beirut;115101;Beirut;Lebanon;Lebanon;
1000767;EMCO Engineering Ltd;4;+9615452011;emco.lebanon@emcogroup.com;www.emcogroup.com;www.abb.com;Dr. Henry Saab Street, EMCO Building, 1st Floor;1107-2090;Hazmieh;Lebanon;Lebanon;
1001129;LEGRAND REPRESENTATIVE OFFICE IN LEBANON;4;;;www.legrand.com.lb;www.legrand.com;Achrafieh 5585 Bldg, 6th Floor P. Gemayel Avenue - Aadlieh Beirut Liban;;;;lebanon;
1004359;IBC Corp s.a.l;4;;racha@ibcleb.com;www.ibcleb.com;www.se.com;2931Airport business center;2814-4105;Beirut;;lebanon;
1004360;Information Technology Lebanon sarl;4;+961(3)128006;info@itleb.com;https://www.itleb.com/;www.se.com;Mansourieh;00961;Beirut;;lebanon;
1004362;UNI Lebanon s.a.l.;4;9611381060;jc.sacy@unileb.com.lb;www.unileb.com.lb;www.se.com;Sami Solh Boulevard- Makarem Bldg. 2nd floor P.O.Box 165934;1100 2080;Beirut;Beirut;lebanon;
1004363;Macrotronics;4;009613629883;info@macrotronics.net;;www.se.com;Ghazir;3005;JOUNIEH;;lebanon;
1004365;OE Group s.a.l.;4;;ussamahd@gmail.com;;www.se.com;Ain Mreisseh, Le 77 Building;2134;Beirut;;lebanon;
1004366;Rafic Gazzaoui & Co. s.a.l.;4;;info@gazzaoui.com;www.gazzaoui.com;www.se.com;GF, Jamil Ibrahim Bldg., Venezuela Str., Ramlet El Bayda,;LB;Beirut;;lebanon;
1004367;SYDEN;4;;nasr@sydenco.com;sydendesign.com;www.se.com;Achrafieh, st. Mgr. Messarah;70121;Beirut;Mount Lebanon;lebanon;
1004368;Tawreed for Trading and Enginering;4;096176804611;waddah@tawreed-lb.net;WWW.Tawreed-lb.net;www.se.com;Chtuara-Bar Elias;00961;Beirut;Beqaa;lebanon;
1004370;Tetracom;4;9611582111;elie.kortbawy@tetracom.com.lb;;www.se.com;460 Corniche Du Fleuve;16-6666;Beirut;Beirut;lebanon;
