Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001567;AFAQ ICT;4;00218213622621;sales@afaq.ly;https://afaq.ly/;www.se.com;Ben Ashour;2182107;Tripoli;;libya;
1001568;Alkhabeer for electrical service & technical consultant;4;00218914266310;mahmoud@alkhabeer.ly;www.alkhabeer.ly;www.se.com;Tripoli;00218;Tripoli;;libya;
1001569;LEADING TECH;4;00218913246267;sales@leading.ly;www.leading.ly;www.se.com;AL-Dahara, Saadoun Swehli Street;80616;TRIPOLI;;libya;
1001570;Libya Networks;4;+218912124221;sales@ln.ly;www.LN.LY;www.se.com;TRIPOLI LIBYA;00218;TRIPOLI;;libya;
1001571;Silicon Advanced Solutions;4;00218912140783;naser.shadi@siliconlibya.com;www.siliconlibya.com;www.se.com;شارع الحواتة - حى الأندلس طرابس- ليبيا ص.ب. 91639، Tripoli;1000;Tripoli;;libya;
1001573;Technology Expert Co.;4;+218-91-2189987;ahmed@t-expert.com.ly;www.t-expert.com.ly;www.se.com;al Gumhouria St,Zawit Al Dahmani Near Medical Complex;LY;Tripoli;;libya;
1001574;Yamamah Information Technology & Communication Sys;4;+218213407620;info@yamamah.ly;yamamah.ly;www.se.com;Ben Ashour Street, Tripoli, Libya.;83351;Tripoli;;libya;
1001575;Arkan Technology Company.;4;+218912138312;sales@arkantech.ly;www.arkantech.ly;www.se.com;Khaleed BinAlwaleed street, Aldahra Area;;Tripoli;;libya;
1001576;ATOM-TECH;4;0911110931;w.mogherbi@atom-tech.ly;www.atom-tech.ly;www.se.com;Al-Khalej Al-Arabi St., Al-Hadayek;00218;Benghazi-Libya;;libya;
1001577;Digital Future;4;00218913753940;contact@df-ly.com;www.df-ly.com;www.se.com;Hay-Alndalus;82227;Tripoli;;libya;
1001579;Electron International for Importing Digital Systems and Information Technology;4;+218927322659;info@electron.com.ly;;www.se.com;Ras Hassan, Jaraba St.;91914;Tripoli;;libya;
1001581;Fares for Networks And IT;4;00218917146270;osama.alforjani@fares-mena.com;;www.se.com;Medneen Street, near UAE Embassy, Gergaresh Road, Tripoli, Libya;00218;Tripoli;;libya;
1001582;IMKAN Engineering;4;+218914246272;muattaz_aneizi@imkaneng.com;www.imkaneng.com;www.se.com;Alazizeya Street no.(213);;Benghazi;;libya;
