Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999704;SICMA DESARROLLO TECNOLOGICO SA DE CV;4;+526626908023;;www.sicmadt.com;www.abb.com;CALLE CANANEOS 3  COL VILLA DEL REY;83293;HERMOSILLO;Sonora;Mexico;
999761;TEMI TECNICOS ESPECIALISTAS EN MANTENIMIENTO INDUSTRIAL, S.A. DE C.V.;4;+525553688156;;;www.abb.com;Lazaro Cardenas #10 Ferreria;02310;Azcapotzalco;Ciudad de Mexico;Mexico;
999817;ABI AUTOMATION SA DE CV;4;+525520132752;ana_diaz@elecsa.com.mx;abi.com.mx/;www.abb.com;Victoria 97-7 Bis ESQ.BALD. CENTRO;06050;Ciudad De Mexico;Ciudad de Mexico;Mexico;
999819;ABV ELECTRIC SUPPLY SA DE CV;4;+524433182650;ventas@abvelectricsupply.com;abi.com.mx;www.abb.com;CIRCUITO ESMERALDA #566 PUERTA TRES MARIAS SUR;58254;MORELIA;Michoacan;Mexico;
999820;ACCESORIOS PARA LA CONSTRUCCION DE INSTALACIONES ESPECIALES, S.A. DE C.V.;4;+529993059300;operaciones@apcie.com.mx;www.taacsa.com;www.abb.com;CALLE 61 No. 268 COL. FRANCISCO DE MONTEJO;97203;MERIDA;Yucatan;Mexico;
999843;Alta Tecnologia En Construccion, S.A. De C.V.;4;+524442730071;e.arias@atcisa.com.mx;www.atcisa.com.mx;www.abb.com;Av. Mariano Escobedo No. 3 Col Popotla;11400;Ciudad de Mexico;Ciudad de Mexico;Mexico;
999852;Anixter De Mexico, S.A. De C.V.;4;+525517986204;francisco.osorio@anixter.com;www.anixter.com;www.abb.com;Blvd. Manuel Avila Camacho No. 3130, Piso 5;54020;TLALNEPANTLA DE BAZ;Estado de Mexico;Mexico;
999880;Automatizacion Control Y Servicio, S.A. De C.V.;4;+525553809050;alfredo.rodriguez@acsabb.com;www.acsabb.com;www.abb.com;Circuito Flamingos Mz 36 Lt 27 Col. Valle De Tules;54040;Tultitlan;Estado de Mexico;Mexico;
999882;AYALA RODRIGUEZ MARIO;4;+523123129420;gerencia@raulin.com.mx;www.materialelectricoraulin.com;www.abb.com;MARIANO ARISTA #610 COL. LA ARMONIA;28020;COLIMA;Colima;Mexico;
999884;BADESA del Norte S.A. de C.V.;4;+528183111760;ventasmty@badesa.com.mx;www.badesa.com.mx;www.abb.com;Av. Fidel Velazquez #3213, Col. Nueva Morelos;64180;Monterrey;Nuevo Leon;Mexico;
999885;Baja Tension De Occidente, S.A. De C.V.;4;+523332681100;ventas@grupobto.com.mx;www.grupobto.com.mx;www.abb.com;AV.CIRCUNV.AGUSTIN YANEZ #1804  MODERNA;44190;GUADALAJARA;Jalisco;Mexico;
999886;Bajio Distribuciones Electromecanicas S.A. DE C.V.;4;+524777768800;heriberto.almaraz@badesa.com.mx;www.badesa.com.mx;www.abb.com;ISAAC NEWTON 203  EL PELUCHAN 1;37119;LEON;Guanajuato;Mexico;
999913;Canadien Co S.A. de C.V.;4;+528183652020;canadien@canadienco.com.mx;www.canadienco.com.mx;www.abb.com;PUERTO DE GUAYMAS 314  TORRE LAS BRISAS;64799;MONTERREY;Nuevo Leon;Mexico;
999923;Centro De Distribucion De Occidente Sa De Cv;4;+523338122910;ventas@cdosa.com.mx;www.cdosa.com;www.abb.com;Pino No. 1672;44900;Guadalajara;Jalisco;Mexico;
999941;Componentes, Equipos Y Soluciones Industriales;4;+529616153540;info@ceysi.com.mx;www.ceysi.com.mx;www.abb.com;Guerrero 33;29110;Tuxtla Gutierrez;Chiapas;Mexico;
999942;CONECTORES Y EQUIPOS SUBTERRANEOS SA DE CV;4;+525556570773;contacto@conselmexico.com;;www.abb.com;MORALISTAS 3 SAN JOSE ACULCO;09410;IZTAPALAPA;Ciudad de Mexico;Mexico;
999945;Consorcio Amesa Sa De Cv;4;+525556348860;ventas@amesa.com.mx;www.amesa.com.mx;www.abb.com;ISABEL LA CATOLICA # 586  COL ALAMOS;03400;BENITO JUAREZ;Ciudad de Mexico;Mexico;
999946;Consultoria en Tecnologia;4;+523321521906;contacto@cttyr.com;cttyr.com/home/;www.abb.com;Vasco de Quiroga 1298;44270;Guadalajara;Jalisco;Mexico;
999950;Controles Y Dispositivos Industriales, S.A. De C.V.;4;+525570954850;bcastillo@cydisa.com.mx;;www.abb.com;AYUNTAMIENTO NO 93-304  COLONIA CENTRO;06050;CUAUHTEMOC;Ciudad de Mexico;Mexico;
999955;Corporacion Electrica Del Bravo Sa De Cv;4;;ventas.mty@cebsainc.mx;www.cebsa.mx;www.abb.com;Paseo Loma Real No. 42-A;88274;Nuevo Laredo;Tamaulipas;Mexico;
999969;Delectric;4;+528121277090;ventas_monterrey@delectric.com.mx;www.delectric.com.mx;www.abb.com;Reforma 940 Ote., Colonia Centro;64000;Monterrey;Nuevo Leon;Mexico;
999973;DH INTERNATIONAL SA DE CV;4;+524422176548;info@dhinternational.com.mx;dhinternational.com.mx;www.abb.com;LLUVIA 8 BODEGA 15-B FRACC., INDUSTRIAL LA NORIA EL MARQUES;76246;QUERETARO;Queretaro;Mexico;
999974;DICESA PQS, S.A. DE C.V.;4;+524422090342;contacto@dicesabajio.com.mx;www.dicesamexico.com.mx;www.abb.com;PANAMERICANA 19 COL. MAGISTERIAL;76180;QUERETARO;Queretaro;Mexico;
999989;DISTRIBUCION Y CONTROL DE ENERGIA PQS SA DE CV;4;+525553684156;aalarcon@dicesamexico.com.mx;www.dicesamexico.com.mx;www.abb.com;AV. A 3 # 123 INT. 1  COL SANTA ROSA;03620;GUSTAVO A MADERO;Ciudad de Mexico;Mexico;
999993;DISTRIBUCIONES INTEGRALES REYHER, S.A. DE C.V.;4;+529842672200;carla@reyher.com.mx;N/A;www.abb.com;AV 10 MZA 378 LOTE 13 COL. LUIS DONALDO COLOSIO;77710;QUINTANA ROO;Quintana Roo;Mexico;
1000001;DISTRIBUIDORA ELECTRICA DIAZ ARMENTA SA DE CV;4;+526535341956;josetrujillo@electricadiaz.com.mx;www.electricadiaz.com.mx;www.abb.com;Av. Juarez y Calle 6ta, Col. Comercial;83449;San Luis Rio Colorado;Sonora;Mexico;
1000009;DOMO DISPLAY SA DE CV;4;+529988480361;abbmerida@ddelectrica.com;WWW.ECI.MX;www.abb.com;CERRADA RANA MZ 26 LOTE 17#382  SM 51 RESIDENCIAL MONTECARLO;77511;CANCUN;Quintana Roo;Mexico;
1000027;ELECTRICA CENTINELA S DE RL DE CV;4;+526865929294;ventas07@e-centinela.com;e-centinela.com;www.abb.com;Calz. Benito Juarez, No. 2238 Local 5, Centro Comercial Lazaro Cardenas, Fracc. Las Palmas;21360;Mexicali;Baja California;Mexico;
1000076;ELECTROINGENIERIA DEL BAJIO S DE RL DE CV;4;+524111600566;raul.fiscal@eibajio.com.mx;;www.abb.com;PASEO DE LAS CASUARINAS 201 RESIDENCIAL LOS HUERTOS;38335;CORTAZAR;Guanajuato;Mexico;
