Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001040;Legrand Electrica;4;;;www.legrand.pt;www.legrand.com;Legrand Electrica S.A. - Estrada da Alagoa, 96 2775-716 Carcavelos Portugal;;;;mozambique;
1019376;2ACZ-Engenharia,Lda;4;;c.cardoso@2acz.co.mz;https://web.facebook.com/pages/category/Science--Technology---Engineering/2ACZ-Engenharia-Lda-697453367118623/?_rdc=1&_rdr;www.se.com;Vladimir Lenine No174;2455;Maputo;;mozambique;
1019377;ALTEL;4;+25821505000;vguerra@altel.co.mz;www.altel.co.mz;www.se.com;R. Desportistas, 833, 14º andar;1000;Maputo;;mozambique;
1019378;Novas Soluções Lda;4;+25821307830;conacto@novassolucoes.co.mz;;www.se.com;Rua Consiglieri Pedroso nº 246;;Maputo;;mozambique;
1019379;PROJENITY;4;258845558888;sales@projenity.com;www.projenity.com;www.se.com;Av. 25 de Setembro, Nr. 1020, 5 Andar Dto.;1101;Maputo;;mozambique;
1019380;Provide Comércio e Serviços;4;+258842478761/840665218;comercial@provide.co.mz;www.provide.co.mz;www.se.com;Matola, Av. Samora Machel nr. 525 Centro ComercialTriangulo;1114;Matola, Maputo Provincia;;mozambique;
1019382;SOS SMART OFFICE SOLUTIONS, LDA;4;;info@smartoffice.co.mz;www.kyte.site/sos-smart-office-solutions-lda;www.se.com;Av. Zedequias Manganhela;0000;Matola;;mozambique;
1019383;Tecno Control;4;;rbarbara@tecnocontrol.co.mz;www.tecnocontrol.co.mz;www.se.com;Av Das FPLM No 362;2000;Maputo;;mozambique;
1019384;TOP TECH, LDA;4;+258822407517;toptech@toptech.co.mz;www.toptech.co.mz;www.se.com;Av. Kenneth Kaunda 674;1200;Maputo;;mozambique;
1019385;Triana Lda;4;;luciano.cordeiro@triana.co.mz;;www.se.com;AvHo Chi Min Nº 1911,;MZ;Maputo;;mozambique;
1019386;XAVA;4;+258842004014;sfotine@xava.co.mz;www.xava.co.mz;www.se.com;Rua da Resistencia, number 56, second floor;0551001;Maputo;;mozambique;
1019387;Compuworks | Megabyte;4;+25821310257;partners@megabyte.co.mz;www.megabyte.co.mz;www.se.com;Rua Joe Slove nr 62;32024;Maputo;;mozambique;
1019388;Dataserv;4;;saningo1988@gmail.com;www.dataserv-mz.com/;www.se.com;Av. 24 de Julho 1580 R/C;4490;Maputo;;mozambique;
1019390;iCUBE - Innovation Cube;4;+258855012901;info@icube-mz.com;www.icube-mz.com;www.se.com;Av. Patrice Lumumba, Praceta 1045, Casa 6;1101;Maputo;;mozambique;
1019391;infrasecur Moçambique;4;844071136;geral@infrasecur.co.mz;www.infrasecur.co.mz;www.se.com;Av. Agostinho Neto 1328;;Maputo;;mozambique;
1019392;Izone Business Solutions;4;+258843131000;im@izone.co.mz;;www.se.com;Av Karl Marx, 1905;1234;Maputo;;mozambique;
1019393;Linkwise;4;+258840303003;geral@linkwise.co.mz;WWW.LINKWISE.CO.MZ;www.se.com;Av.Josina Machel N885 R/C;1114;Maputo;;mozambique;
1019394;MANAGEMENT CONSULTANT, SA;4;+25821720660;augusto.h@mcsa.co.mz;https://www.mcsa.co.mz;www.se.com;MATOLA ''A'', PRAÇA DA JUVENTUDE Nº77;923;CIDADE DA MATOLA;;mozambique;
