Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999723;Spit Electrical Mechanics B.V.;4;+31885542000;info@spit.nl;www.spit.nl;www.abb.com;Bedrijvenpark Twente 451;7602 KM;Almelo;Overijssel;Netherlands;
999730;Stolk Electrotechnisch Wikkelbedrijf;4;+31164614959;info@stolkservices.nl;www.stolkservices.nl;www.abb.com;Voltweg 20;4631 SR;Hoogerheide;Noord-Brabant;Netherlands;
999757;Tebulo Industrial Automation B.V.;4;+31722005500;info@tebulorobotics.com;www.tebulorobotics.com;www.abb.com;Oudewal 27;1749 CA;Warmenhuizen;Noord-Holland;Netherlands;
999783;Van Bodegraven Elektromotoren B.V.;4;+31786147877;info@vanbodegraven.nl;vanbodegraven.nl;www.abb.com;Wattstraat 8;3316 AX;Dordrecht;Zuid-Holland;Netherlands;
999784;Van Meer B.V.;4;+31166602010;service@vanmeer.nl;www.vanmeer.nl;www.abb.com;Welgelegen 4;4691 SJ;Tholen;Zeeland;Netherlands;
999898;Bliek Elektrotechniek B.V.;4;+31765780100;info@bliekelektrotechniek.nl;www.bliekelektrotechniek.nl;www.abb.com;Zwarthoofd 1;4878 AL;Etten Leur;Noord-Brabant;Netherlands;
1000114;Aproco B.V.;4;+31851303847;info@aproco.nl;www.aproco.nl;www.abb.com;Haparandaweg 67-D3;1013 BD;Amsterdam;Noord-Holland;Netherlands;
1000145;Averobotics;4;+31653748817;;www.averobotics.com;www.abb.com;Collse Heide 8;5674 VN;Nuenen;Noord-Brabant;Netherlands;
1000154;Batenburg Beenen B.V.;4;+31513469500;info.beenen@batenburg.nl;www.batenburg.nl;www.abb.com;Mercurius 22;8448 GX;Heerenveen;Friesland;Netherlands;
1000155;Batenburg IAS B.V.;4;+31765975710;info.ias@batenburg.nl;www.batenburg.nl;www.abb.com;Bredaseweg 30;4881 DE;Zundert;Noord-Brabant;Netherlands;
1000276;Itsme B.V.;4;+31162484200;info@itsme.eu;www.itsme.eu/;www.abb.com;Steurweg 2;4941 VR;Raamsdonksveer;Noord-Brabant;Netherlands;
1000304;Koninklijke Oosterberg B.V.;4;+31553695500;;www.oosterberg.nl;www.abb.com;IJsseldijk 2;7325 WZ;Apeldoorn;Gelderland;Netherlands;
1000471;Rexel Nederland B.V.;4;+31885007000;info@rexel.nl;www.rexel.nl;www.abb.com;Bleiswijkseweg 35;2712 PB;Zoetermeer;Zuid-Holland;Netherlands;
1000536;Schuurman Groothandel in Elektrotechniek;4;+31725412300;info@schuurman.nl;www.schuurman.nl;www.abb.com;Fluorietweg 29;1812 RR;Alkmaar;Noord-Holland;Netherlands;
1000557;Solar Nederland B.V.;4;+31887652731;info@solarnederland.nl;www.solarnederland.nl;www.abb.com;Toermalijnstraat 7;1812 RL;Alkmaar;Noord-Holland;Netherlands;
1000609;T.G.H. Van Triest B.V.;4;+31593740740;info@tghvantriest.nl;www.tghvantriest.nl;www.abb.com;Ossebroeken 28;9411 VR;Beilen;Drenthe;Netherlands;
1000614;Technische Unie BV;4;+31205450345;info@technischeunie.com;www.technischeunie.com;www.abb.com;Bovenkerkerweg 10-12;1185 XE;Amstelveen;Noord-Holland;Netherlands;
1000643;Van Egmond Elektrogroothandel BV;4;+31314375300;verkoop@vanegmond.nl;www.vanegmond.nl;www.abb.com;Expeditieweg 4;7007 CM;Doetinchem;Gelderland;Netherlands;
1000752;Electro Drive B.V.;4;;info@electrodrive.nl;www.electrodrive.nl;www.abb.com;Dwarstocht 14;1507 CH;Zaandam;Noord-Holland;Netherlands;
