Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001043;Legrand;4;;;www.legrand.ng;www.legrand.com;Eleganza Biro Plaza Plot 634 - Adeyemo Alakija / Akin Adesola Street Victoria Island - Lagos Nigeria;;;;nigeria;
1004507;Aadvark Nigeria Limited;4;;daniel.israel@aadvark.com.ng;www.aadvark.com.ng;www.se.com;Suite 207/208 Midel Center Off Plot 14 Oladipo Diya Way Gudu;100108;Abuja;Federal Capital Territory;nigeria;
1004509;AREWA SYSTEM LIMITED;4;8034734071;ibro2fiow@yahoo.com;;www.se.com;24, Awolowo Way,;23401;Ikeja,;;nigeria;
1004510;Jamii Grouped Solutions Limited;4;+255784526699;info@jamii-solutions.net;www.jamii-solutions.net;www.se.com;Plot No. 443, Block No.D;14113;Dar Es Salaam;;nigeria;
1004511;JB COMPUTERS LTD;4;;jbcomputersltd@gmail.com;;www.se.com;Suite 4B, Zone 3 Shopping Complex;23409;Wuse;Federal Capital Territory;nigeria;
1004512;JD Zenith Technology;4;8037676428;oluniyi.omodolapo@gmail.com;;www.se.com;30,Old Otta Road;234;Orile Agege;Lagos;nigeria;
1004513;JETLINK LIMITED;4;;maxwell.oluku@jetlinkng.com;www.jetlinkng.com;www.se.com;Plot 18,Block 115,T.F Kuboye strt, by oniru shoping complex.;23401;Lekki,;Lagos;nigeria;
1004514;Jotech Computer Co. Ltd;4;+2348170705767;info@jotechltd.com.ng;www.jotechltd.com.ng;www.se.com;Suite A58 New Banex Plaza;900288;Abuja;Federal Capital Territory;nigeria;
1004516;JUBA VENTURES LIMITED;4;;jubavent@gmail.com;;www.se.com;1, OsiteluStreet,Computer village, Ikeja.;23401;Lagos;Lagos;nigeria;
1004517;K9 Technologies;4;;k9technologies18@gmail.com;;www.se.com;11, Oshitelu Street, Computer Village;100271;Ikeja;Lagos;nigeria;
1004518;Katartizo Investment Services Limited;4;2347067729601;aelegbe@gmail.com;www.katartizoinvservices.com;www.se.com;14 Waziri Ibrahim Crescent;900104;Gudu, Abuja;Federal Capital Territory;nigeria;
1004519;KEMSS ENGINEERING SERVICES;4;0243547751;kemssengineeringservices@gmail.com;WWW.kemssengineeringservices.com;www.se.com;ACCRA;+233;ACCRA;;nigeria;
1004520;Arravo Global Service;4;;julian.mbah@arravo.co;www.arravo.co;www.se.com;No. 33, Oyinkan Abayomi Drive,;23401;Ikoyi;Lagos;nigeria;
1004521;LAO Supplies Solutions;4;08090556174;olanrewaju@laosupplies.com;www.laosupplies.com;www.se.com;11 B temporary Quarters, Ijora Olopa, Lagos.;101251;Lagos;Lagos;nigeria;
1004522;Large system;4;;laju.etchie@gmail.com;;www.se.com;close 18 junction,;234;satellite town;Lagos;nigeria;
1004523;LOYAL TECHNOLOGY COMPANY;4;8032191955;loyaltechltd@yahoo.com;;www.se.com;1, Adepele Street, Computer Village;;Ikeja;Lagos;nigeria;
1004524;Machil Computers Allied Product Ltd;4;08033077296,0803307;machilnet@yahoo.com;www.machil.com;www.se.com;20 oremeji street off medical road computer village;234;ikeja;Lagos;nigeria;
1004525;MADSON JAPAN ENGINEERING (GH) LTD;4;0244356528;mitsuigroup@gmail.com;;www.se.com;B/52 FADAMA STREET, PLOT NO. 87 OPP.;+233;ACCRA;;nigeria;
1004527;Mann Support Services;4;08090645389;info@mannsupport.com;https://mannsupport.com/;www.se.com;19, Okunfolami Str, Anthony Village;100001;Lagos;Lagos;nigeria;
1004528;MARITA SOLUTIONS;4;0261260966;omarzi@yahoo.com;;www.se.com;SHOPE NO. 16, KINGSWAY BUILDING,;+233;ACCRA;;nigeria;
1004529;MEA SYSTEMS INTEGRATION LTD, NIGERIA;4;;kelechi.elenwoke@measystemsintegrationltd.com;https://measystemsintegrationltd.com/;www.se.com;43B ITAFAJI STREET IKOYI;101222;LAGOS;Lagos;nigeria;
1004530;MEGADATA INTEGRATED DIGITAL SOLUTIONS LIMITED;4;08022350012;george.michael@megadata.com.ng;www.mdis.com.ng;www.se.com;42 AYANGBUREN;;IKORODU;Lagos;nigeria;
1004531;AS Technologies ltd;4;08023258027;aajayiobe@as-technologies.com;www.as-technologies.com;www.se.com;11 Obe Street;2121;Ibadan;Oyo;nigeria;
1004532;MERGER-SERVE(TANZANIA)LTD;4;+255755789122;mergerserve@gmail.com;www.mergerserve.co.tz;www.se.com;MERGER-SERVE (T) LIMITEDAlong Kajenge Road - Kijitonyama Area, Block AP.O.BOX 42775DAR ES SALAAM, TANZANIATel: +255 22 2700857Mob:+255 755 789122Email:digilinksolutionltd@gmail.com;255;Dar Es Salaam;;nigeria;
1004533;Mickey Computers;4;08063153517;miceother@yahoo.co.uk;www.mickeycomputers.com.ng;www.se.com;Senior Staff Club, Delta Park, University of Port Harcourt;500101;Choba;Rivers;nigeria;
1004534;Microchips Systems Limited;4;+2348035963881;microchips@yahoo.com;www.microchips.com.ng;www.se.com;Suite 15, Zone 3 Shopping Complex, Wuse;90005;Abuja;;nigeria;
1004535;Microspeed Nigeria Limited.;4;;microspeed2003@yahoo.com;;www.se.com;suite 3b pepple street 15a, computer mega city, ikeja.;234;Ikeja;Lagos;nigeria;
1004536;MULTIBUILD LIMITED;4;0244207276;multibuildlimited@gmail.com;www.multibuild.com;www.se.com;11 ADDIS ABABA ST.;233;ACCRA;;nigeria;
1004538;NA7E-TECHNOLOGY COMPANY LIMITED;4;0786713368;info@na7etechnology.co.tz;www.na7etechnology.co.tz;www.se.com;13225 DAR ES SALAAM;255;DAR ES SALAAM;;nigeria;
1004539;NESSTRA GHANA LTD;4;0544347040;mahmoud.elfeki@nesstraghana.com;;www.se.com;9-12 DADEBAN ROAD, NORTH INDUSTRIAL AREA,;+233;Accra;;nigeria;
1004540;Network Expert Limited;4;0245268875;nazaire@networkxpert.co;www.networkexpert.com;www.se.com;DZORWULU JUNCTION, ADJACENT TO OMNI BANK, OMAI STREET;+233;Accra;;nigeria;
1004541;Nextroph Integrated Services;4;;promiseihejietom@gmail.com;Nextroph.com;www.se.com;No. 1 Oshitelu street, Ikeja, lagos;100002;lagos;Lagos;nigeria;
1004544;NONDERA ENERGY SERVICES LIMITED;4;+2348159493333;info@nondera.com;https://nondera.com/;www.se.com;21A Akanbi Disu Street Off Providence Road, Lekki Phase 1, Lagos, Nigeria;105102;Lagos;Lagos;nigeria;
1004545;OFFICEPAL GHANA LIMITED;4;0244319686;houssam.haidar@officepallimited.com;www.officepallimited.com;www.se.com;spintex road, opposite vodafone;+233;Accra;;nigeria;
1004546;OLUCHUKWUDI NIGERIA COMPANY;4;8060030189;oluchukwudi@yahoo.com;;www.se.com;20,Oremeji, Street.Computer village;23401;Ikeja;Lagos;nigeria;
1004547;Oman Fofor Trading CC;4;0264640520;mingle@omanfofor.com;www.omanfofor.com;www.se.com;P. O. Box 7101;+23321;Accra;;nigeria;
1004548;OMEGA COMPU SYSTEMS ENGINEERING LTD;4;0244267245;omegagh@hotmail.com;;www.se.com;MONA HSE. OPP. TRUST BANK, ADABRAKA;+233;ACCRA;;nigeria;
1004550;Orange Technologies Ltd;4;;ben@orange.co.tz;www.orange.co.tz;www.se.com;India Zanaki Street Opp Mc some Bureau, City Centre P.O.BOX 77555;77555;Dar es salaam;;nigeria;
1004552;OYEZA ENGINEERING LIMITED;4;+2348032810149;oyezaengineering@gmail.com;www.linktr.ee/oyezaengr;www.se.com;37, Kinuin-Ifa Street,;100242;Gbagada;Lagos;nigeria;
1004553;BAFEM ELECTRIC;4;08161778507;bafem01@yahoo.com;;www.se.com;Akobo gra Ibadan;200272;Ibadan;;nigeria;
1004554;PC STORE;4;;storepc@aol.com;;www.se.com;37, Sunmola Street, Mende ,;23401;Maryland;Lagos;nigeria;
1004555;Perfect Business Services Limited;4;+2330302778859;info@pbsl.com.gh;www.pbsl.com.gh;www.se.com;No. 260 South La Estates, Main La bypass;GP13724;Otswe Accra;;nigeria;
1004556;PILOBINS NETWORKS LIMITED;4;;pilobinsnetworks@gmail.com;www.pilobins.com;www.se.com;4, Pepple Street, Beside Zenith Bank, Computer Village,;23401;Ikeja,;Lagos;nigeria;
1004557;Planet Infra Limited;4;0789901999;info@planetinfraltd.co.tz;www.planetinfraltd.co.tz;www.se.com;PO Box No. 38288, Plot No 478/471, Block No 2, Zahra Arcade,2nd Floor, Mindu Street,;38288;Dar Es Salaam;;nigeria;
1004558;PLATO ENGINEERING SOLUTIONS;4;0242134555;platoengineeringsolutions@yahoo.com;;www.se.com;PLOT NO. 11 SAKY BADIAKO GELIL STREET,;+233;TEMA;;nigeria;
1004559;Power Systems Technology Limited;4;;info@powersystemstechnology.com;;www.se.com;91 Bode Thomas Street,¶Suru-Lere;NG;Lagos;;nigeria;
1004560;PRIOCLEN SOLAR LTD;4;;ademola@prioclen.com;prioclen.com;www.se.com;EN 15, JANET DUNIYA STREET, APO;900104;ABUJA;Federal Capital Territory;nigeria;
1004561;QUOMODO SYSTEMS LIMITED;4;09084884444;info@quomodosystems.com;www.quomodosystems.com;www.se.com;Suite1,3rd Floor Nusaiba Towers Jahi,Abuja;900108;Abuja;Federal Capital Territory;nigeria;
1004562;Radius Consulting Ghana Limited;4;00233302980964;alok@radiusconsultingghana.com;;www.se.com;No.4, Kofi Portuphy Avenue, Kisseman;+233;Accra;;nigeria;
1004563;Red Mango Ltd;4;233-552-741-155;bhupinder.singh@redmango.com.gh;www.redmango.com;www.se.com;1 Klan Street, North Industrial Area, PMB AN 364 Accra North – Ghana;00233;Accra;;nigeria;
1004564;Behold Ventures;4;7055807992;onifadesunday@yahoo.com;;www.se.com;48. Balarabe Musa Victoria Island Lagos;234;Lagos;Lagos;nigeria;
1004565;REHOBOTH SYSTEMS LIMITED;4;09068562560;info@rehobothsystemsltd.com;www.rehobothsystemsltd.com;www.se.com;Suite A52 Primal Tek Plaza;NG;Egbeda;Lagos;nigeria;
1004566;REINAGOLD TECHNOLOGIES LIMITED;4;806-756-4943;patience.adaobor@reinagoldtechnologies.com;www.reinagoldtechnologies.com;www.se.com;10, YAYA ABATAN STREET, AGUDA, OGBA;23401;IKEJA;Lagos;nigeria;
1004567;Reiss & Co (GH) Ltd;4;0244653030;ctanihu@reissco.com.gh;www.reisscogh.com;www.se.com;172/3 Paradise Road, Asylum Down, P.O. Box CT 5064 Cantonments;233;Accra;;nigeria;
1004568;RightClick Technologies;4;08094661403;info@rightclickng.com;https://www.rightclickng.com;www.se.com;4th Avenue, 401 Road, G Close, Block 1, Flat 13, Festac Town,;234001;Lagos;;nigeria;
