Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1002976;Capitolio S.R.L.;4;21232850;hmatiaud@capitolio.com.py;www.capitolio.com.py;www.se.com;Luis de Granada 312;0;Asuncion;Asuncion;paraguay;
1002977;DataLab SA;4;+59521209126;roberto.veron@datalab.com.py;www.datalab.com.py;www.se.com;Artigas 1645;1209;Asuncion;Central;paraguay;
1002978;Netlogic SRL;4;+59521612227;info@netlogic.com.py;;www.se.com;Belgica 210 esquina Guido Spano;0000;Asunción;Central;paraguay;
1002979;PARASOFT SRL;4;+59521601116;dpto.comercial@parasoft.com.py;www.parasoft.com.py;www.se.com;España Nro 2403 c/Venezuela;1701;Asunción;Central;paraguay;
1002980;Technoma S.A.C.I;4;+595217289615;alfredopizzuti@technoma.com.py;www.technoma.com.py;www.se.com;Calle 4 c/ Eduardo Schaerer Nro 150 Edificio Rosa T 4to. Piso – Complejo Barrail;1231;Asuncion;Asuncion;paraguay;
1002981;Telenet SRL;4;+59521228460;alan.argana@telenet.com.py;www.telenet.com.py;www.se.com;Av. España 1478;1584;Asuncion;Asuncion;paraguay;
1002983;General Network Services;4;;contacto@gns.com.py;https://gns.com.py/;www.se.com;Dr. Carlos Centurión 1070;2429;Asuncion;Central;paraguay;
1002984;HEIDECOM S.A.;4;+595213384797;roberto.arana@heidecom.com;www.heidecom.com;www.se.com;Mencia Calderon 1007;2106;Fernando de la Mora;Central;paraguay;
1002986;INNOVA SOLUCIONES Y SERVICIOS SRL;4;+59521513310;;www.innovatechnology.com.py/;www.se.com;Tte. Botana;555;Asunción;Central;paraguay;
1002988;La Estrella Solitaria S.A.;4;+595981491001;cbiedermann@pserver.com.py;www.pserver.com.py;www.se.com;Av. Esapana 308;0000;Asuncion;Asuncion;paraguay;
1002989;Netlogic;4;;colmedo@netlogic.com.py;;www.se.com;Bélgica 210 esquina Guido Spano Esquina Guido Spano Paralelo Mcal. Lopez;0;Asuncion;Asuncion;paraguay;
