Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999619;PROMECAL S.A.C.;4;+517154250;calibraciones@promecal.com.pe;www.promecal.com.pe;www.abb.com;Av. Guillermo Dansey Nro. 1094, (3er Piso);15082;Lima;Lima;Peru;
999814;A&B Soluciones Industriales Sac;4;+51(073)520-261;ventas@absi.com.pe;www.absi.com.pe;www.abb.com;AV. LORETO 529;20001;Piura;Piura;Peru;
999821;Accesorios Reycel S.r.l.;4;+51(1)464-0192;reycel@accesoriosreycel.com;www.accesoriosreycel.net;www.abb.com;Av. Argentina No 5954, Callao 01, Callao;07041;Callao;Callao;Peru;
999824;Advance Electrical Engineering Solutions S.A.C.;4;+51(1)624-4982;ventas@aees.com.pe;;www.abb.com;Calle Virgo 1003 Dpto 402 Urb Mercurio;15301;Los Olivos;Lima;Peru;
999853;Anixter Jorvex SAC.;4;+51(1)417-0202;ventas@jorvex.com;www.jorvex.com;www.abb.com;Av. Tingo Maria 311 N 355;15404;Lima;Lima;Peru;
999861;Ardiles Import S.A.C.;4;+51(1)319-0660;ventas@ardilesimport.com;www.ardilesimport.com;www.abb.com;Av. Santa Maria 230 Urb La Aurora (Alt. Clinica San Juan de Dios);15022;Ate;Lima;Peru;
999862;AREQUISA SERVICIOS S.A.C.;4;+51(1)383-7558;ventas@arequisa-servicios.com;;www.abb.com;Jr. Carlos Augusto Salaverry Nro. 610;15086;Magdalena;Lima;Peru;
999927;Chang Commercial S.A.C.;4;+51(1)473-1393;ventasenlinea@changcommercial.com;www.changcommercial.com;www.abb.com;Prolongacion Parinacochas 1560 int. 24;15034;Lima;Lima;Peru;
1000002;Distribuidora Incoresa S.A.;4;+51(1)564-1111;ventas@incoresa.com.pe;www.incoresa.com.pe;www.abb.com;Santa Bernardita 024 Urb. Palomino;15000;Lima;Lima;Peru;
1000016;Eecol Electric Peru Sac;4;+51(1)604-0999;lima@eecol.com.pe;www.eecol.com.pe;www.abb.com;Jr. Monterrey Urb. 405, Oficina 13;15038;Chorrillos;Lima;Peru;
1000018;Eisen Koller S.r.l.;4;+51(1)348-8885;ventas@grupokoller.com.pe;www.grupokoller.com.pe;www.abb.com;Avenida Separadora Industrial 2981, Urb. Mayorazgo;15012;Ate;Lima;Peru;
1000054;ELECTRO ARTEAGA S.r.l.;4;+51(1)427-5422;ventas@arteaga.pe;www.earteaga.pe;www.abb.com;Av Franklin D. Roosevelt 389;15063;Lima;Lima;Peru;
1000059;Electro Industrial Solutions SA;4;+51(1)207-1107;ventas@eissa.com.pe;www.eissa.com.pe;www.abb.com;Jr. San Fernando Nro. 225 Urb. Santa Luisa;15306;Los Olivos;Lima;Peru;
