Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999845;American Technologies Inc;4;+63285840000;inquiry@ati.com.ph;www.ati.com.ph;www.abb.com;#5 Ideal St. Cor Mccollough St., Brgy Addition Hills;1552;Mandaluyong City;NCR;Philippines;
999951;Controlgear Electric Corp;4;+6322998238;sales@cecph.com;www.cecph.com;www.abb.com;117 R.E. Chico St. Brgy. Sto. Cristo, Baliwag;3006;Bulacan;Central Luzon;Philippines;
999957;Cosine Industries Inc;4;+63283670025;sales@cosine.com.ph;www.cosine.net.ph/;www.abb.com;10 Maximo Viola St., Brgy. Balingasan;1100;Quezon City;NCR;Philippines;
1000005;Distribution & Control Products, Inc;4;+6325357644;sales@dcpi.com.ph;www.dcpi.com.ph;www.abb.com;74 P. Cruz Street, Brgy. San Jose;1550;Mandaluyong City;NCR;Philippines;
1000178;Fepcor Electrical Corporation;4;+63284036392;fepcorsales@gmail.com;;www.abb.com;Unit 2-1 Sunshine Cond 9633 Kamagong Street;1203;San Antonio Village, Makati City;NCR;Philippines;
1000192;Gentec Distribution Corporation;4;+6325326577;sales@gentecgroup.com;www.gentecgroup.com;www.abb.com;357 Dr. Jose Fernandez st., Brgy. Highway Hills;1553;Mandaluyong City;NCR;Philippines;
1000221;Gtech Solutions Inc;4;+63820-2593;;www.facebook.com/GTechSolutionsInc;www.abb.com;4-B Philcrest Ii Compound Km23 West Service Road Cupang;1771;Muntinlupa;NCR;Philippines;
1000239;Hph Technical Solutions, Inc;4;+63288084735;inquiries@hphtechsolutions.com;www.hphtechsolutions.com;www.abb.com;Unit 210 AVI Commercial Center Abel Norce St., BFRB;1740;Las Pinas City;NCR;Philippines;
1000295;KC Industrial Corporation;4;+6327810102;sales@kcic.com.ph;www.kcindustrial.com;www.abb.com;1520 Mayhaligue St Brgy 329 Zone 33 Dist Iii Cor T Mapua Sta Cruz;1003;Manila;NCR;Philippines;
1000296;Kema Energy Solutions, Inc;4;+63283643649;allan.ventura@kemaenergy.com;kemaenergy.com;www.abb.com;#366 2nd St. between 9th & 10th Ave. Grace Park;1403;Caloocan City;NCR;Philippines;
1000316;Lj Industrial Fabrication, Inc;4;+63288082956;sales@ljindustrial.com;www.ljindustrial.com;www.abb.com;1422 Librada Avelino St. Brgy. 858 Zone 93 Dist VI Pandacan;1011;Manila;CALABARZON;Philippines;
1000344;Mega Ricton Commercial & Industrial Corporation;4;+6328880215;megaricton@yahoo.com.ph;megaricton.bloombiz.com;www.abb.com;Unit 7-B No. 2519 M. Dela Cruz Street;1300;Pasay City;NCR;Philippines;
1000424;PowerEdge Solutions Philippines, Inc;4;;sales@poweredge.com.ph;www.poweredge.com.ph;www.abb.com;285 Haig Street;1552;Mandaluyong City;NCR;Philippines;
1000426;Prisma Electrical Controls Corp;4;+63287334526;projects@zenithinternational.ph;www.zenithunited.com;www.abb.com;682 Florentino Torres Street, Sta. Cruz;1003;Manila;NCR;Philippines;
1000738;EastAsia Solutions Technologies Corporation;4;+63283560301;;www.eastasia-tech.com;www.abb.com;Unit 401-402 #77 Visayas Ave Brgy. Vasra;1128;Quezon City;NCR;Philippines;
1000868;Instrumentation And Control Specialists Inc;4;+6327171299;;www.incs.com.ph;www.abb.com;Units A & B 31 Mayon Street;1550;Mandaluyong City;NCR;Philippines;
1001137;BTICINO;4;;;bticino.ph;www.legrand.com;Bticino - Philippines INC. G/F All Seasons Bldg. 112 Aguirre St., Legaspi Village 1229 Makati City Philippines;;;;philippines;
