Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999801;WRZOSEL Tadeusz Bartnicki, Jerzy Chudanski Spolka komandytowa;4;+48566528400;wrzosel@wrzosel.pl;www.wrzosel.pl;www.abb.com;ul. Maszynowa 19;87-100;Torun;kujawsko-pomorskie;Poland;
999879;AUTOMATIQ Sp. z o.o.;4;+48694771199;marcin@automatiq.pl;www.automatiq.pl;www.abb.com;ul. Skladowa 9;62-081;Przezmierowo;wielkopolskie;Poland;
999908;BW-DESIGN;4;+48605115715;biuro@bwsystem.pl;www.bwsystem.pl;www.abb.com;ul. Raclawowka 283C;36-047;Niechobrz;podkarpackie;Poland;
1000115;APS Automatyka Pomiary Sterowanie S.A.;4;+48857483400;aps@aps.pl;www.aps.pl;www.abb.com;ul. Mickiewicza 95F;15-257;Bialystok;podlaskie;Poland;
1000236;Hirschmann Hirschmann Dorota;4;+48228700200;biuro@in-el.pl;www.in-el.pl;www.abb.com;ul. Radziwie 5 lok. 157;01-164;Warszawa;mazowieckie;Poland;
1000268;Inteligentny Budynek Polska Sp. z o.o.;4;+48666011160;biuro@inteligentny-budynek.pl;www.inteligentny-budynek.pl;www.abb.com;ul. Wislanego Nurtu 3;04-987;Warszawa;mazowieckie;Poland;
1000269;INTELYO Sp. z o.o.;4;+48222138230;info@intelyo.com;www.intelyo.com;www.abb.com;ul. Zelwerowicza 4/4;02-928;Warszawa;mazowieckie;Poland;
1000271;InterControls;4;+48614152962;biuro@intercontrols.pl;www.intercontrols.pl;www.abb.com;ul. Winogrady 43/47;61-663;Poznan;wielkopolskie;Poland;
1000315;LIKON;4;+48606486811;info@likon.pl;www.likon.pl/;www.abb.com;OWCZARSKA 11;01-352;Warszawa;mazowieckie;Poland;
1000324;Maciej Tomczyk Elektris;4;+48780007178;elektris@elektris.pl;www.elektris.pl;www.abb.com;ul. Ignacego Dobrogojskiego 30A;61-692;Poznan;wielkopolskie;Poland;
1000349;MESTI Sp. z o.o.;4;+48607875737;biuro@mesti.pl;www.mesti.pl/;www.abb.com;ul. Chemiczna 2A;61-013;Poznan;wielkopolskie;Poland;
1000923;Linteli Sp.z o.o.;4;+48616247677;linteli@linteli.com.pl;www.linteli.com.pl;www.abb.com;Zakrzewo, Ul. Poziomkowa 10;62-070;Dopiewo;wielkopolskie;Poland;
1000989;P.U.P. Skamer - ACM Sp. z.o.o.;4;;tarnow@skamer.pl;www.skamer.pl;www.abb.com;ul. Rogoyskiego 26;33-100;Tarnow;malopolskie;Poland;
1001196;Legrand;4;;;www.legrand.pl;www.legrand.com;Legrand Polska Sp. z o.o. - ul. Domaniewska 48 02-672 Warsaw Pologne;;;;poland;
1012961;AC/DC Electric Artykuly Elektrotechniczne;4;+48586614849;;;www.se.com;Morska 107/109;81-222;Gdynia;Pomorskie;poland;
1012963;Bargo Sp.z o.o.;4;+48227892811;;;www.se.com;Pilsudskiego 16;05-420;Józefów;Mazowieckie;poland;
1012964;ELZAP Elektrotechnika Sp. z o.o.;4;+48748523109;;;www.se.com;Slaska 19;58-100;Swidnica;Dolnoslaskie;poland;
1012965;Enexon;4;+48566563922;torun@enexon.pl;;www.se.com;ul. B. Chrobrego 145/147;87-100;Toruń;Kujawsko-Pomorskie;poland;
1012966;Enexon;4;+48322350217;rybnik@enexon.pl;;www.se.com;ul. Gliwicka 103;44-200;Rybnik;Slaskie;poland;
1012967;Enexon;4; +48446490265;piotrkow@enexon.pl;;www.se.com;ul. Wysoka 19;97-300;Piotrków Trybunalski;Lodzkie;poland;
1012968;Enexon;4;+48857482185;bialystok@enexon.pl;;www.se.com;ul. Ryska 1;15-008;Białystok;Podlaskie;poland;
1012969;Enexon;4;+48876218754;elk@enexon.pl;;www.se.com;ul. Jana Kilińskiego 11;19-300;Ełk;Warminsko-mazurskie;poland;
1012970;Enexon;4;+48323271918;tychy@enexon.pl;;www.se.com;ul. Damrota 163;43-100;Tychy;Slaskie;poland;
1012971;Enexon;4;+48413473460;kielce@enexon.pl;;www.se.com;ul. Oskara Kolberga 17;25-620;Kielce;Swietokrzyskie;poland;
1012972;Enexon;4;+48226778546;warszawa@enexon.pl;;www.se.com;ul. Kolneńska 4;02-242;Warszawa;Mazowieckie;poland;
1012973;Enexon;4;+48957257622;gorzow@enexon.pl;;www.se.com;ul. Podmiejska-Boczna 16;66-400;Gorzów Wielkopolski;Lubuskie;poland;
1012975;Enexon;4;+48914878778;szczecin@enexon.pl;;www.se.com;ul. Santocka 39;71-126;Szczecin;Zachodnio-Pomorskie;poland;
1012976;Enexon;4;+48323350629;gliwice@enexon.pl;;www.se.com;ul. Chorzowska 113;44-100;Gliwice;Slaskie;poland;
1012977;Enexon;4;+48322039402;katowice@enexon.pl;;www.se.com;Gzichowska 115 lok. nr 4 BĘDZIN;42-500;Katowice;Slaskie;poland;
1012978;Enexon;4;+48158440151;stalowa@enexon.pl;;www.se.com;Solidarności 2C;37-450;Stalowa Wola;Podkarpackie;poland;
1012979;Enexon;4;+48178542855;rzeszow@enexon.pl;;www.se.com;ul. Przemysłowa 8;35-105;Rzeszów;Podkarpackie;poland;
1012980;Enexon;4; +48713546150;wroclaw@enexon.pl;;www.se.com;ul. Armii Krajowej 61;50-541;Wrocław;Dolnoslaskie;poland;
1012981;Enexon;4;+48422532575;lodz@enexon.pl;;www.se.com;ul. Brukowa 8;91-341;Łódź;Lodzkie;poland;
1012982;Enexon;4;+48126530240;krakow@enexon.pl;;www.se.com;ul. Kornela Makuszyńskiego 22a;31-752;Kraków;Malopolskie;poland;
1012983;Enexon;4;+48166233284;jaroslaw@enexon.pl;;www.se.com;ul. Władysława Reymonta 2;37-500;Jarosław;Podkarpackie;poland;
1012984;Enexon;4;+48616464394;poznan@enexon.pl;;www.se.com;ul. Jana Czochralskiego 15;61-248;Poznań;Wielkopolskie;poland;
1012986;Enexon;4;+4863245-70-03;konin@enexon.pl;;www.se.com;ul. Spółdzielców 46/1P;62-510;Konin;Wielkopolskie;poland;
1012987;Enexon;4;+48818885025;pulawy@enexon.pl;;www.se.com;ul. Dęblińska 6a;24-100;Puławy;Lubelskie;poland;
1012988;Enexon;4;+48166751315;przemysl@enexon.pl;;www.se.com;ul. Gen. Jakuba Jasińskiego 32;37-700;Przemyśl;Podkarpackie;poland;
1012989;Enexon;4; +48814417303;lublin@enexon.pl;;www.se.com;ul. Budowlana 10a;20-469;Lublin;Lubelskie;poland;
1012990;Enexon;4; +48627357755;ostrow@enexon.pl;;www.se.com;ul. Radłowska 10;63-400;Ostrów Wielkopolski;Wielkopolskie;poland;
1012991;Enexon;4;+48523663935;bydgoszcz@enexon.pl;;www.se.com;ul. Łęczycka 59;85-737;Bydgoszcz;Kujawsko-Pomorskie;poland;
1012992;Enexon;4; +48146293121;tarnow@enexon.pl;;www.se.com;ul. Hodowlana 6;33-100;Tarnów;Malopolskie;poland;
1012993;Enexon;4;+48412564662;ostrowiec@enexon.pl;;www.se.com;ul. Jana Kilińskiego 39;27-400;Ostrowiec Świętokrzyski;Swietokrzyskie;poland;
1012994;Enexon;4;+48583422103;gdansk@enexon.pl;;www.se.com;ul. Śnieżna 5;80-544;Gdańsk;Pomorskie;poland;
1012995;Enexon;4;+48343671472;czestochowa@enexon.pl;;www.se.com;ul. Dekabrystów 68/76;42-200;Częstochowa;Slaskie;poland;
1012996;Castorama Polska Sp. z o.o.;4;+48182630100;;;www.se.com;Szaflarska 176;34-400;Nowy Targ;Malopolskie;poland;
1012997;ETAK Sp. z o.o.;4;+48338423388;;;www.se.com;Chemików 9C;32-600;Oswiecim;Malopolskie;poland;
1012998;EWPOL Automatyka Przemysłowa Paweł, Ewa Weretko Sp. J.;4;+48713414922;;;www.se.com;Balzaka 89;52-437;Wroclaw;Dolnoslaskie;poland;
1012999;FEGA Poland Sp. z o.o.;4;+48713760900;fega@fega.com.pl;www.fega.com.pl/;www.se.com;Fabryczna 17;53-609;Wrocław;Dolnoslaskie;poland;
1013003;Fega Poland Sp. z o.o.;4;+48323583740;;;www.se.com;al. Roździeńskiego 190B;40-203;Katowice;Slaskie;poland;
1013005;Fega Poland Sp. z o.o.;4;+48158434820;;;www.se.com;Handlowa 1B;37-450;Stalowa Wola;Podkarpackie;poland;
1013007;Castorama Polska Sp. z o.o.;4;+48178613100;;;www.se.com;Rejtana 67;35-959;Rzeszów;Podkarpackie;poland;
1013009;Firma Handlowo Uslugowa EL-MARK Roman Czyz;4;+48338551128;;;www.se.com;GórnoSlaska 32C;43-460;Wisla;Slaskie;poland;
1013018;Castorama Polska Sp. z o.o.;4;+48328273100;;;www.se.com;Warszawska 186;43-300;Bielsko-Biala;Slaskie;poland;
