Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001046;Legrand;4;;direction-export.limoges@legrand.fr;;www.legrand.com;Almadies. Zone 12 - Derrière BICIS et UBA BP 29174 Dakar Yoff Senegal;;;;senegal;
1001246;Access Américan Informatic;4;;sowhane@groupe1-access.com;www.group-access.com;www.se.com;liberté 3 villa N°1992;64548;Dakar;;senegal;
1001247;ARC INFORMATIQUE;4;+221338598585;;;www.se.com;POINT E Rue 1, Dakar, Sénégal;RUE 429;Dakar;;senegal;
1001248;SECOMDIS SARL;4;+221775148080;cheikh.ndiaye@secomdis.com;www.secomdis.com;www.se.com;Zone A Bd Dial Diop N° 2A;47186;DAKAR;;senegal;
1001249;SUP TECH SOLUTIONS & SERVICES;4;00221772814949;supt2s@outlook.fr;www.st2s.sn;www.se.com;Hann Mariste Scat Urbam Villa O78;99000;Dakar;;senegal;
1001250;TCS Entreprises;4;+221338894820;contact@tcsentreprises.com;www.tcsentreprises.com;www.se.com;34-36 Boulevard de la républiqueSénégal;27041;Dakar;;senegal;
1001251;Univers TELECOM SN;4;00221786070965;maryse.faye@universtelecom.net;www.universtelecom.net;www.se.com;129 , Liberte 6 Derriere la pharmacie Camp  Leclerc;17335;Dakar;;senegal;
1001252;BADIANE&BUSINESS PARTNERS SUPPLIERS;4;781414242;bbusinesspartners@gmail.com;www.badianebps.sn;www.se.com;231 SICAP MBAO, PIKINE ROUTE DES NIAYES;16372;DAKAR;;senegal;
1001253;CFAO TECHNOLOGIES SENEGAL;4;+221338698900;mcoly@cfao.com;;www.se.com;103 Rue 103;SN;Dakar;;senegal;
1001254;DIGITAL TECHNOLOGY INTL SARL;4;338691018;contact@dtisarl.com;www.dtisarl.com;www.se.com;2eme etage villa 40,;12000;Dakar;;senegal;
1001255;EATS SARL;4;;bsn.hiten@eats-sarl.sn;www.eats-sarl.com;www.se.com;Cité Hamo2;21603;Dakar;;senegal;
1001256;LIFT TRADE AND TECH;4;+221774086908;patrice@littra.net;www.littra.net;www.se.com;76 Cite Asecna Liberte 6 extension;11000;Dakar;;senegal;
1001257;MC3 SENEGAL;4;00221766458620;bachir_diallo@mc3.fr;www.mc3partners.com;www.se.com;Villa Rose Rue de Diourbel x G Point E;FR;DAKAR;;senegal;
1001258;NEUROTECH;4;;abdoulaye@neurotech.sn;;www.se.com;8, boulevard du sud Point E;14 276;DAKAR;;senegal;
1001259;RICHARD EQUIPEMENT S.A.;4;+221338225695;marianne.diop@richardequipement.com;;www.se.com;RICHARD EQUIPEMENT 17 RUE MOUSSE DIOP PO BOX 22337 DAKAR;18524;DAKAR;;senegal;
