Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999566;AB Elektriska Motorcentralen;4;+46091013085;info@elmotorcentralen.se;www.elmotorcentralen.se;www.abb.com;Filtergrand 3;931 57;Skelleftea;Vasterbottens Lan;Sweden;
999585;AF-Industry AB;4;+46105050000;info@afconsult.com;afry.com;www.abb.com;Industrivagen 4;695 30;Laxa;Orebro Lan;Sweden;
999586;AF-Industry AB;4;+46105050000;info@afry.com;www.afry.com;www.abb.com;Frosundaleden 2;169 75;Solna;Stockholms Lan;Sweden;
999606;Andon Robotics AB;4;+4619207200;info@andonrobotics.com;www.andonrobotics.se;www.abb.com;Radiatorvagen 2;702 27;Orebro;Orebro Lan;Sweden;
999608;Animex AB;4;;info@animex.se;www.animex.se;www.abb.com;Smedgatan 3;333 71;Bredaryd;Jonkopings Lan;Sweden;
999610;Prevas AB;4;+460213601900;info@prevas.se;www.prevas.se;www.abb.com;Legeringsgatan 18;721 30;Västerås;Varmlands Lan;Sweden;
999626;PV Systems AB;4;+4650217520;info@pvs.se;www.pvs.se;www.abb.com;Skaftgatan 1;522 30;Tidaholm;Vastra Gotalands Lan;Sweden;
999643;Rejlers Sverige AB;4;+46771780000;;www.rejlers.se;www.abb.com;Lantmaterigatan 2a 3tr;802 64;Gavle;Gavleborgs Lan;Sweden;
999656;RobotCenter Laxa AB;4;+46730707321;info@robotcenterlaxa.se;www.robotcenterlaxa.se;www.abb.com;Storangsvagen 1;695 30;Laxa;Orebro Lan;Sweden;
999663;Robotteknik Swe AB;4;+46037116850;info@robotteknik.com;www.robotteknik.com;www.abb.com;Ågatan 3;334 32;Anderstorp;Jonkopings Lan;Sweden;
999664;Rorick Elektriska Verkstad AB;4;+460221457500;rorick.el@rorick.se;www.rorick.se;www.abb.com;Volvogatan 4B;731 36;Koping;Vastmanlands Lan;Sweden;
999741;Sverull ElektroDynamo AB;4;+46510-301021;order@sverull.se;www.sverull.se;www.abb.com;Majorsallen 2;531 33;Lidkoping;Vastra Gotalands Lan;Sweden;
999742;Sverull ElektroDynamo AB;4;+4654-224940;order@sverull.se;www.sverull.se;www.abb.com;Faktorigatan 23;652 21;Karlstad;Varmlands Lan;Sweden;
999743;Sverull ElektroDynamo AB;4;+4631-269510;order@sverull.se;www.sverull.se;www.abb.com;Backa Bergogata 15;422 46;Hisings Backa;Vastra Gotalands Lan;Sweden;
999744;Sverull ElektroDynamo AB;4;+4611-285550;order@sverull.se;www.sverull.se;www.abb.com;Koppargatan 3;602 23;Norrkoping;Ostergotlands Lan;Sweden;
999764;Tranemo Elektromekaniska Verkstad AB;4;+4632518720;info@temab.com;www.temab.com/;www.abb.com;Moavägen 6;514 32;Tranemo;Vastra Gotalands Lan;Sweden;
999796;Wemo Automation AB;4;+46370658500;info@wemogroup.com;www.wemo.se;www.abb.com;Bredastensvägen 12;331 44;Värnamo;Jonkopings Lan;Sweden;
999826;Ahlsell Sverige AB;4;+4686857000;;www.ahlsell.se;www.abb.com;Faltspatvagen 1B;224 78;Lund;Skane Lan;Sweden;
999828;Aktieagareforen Centex Elkedjan;4;+4637119300;info@elkedjan.se;;www.abb.com;Box 3;334 21;Anderstorp;Jonkopings Lan;Sweden;
