Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999837;Alltron AG;4;+41628898888;info@alltron.ch;www.alltron.ch/;www.abb.com;Hintermattlistrasse 3;5506;Magenwil;Aargau;Switzerland;
999900;BRACK.CH AG;4;+41628898080;verkauf@brack.ch;www.brack.ch/;www.abb.com;Hintermattlistrasse 3;5506;Magenwil;Aargau;Switzerland;
1000017;EFCO Befestigungstechnik AG;4;+41442098111;info@efco.swiss;efco.swiss/;www.abb.com;Grabenstrasse 1;8606;Nanikon;Zurich;Switzerland;
1000087;Elektro-Material AG;4;+41442781111;em-zh@e-m.ch;www.elektro-material.ch;www.abb.com;Juchstrasse 9;8048;Zurich;Zurich;Switzerland;
1000095;EL-Kabel-AG;4;+41414555070;verkauf@elkabel.ch;www.elektrogrosshandel.ch;www.abb.com;Leisibachstrasse 9;6037;Root;Lucerne;Switzerland;
1000102;EM Electro-Materiel SA;4;+41223091313;em-ge@e-m.ch;www.e-m.ch;www.abb.com;Rue Eugene-Marziano 14;1211;Les Acacias;Geneva;Switzerland;
1000103;EM Electro-Materiel SA;4;+41273244000;em-si@e-m.ch;www.elektro-material.ch;www.abb.com;Rue Traversiere;1950;Sitten;Vaud;Switzerland;
1000104;EM Elektro-Material AG;4;+41612861313;em-ba@e-m.ch;www.e-m.ch;www.abb.com;Genuastrasse 15;4142;Munchenstein;Basel Stadt;Switzerland;
1000105;EM Elektro-Material AG;4;+41413680888;em-lz@e-m.ch;www.e-m.ch;www.abb.com;Tribschenstrasse 61;6005;Luzern;Lucerne;Switzerland;
1000106;EM Elektro-Material AG;4;+41319858181;em-be@e-m.ch;www.elektro-material.ch/de/cms/seite/bern;www.abb.com;Riedbachstrasse 165;3027;Bern;Bern;Switzerland;
1000107;EM Elettro-Materiale SA;4;+41916122020;em-lu@e-m.ch;www.elektro-material.ch;www.abb.com;Via Industria 6;6814;Lamone;Ticino;Switzerland;
1000228;Helion - Bouygues E&S InTec Schweiz AG;4;+41326770406;info@helion.ch;www.helion.ch/;www.abb.com;Allmendweg 8 (Geb. 317);4528;Zuchwil;Solothurn;Switzerland;
1000338;Mattle Industrie-Produkte AG;4; +41449381333;info@mattle-ag.ch;shop.mattle-ag.ch/index.php;www.abb.com;Allmendstrasse 8;8320;Fehraltorf;Zurich;Switzerland;
1000372;Mobility House AG, The;4;+41435082731;;www.mobilityhouse.com;www.abb.com;Technoparkstr. 1;8005;Zurich;Zurich;Switzerland;
1000389;Novitronic AG;4;+41443069191;info@novitronic.ch;www.novitronic.ch/;www.abb.com;Thurgauerstrasse 74;8050;Zurich;Zurich;Switzerland;
1000402;Otto Fischer AG;4;+41442767676;info@ottofischer.ch;www.ottofischer.ch;www.abb.com;Aargauerstrasse 2;8048;Zurich;Zurich;Switzerland;
1000420;Polielectra SA;4;+41918573634;info@polielectra.ch;www.polielectra.ch/;www.abb.com;Via Campagna 2.1;6512;Giubiasco;Ticino;Switzerland;
1000564;Sonepar Suisse AG;4;+41448395711;verkauf_wa@w-f.ch;www.w-f.ch;www.abb.com;Birgistrasse 10;8304;Wallisellen;Zurich;Switzerland;
1000565;Sonepar Suisse AG - Carouge;4;+41223420160;info@epgsa.ch;www.w-f.ch;www.abb.com;Route des Jeunes 105;1227;Carouge;Geneva;Switzerland;
1000567;Sonepar Suisse AG - Colombier;4;+41327378888;vente_co@sonepar.ch;www.w-f.ch;www.abb.com;Avenue de Longueville 17;2013;Colombier;Neuchatel;Switzerland;
1000568;Sonepar Suisse AG - Giubiasco;4;+41918500535;info@fabbri.ch;www.w-f.ch;www.abb.com;via Linoleum 14 (Magazzino);6512;Giubiasco;Ticino;Switzerland;
1000569;Sonepar Suisse AG - Ittigen;4;+41319174030;verkauf_it@w-f.ch;www.w-f.ch/;www.abb.com;Worblentalstrasse 28;3063;Ittigen;Bern;Switzerland;
1000570;Sonepar Suisse AG - Pregassona;4;+41919732264;info@fabbri.ch;www.w-f.ch;www.abb.com;via Boschina 21a (Magazzino);6962;Pregassona;Ticino;Switzerland;
1000571;Sonepar Suisse AG - Renens;4;+41216370188;vente_re@sonepar.ch;www.w-f.ch;www.abb.com;Rue de Lausanne 79;1020;Renens;Vaud;Switzerland;
1000572;Sonepar Suisse AG - Rothenburg;4;+41412594050;verkauf_ro@w-f.ch;www.w-f.ch;www.abb.com;Sonnmatthof 6;6023;Rothenburg;Lucerne;Switzerland;
1000573;Sonepar Suisse AG - Sion;4;+41274518010;vente_vs@sonepar.ch;www.w-f.ch;www.abb.com;Route de l'Aeroport 37;1950;Sion;Valais;Switzerland;
1000574;Sonepar Suisse AG - St.Gallen;4;+41713147777;verkauf_sg@w-f.ch;www.w-f.ch/;www.abb.com;Edisonstrasse 5;9015;St. Gallen;St. Gallen;Switzerland;
1000578;Standard AG;4;+41613788200;verkauf@standard.ch;www.elektrogrosshandel.ch;www.abb.com;Freulerstrasse 6;4127;Birsfelden;Basel Land;Switzerland;
1000623;Texag Handels AG;4;+41318184040;info@texag.ch;www.texag.ch;www.abb.com;Buetigenstrasse 74;2557;Studen;Bern;Switzerland;
