Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999649;Riken Electric Co Ltd;4;+886-2-22236131;ken@riken.com.tw;www.riken.com.tw;www.abb.com;No.59, Jinhe Rd., Zhonghe Dist.;235;Taipei;New Taipei City;Taiwan (Chinese Taipei);
999732;SUCOM ELECTRIC Ltd;4;+8862-27120098;frankie@sucom.com.tw;www.sucom.com.tw;www.abb.com;3F.-6, No. 170, Sec. 3, Minquan E. Rd., Songshan Dist.;10542;Taipei;Taipei City;Taiwan (Chinese Taipei);
999779;UNIVERSAL DIRECT DIGITAL CONTROL Co Ltd;4;+886423553069;ud.digital@msa.hinet.net;www.udd.net.tw;www.abb.com;1F., No. 78, Gongyequ 38th Rd., Xitun District;40768;Taichung;Taichung City;Taiwan (Chinese Taipei);
999795;Weltall Technology Corporation;4;+88635729666;;www.woya.com.tw;www.abb.com;4F-3, No. 83, Sec. 2, Gongdao 5th Rd., East Dist.;30070;Hsinchu City;Hsinchu City;Taiwan (Chinese Taipei);
1000657;Yiyu Integrated Paper Industry Supplies Co Ltd;4;+886(2)29213363;;www.yiyu511.com.tw/;www.abb.com;1F.,No.603, Zhong Zheng RD.,Yung Ho District;23447;Yonghe City;New Taipei City;Taiwan (Chinese Taipei);
1000686;Chuwei Technology Co Ltd;4;;service@chuwei.tw;www.chuwei.tw;www.abb.com;No. 39, Dinghu 3rd St., Guishan Dist.;33378;Taoyuan;Taoyuan City;Taiwan (Chinese Taipei);
1000720;Da Shiang Automation Industrial Co;4;+88633756088;service@dsa-atuo.com.tw;www.dsa-auto.com.tw/tc/index.php;www.abb.com;No 31, Xingbang Rd., Taoyuan District;33370;Guishan Township;Taoyuan City;Taiwan (Chinese Taipei);
1000890;JDR Consulting Ltd;4;+886222982970;info@jdr-ltd.com.tw;www.jdr-ltd.com.tw;www.abb.com;6F-10, No.1, Wuquan 1st Rd.;24892;Xinzhuang Dist.,;New Taipei City;Taiwan (Chinese Taipei);
1000906;Kinetic Systems Engineering & Services Inc;4;+886226984762;;www.kinetic.com.tw;www.abb.com;19F- 1, No.79, Sec. 1, Xintai 5th Rd.;22147;Xizhi Dist.;New Taipei City;Taiwan (Chinese Taipei);
1000934;Maple-Tek Enterprise Co Ltd;4;+886227385766;sales@maple-tek.com.tw;www.maple-tek.com.tw;www.abb.com;No. 9, Leye St., Da'an Dist.;10675;Taipei City;Taipei City;Taiwan (Chinese Taipei);
