Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999583;Advanced Automation LLC;4;+1(844)754-3292;info@advautomation.us;www.nhautomation.com;www.abb.com;27 Production Dr;03802;Dover;New Hampshire;United States;
999617;Production Systems Automation;4;+16103876938;;www.psasystems.com;www.abb.com;1 Crozerville Rd;19014;Aston;Pennsylvania;United States;
999625;Purvis Industries;4;+18005805588;;www.purvisindustries.com/;www.abb.com;10500 N Stemmons Frwy;75220;Dallas;Texas;United States;
999627;Q Comp Technologies Inc;4;+1(920)757-0775;mseager@qcomptech.com;www.qcomptech.com;www.abb.com;W6564 Quality Dr;54942;Greenville;Wisconsin;United States;
999738;Sunshine Machining;4;+19413516330;scalvert@sunshinemachining.com;www.sunshine-automation.com/;www.abb.com;7245 16th street east #114;34243;Sarasota;Florida;United States;
999772;TSR Solutions LLC;4;+1720480-3484;sales@tsrsolutions.co;tsrsolutions.co;www.abb.com;7304 S Alton Way #3D.;80112;Englewood;Colorado;United States;
999778;United Robotics Inc;4;+1(479)419-5031;sales@unitedroboticsinc.com;unitedroboticsinc.com;www.abb.com;355 B E Hwy 264;72764;Springdale;Arkansas;United States;
999798;WINN MARION BARBER LLC WINN MARION CENTENNIAL WINN MARION Inc;4;+13037786767;;www.winn-marion.com;www.abb.com;7151 S BLACKHAWK ST;80112;Centennial;Colorado;United States;
999867;Artmark Associates Inc;4;+13057159800;;www.es.associates.artmark.com;www.abb.com;11315 NW 36th Ter;33178-1888;Miami;Florida;United States;
999960;Critical Power Solutions Group Inc;4;+15137165140;sales@cpsgroupinc.net;www.cpsgroupinc.net;www.abb.com;7440 Southwest 50th Terrace;33155;Miami;Florida;United States;
1000026;ELECTRIC MOTOR SHOP AND SUPPLY ELECTRIC MOTOR SHOP;4;+15596501153;;www.electricmotorshop.net;www.abb.com;253 Fulton St;93721;Fresno;California;United States;
1000119;ArcRite Automation LLC;4;+18604424325;skip@arcriteautomation.com;www.arcriteautomation.com;www.abb.com;70 FOSTER RD UNIT 2 BLD F;06385;Waterford;Connecticut;United States;
1000136;Automation Industrial Group LLC;4;+1(423)875-8862;sales@automationig.com;www.automationig.com;www.abb.com;106 Spring Rd;37405;Chattanooga;Tennessee;United States;
1000138;Automation Systems and Designs;4;+19373870351;sales@asddayton.com;www.asddayton.com;www.abb.com;6222 Webster St;45414-4238;Dayton;Ohio;United States;
1000139;AUTOMATION X CORP CORPORATE BILLING;4;+18008982899;;www.automation-x.com;www.abb.com;3801 AUTOMATION WAY SUITE 180;82520-2845;Fort Collins;Colorado;United States;
1000252;Industrial Concepts Inc;4;+18433838507;;www.industrialconceptsinc.com;www.abb.com;2457 Ousleydale Rd;29550;Hartsville;South Carolina;United States;
1000297;Kemper Controls Inc;4;+15134690440;sales@kempercontrols.com;www.kempercontrols.com;www.abb.com;8170 Corporate Park Dr Ste 250;45242;Cincinnati;Ohio;United States;
1000330;Manuel Freije Arce Inc;4;+17877692933;info@freije.biz;www.freije.biz;www.abb.com;Km 3 2 Brrio Plmas Rr 165;00962;Catano;Puerto Rico;United States;
1000340;Mclean Technology Group;4;+16153464909;sales@mcleantechnoologygroup.com;;www.abb.com;1425 Gartland Ave;37206;Nashville;Tennessee;United States;
1000342;Measurement & Control Products Inc;4;+17572299993;;www.mcpinc.us;www.abb.com;245 Mclaws Circle, Suite 120;23185-5870;Williamsburg;Virginia;United States;
1000382;Neponset Controls Inc;4;+15085434801;;www.neponsetcontrols.com/;www.abb.com;71 Elm St Unit 1;02035;Foxborough;Massachusetts;United States;
1000386;North Coast Electric Co;4;+12064429898;;www.northcoastelectric.com;www.abb.com;2450 8th Ave S Ste 200;98134-2005;Seattle;Washington;United States;
1000411;Peco International Electric Inc;4;305-591-7124;accounts@pecointlelec.com;www.pecointlelec.com;www.abb.com;7983 85 Nw 33rd St;33127;Miami;Florida;United States;
1000415;PIC Electric Inc;4;(305)825-9970;sales@picelectric.com;www.picelectric.com;www.abb.com;14058 NW 82 Ave.;33016;Miami Lakes;Florida;United States;
1000422;Power Mation Division Inc;4;+18008439859;;www.powermation.com/;www.abb.com;1310 Energy Ln;55108;Saint Paul;Minnesota;United States;
1000521;RJ Gross and Associates Inc;4;+18772683700;;grossautomation.com;www.abb.com;3680 N 126th St;53005;Brookfield;Wisconsin;United States;
1000522;RMGroup US LLC;4;+13028034080;sales@rmgroupus.com;www.rmgroupus.com;www.abb.com;C/O The corporation trust company1209 Orange Street;19801;Wilmongton;Delaware;United States;
1000541;Senergy Electric;4;+13055921845;mauricio.indaburu@senergyelectric.com;www.senergyelectric.com;www.abb.com;6394 Nw 97th Ave;33178;Miami;Florida;United States;
1000616;Tecno Lite De Puerto Rico Inc;4;+17877528252;;www.tecnolite.com;www.abb.com;Ave Campo Rico GJ18;00982;Carolina;Puerto Rico;United States;
1000627;TOP DRIVE;4;+5718966287;servicioalcliente@topdrive.com.co;topdrive.com.co/;www.abb.com;1001 Brickell Drive, Suite 2700 G-2;33131;Miami;Florida;United States;
1000670;BluePrint Automation;4;+18045205400;sales@blueprintautomation.com;www.blueprintautomation.com;www.abb.com;4093 Specialty Place;80504;Longmont;Colorado;United States;
1000678;Byron Automation LLC;4;+15096532100;;www.byronautomation.com/;www.abb.com;70 Locust Ln;98937-8805;Naches;Washington;United States;
1000704;Con-Vey LLC;4;+15416725506;sales@con-vey.com;www.con-vey.com;www.abb.com;526 NE Chestnut Avenue;97470;Roseburg;Oregon;United States;
1000782;EVANS ENTERPRISES INC;4;+19185871566;;www.goevans.com;www.abb.com;2002 SOUTHWEST BLVD;74107;Tulsa;Oklahoma;United States;
1000783;Evans Enterprises Inc;4;+14796481500;;www.goevans.com;www.abb.com;4300 Planters Rd;72908;Fort Smith;Arkansas;United States;
1000784;Evans Enterprises Inc;4;+12547724710;;www.goevans.com;www.abb.com;201 S Industrial Dr;76710;Waco;Texas;United States;
1000791;Fallas Automation Inc;4;+12547729524;sales@fallasautomation.com;www.fallasautomation.com;www.abb.com;7000 Imperial Dr;76712;Waco;Texas;United States;
1000792;Farason Corp;4;+1610383-6224;sales@farason.com;www.farason.com;www.abb.com;855 Fox Chase Ste 102;19320;Coatesville;Pennsylvania;United States;
1000794;Fleaux Services Of Louisiana LLC;4;+1318-603-0024;;www.fleaux.com;www.abb.com;230 Lynbrook Blvd;71106;Shreveport;Louisiana;United States;
1000838;Hi Tech Products Inc;4;+17872571707;automation@hi-techproducts.com;www.hi-techproducts.com;www.abb.com;Ave Sancehz Osorio 2mr 581;00983;Carolina;Puerto Rico;United States;
1000843;House Of Design;4;+12084891625;sdittrich@thehouseofdesign.com;www.thehouseofdesign.com;www.abb.com;16141 N 20TH ST;83687;Nampa;Idaho;United States;
1000859;Industrial Automation Solutions Inc;4;+1866243-2402;info@iasworldwide.com;www.iasworldwide.com;www.abb.com;5125 S Towne Dr;53151;New Berlin;Wisconsin;United States;
1000864;InMotion LLC;4;+1(931)7629217;sales@inmotionrobotics.com;www.inmotionrobotics.com;www.abb.com;180 Harvester Ave;38464-6960;Lawrenceburg;Tennessee;United States;
1000866;Innovation Tech LLC;4;+12489242448;sales@innovationtechllc.com;www.innovationtechllc.com;www.abb.com;29020 S. Wixom RoadSuite 100;48393;Wixom;Michigan;United States;
1000875;Integrated Power Services LLC;4;+1(318)222-9431;mrenfro@ips.us;www.ips.us;www.abb.com;1245 N Hearne Ave;71107;Shreveport;Louisiana;United States;
1000877;Integrated Power Services LLC;4;+18004480899;;www.ips.us;www.abb.com;1020 S Lipan St;80223;Denver;Colorado;United States;
1000885;ITM;4;+12106519066;mail@itm-texas.com;www.itm-texas.com;www.abb.com;5925 Corridor Pkwy;78154;Schertz;Texas;United States;
1000888;Jay Industrial Repair Inc;4;+12057911360;;www.jayIndustrial.com;www.abb.com;600 6th Ave;35060;Docena;Alabama;United States;
1000891;JET SPECIALTY INCBOERNE TX SITE;4;+18303319457;;www.jetspecialty.com;www.abb.com;211 Market Ave;78006-3050;Boerne;Texas;United States;
1000900;Kaitech Automation;4;+12088819521;info@kaitechautomation.com;kaitechautomation.com;www.abb.com;212 NW 10TH ST;83642;Meridian;Idaho;United States;
1000904;KC Robotics Inc;4;+15138604442;contact@kcrobotics.com;www.kcrobotics.com;www.abb.com;9000 LE ST DR;45014;West Chester;Ohio;United States;
1000933;MALLOY ELECTRIC AND BEARING SUPPLY DMG INC;4;+1605-336-3693;;www.malloyelectric.com;www.abb.com;809 W RUSSELL;57104;Sioux Falls;South Dakota;United States;
1000940;Massive Dimension;4;+18025056772;;www.massivedimension.com;www.abb.com;309 S Barre Road;05641;Barre;Vermont;United States;
1000948;Mesh Automation Inc;4;+18885067697;;www.meshautomationinc.com;www.abb.com;268 Successful Way;30534;Dawsonville;Georgia;United States;
1000954;Midwest Engineered Systems Inc;4;+12049893636;info@mwes.com;www.mwes.com;www.abb.com;W 238 N1800 Rockwood Dr;53188;Waukesha;Wisconsin;United States;
1000963;Multi Craft Contractors Inc;4;+14797514330;robotsupport@multi-craft.net;www.multi-craft.net;www.abb.com;2300 N Lowell Rd;72764;Springdale;Arkansas;United States;
1000986;Oxygen Service Co Inc;4;+1(800)774-1336;info@oxyserv.com;www.oxygenservicecompany.com;www.abb.com;1111 Pierce Butler Rte;55104-1450;Saint Paul;Minnesota;United States;
1001003;Platt Electric Supply Inc Rexel USA Inc;4;+15036416121;;www.platt.com;www.abb.com;10605 S W Allen Blvd;97005-4828;Beaverton;Oregon;United States;
