Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1009833;ADCON COMPUTER LLC;4;;sales@adconstore.com;www.adconstore.com;www.se.com;Dalls Hotel Building;AE;Dubai;;unitedarabemirates;
1009834;ADDED VALUE COMPUTER TECHNOLOGY ( AVCO ) - L L C;4;+971555763025;omar_salem@avco.ae;www.avco.ae;www.se.com;Abu Dhabi - Dalma Street - Near ADDC Office;AE;Abu Dhabi;Abu Dhabi;unitedarabemirates;
1009835;AVALON DATA SYSTEMS LLC;4;+971-2-6417605;jibink@avalon.ae;www.avalon.ae;www.se.com;M1, Al Mahariya Building;109184;Abu dhabi;Abu Dhabi;unitedarabemirates;
1009836;AVANCEON FZE;4;+97148860277;msaim@avanceon.ae;avanceon.ae/;www.se.com;Dubai;AE;Dubai;;unitedarabemirates;
1009839;Blue Rack General Trading;4;96566884609;firas@bluerk.com;www.bluerk.com;www.se.com;Old Ministry of Education Bldg , Mergab;13061;Kuwait;Dubai;unitedarabemirates;
1009840;BLUECHIP COMPUTER SYSTEMS LLC;4;0557860987;inder@bluechipgulf.com;;www.se.com;AL JAHRA BLDG,OFFICE-703,KHALID BIN AL WALEED BUR DUBAI;233468;DUBAI;Dubai;unitedarabemirates;
1009841;Bradaran Faizzad LTD;4;2210409;afghanfar@faizzadbros.com;WWW.FAIZZADBROS.COM;www.se.com;office #23 &24Jabar Naiem Super Market Kolola Pushta;1001;Kabul;;unitedarabemirates;
1009842;Britlite Engineering Company;4;;abdul.ghani@britlite.net;https://britlite.net/;www.se.com;12 - C, First Floor, Seher Lane No. 9, Phase 7, D.H.A., Kara;75500;Karachi;;unitedarabemirates;
1009843;Business Excellence;4;+923425900900;sali_khan@hotmail.com;www.be-pk.com;www.se.com;House # 352, Street # 68, MPCHS, Sector E-11/3, Islamabad;44000;Islamabad;;unitedarabemirates;
1009844;centrix it solutions llc;4;044213394;ifthikar@centrixme.com;;www.se.com;#710,The Binary,Business Bay;114684;Dubai;Dubai;unitedarabemirates;
1009845;Afghan AL-NOORI Co.LTD;4;+93(0)786634500;info@aanlco.com;www.aanlco.com;www.se.com;2nd Sulh Road, Haris Computer Plaza, First Floor, Shop Number 104,;24000;Shar-e-Now, Haji Yaqoub Squire, Kabul;;unitedarabemirates;
1009846;CNS Engineering;4;+924232560257;kashif.hussain@cnse.com.pk;www.cnsint.com;www.se.com;70 -XX Commercial Area, Khayabaan-e-Iqbal, DHA Phase III, Lahore , Pakistan;54000;Lahore;;unitedarabemirates;
1009847;Comtrack Solution;4;;rajeev@comtracksolution.com;www.comtracksolution.com;www.se.com;Al Nahda Rd;AE;Dubai;;unitedarabemirates;
1009848;Concept Care Technologies LLC;4;+971558085091;info@conceptcare.net;www.conceptcare.net;www.se.com;Office#100, CBD Bldg., Mankhool St.;103687;Dubai;Dubai;unitedarabemirates;
1009849;DATACRAFT NETWORKS;4;00971-43522170;ajay@dcnme.net;www.dcnme.net;www.se.com;62539 DUBAI;AE;BURDUBAI;Dubai;unitedarabemirates;
1009850;DBZeus LLC;4;+971556707891;jm.arun@dbzeus.com;www.dbzeus.com;www.se.com;SHAMS, SHARJAH MEDIA CITY;515000;Sharjah;Sharjah;unitedarabemirates;
1009852;DIC - Design Integrate Construct;4;+971569876552;esiam@dic-me.com;www.dic-me.com;www.se.com;202, Le Solarium Building DSO;18 4542 AE;Dubai;Dubai;unitedarabemirates;
1009853;Dolphin Computers L.L.C.;4;;farook@dolphindubai.com;;www.se.com;Khalid Bin Al Waleed Street, Bur Dubai;;Dubai;;unitedarabemirates;
1009854;DWP Technologies;4;923008459505;munib.khawaja@dwp.com.pk;;www.se.com;5 Zafar Ali Road, Gulberg-V;44000;Lahore;;unitedarabemirates;
1009855;Electronic Control Industrial Services;4;+971559239000;sales@ecisuae.com;www.ecisuae.com;www.se.com;Sharjah Industrial Area no15, S102 ,wh 10 Near Ring Road Bridge;AE;Sharjah;Sharjah;unitedarabemirates;
