Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001144;LEGRAND VIETNAM;4;;;www.legrand.com.vn;www.legrand.com;Central GardenTower, 7th floor 328 Vo Van Kiet Ward Co Giang, Dist. 1 Vietnam;;;;vietnam;
1009918;A&E ENGINEERING CO.LTD;4;0903373586;truong.loc@aecom.vn;aecom.vn;www.se.com;100 KY CON ST., NGUYEN THAI BINH WARD, DIST. 1;700000;Ho Chi Minh;;vietnam;
1009920;Bao Long Development Corporation;4;938012777;thietdinh46@gmail.com;;www.se.com;11A, ngo 395 duong Xuan Dinh, Phuong Xuan Dinh;;Ha Noi;;vietnam;
1009921;Saigon Lab;4;(+84)933051150;thanhliem@saigonlab.vn;saigonlab.vn/;www.se.com;643 Dien Bien Phu, Ward 1, District 3;700000;Ho Chi Minh;;vietnam;
1009922;SaoBacDau Technologies Corporation;4;2837700968;thanhbh@saobacdau.vn;www.saobacdau.vn;www.se.com;U14b-16a, Road 22, Tan Thuan EPZ, Tan Thuan Dong Ward, Dist. 7;700000;Ho Chi Minh;;vietnam;
1009924;SIEU SIEU NHO (SSN);4;84-028-73073776;ssn@sieuthimaychu.vn;https://www.sieuthimaychu.vn/;www.se.com;750 Su Van Hanh Street, Ward 12, District 10, Ho Chi Minh City, Vietnam;700000;HO CHI MINH;;vietnam;
1009925;Sunhitech Corp;4;902894999;info@sunhitech.vn;;www.se.com;Tầng 6, Toà Nhà Fimexco, 231-233 Le Thanh Ton, P Ben Thanh;84;HCM;;vietnam;
1009926;SUNMEDIA CORPORATION;4;0939800500;oanhtb@smediavn.com;smediavn.com;www.se.com;115 Nguyen Thong St, W6, D3;84;HCMC;;vietnam;
1009927;SUNSHINESOLUTIONS Co. Ltd.;4;84918919313;dung.ntk@sunshinesolutions.vn;;www.se.com;C12 - C13 Ngyen Oanh P. 17 Q. Go Vap;700000;Ho Chi Minh;;vietnam;
1009928;TAM CAO SOLUTION CORPORATION;4;84935679300;loc.le@tamcao.com.vn;;www.se.com;40/3 HUYNH MAN DAT ST, WARD 19, BINH THANH DIST.;;HO CHI MINH CITY;;vietnam;
1009930;Thakral One Co.,Ltd - Ha Noi;4;;thanhthao@thakralone.com;www.thakralone.com/;www.se.com;18thFloor, Icon 4 Tower, 243A De La Thanh, Dong Da, Hanoi;10000;Ha Noi;;vietnam;
1009931;Chi Thinh Servics Trading Co .,Ltd;4;0903333358;chithinhcp@gmail.com;;www.se.com;96/12 Duy Tan Street, Ward 15, Phu Nhuan District;84;HCMC;;vietnam;
1009932;Thang Loi Service Co., Ltd.;4;0918102501;tuanpham@vftrader.com;;www.se.com;41, Nguyễn Khoái, Phường 1, Quận 4;;HCM;;vietnam;
