Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1000030;Electrical Maintenance Lusaka Ltd;4;00260211227824;sales@eml-eis.com;;www.abb.com;Luanshya Road East End Plot 195;10101;Zambia za;Zambia;Zambia;
1001055;Legrand;4;;;www.legrand.co.za;www.legrand.com;21 Spartan Crescent - Eastgate Extension 3 Sandton - 2054 Johannesburg Afrique du sud;;;;zambia;
1010046;Accurate Sheet Metal Ltd.;4;+260772404277;satender_kitwe@outlook.com;https://www.asmlafrica.com;www.se.com;Shop No. 5, Plot No. 1256/D, Zomba Road, Light Industrial Area;10101;Kitwe;;zambia;
1010047;hyphotech engineering;4;+260977480912;anoldmumba@gmail.com;;www.se.com;plot 1176 nyati closeplot 1176 nyati close;10101;lusaka;;zambia;
1010048;Ka Hong Viet Nam Co., Ltd;4;;hieupham@kahongvn.com;https://www.sunstrong.com/;www.se.com;No. 30, Street 01, VSIP 2, Hoa Phu Ward, Thu Dau Mot City, Binh Duong Province, Viet Nam;75000;Thu Dau Mot;;zambia;
1010049;Kinetheos Technologies Limited;4;+260763888645;kasalwe@crystaline.co.zm;;www.se.com;Ash Road;10101;Lusaka;;zambia;
1010050;MIKE-TECH GENERAL DEALERS LIMITED;4;260955846199;infor@miketechzambia.com;https://www.miketechzambia.com;www.se.com;Plot 525, Hybride Area Chamba Valley;10101;LUSAKA;;zambia;
1010051;Necor Zambia Ltd;4;+2602112297825;rmulombe@necor.co.zm;www.necor.co.zm;www.se.com;2 Lonhro House;31465;Lusaka;;zambia;
1010052;NEPORTECH LIMITED;4;+260-972-899-877;sales@neportechlimited.com;www.neportechlimited.com;www.se.com;3072/m/2 off zambezi road foxdale;10101;lusaka;;zambia;
1010054;OfficeCorp Limited;4;+260974774796;king@officecorpltd.com;;www.se.com;Plot S/D 92/50a Balmoral,Box 50186, and No.8,Lukasu Road, Rhodespark,Lusaka.;10101;LUSAKA;;zambia;
1010056;Slick General Supply Limited;4;+260770080860;sales@slick-supply.com;https://www.facebook.com/Slickgeneralsuppliers;www.se.com;11965 Ngwerere;10101;Lusaka;;zambia;
1010057;Blue Lithium Communications;4;;moses@blue-lithium.com;;www.se.com;Second Floor Elunda Park 2, Rhodes Park;10101;Lusaka;;zambia;
1010059;Transcendent Business Solutions Ltd;4;260955543523;arthurs@tbsl.co.zm;www.tbsl.co.zm;www.se.com;Plot No 45 of Farm 34A,Off Great East Rd,Waterfalls;10101;Lusaka;;zambia;
1010060;verstcom Engineerings;4;+260953647314;sophiezulu1@gmail.com;;www.se.com;VERSTCOM ENGINEERING LIMITED PLOT No: 24753 Hill view, Chalala,Lusaka TEL: +260- 953 647 314, 969 746 000, 955 746 000 EMAIL: verstcom.eng@gmail.com;10101;lusaka;;zambia;
1010061;Worksnet Solutions Limited;4;260-977-581720;info@worksnetsolutions.org;https://www.worksnetsolutions.org;www.se.com;Room 117, Chitanda House,;ZM;Kabwe;;zambia;
1010062;Xcute Business Solutions Limited;4;+260974334798;info@xcutebusiness.com;www.xcutebusiness.com;www.se.com;6047, Mutanda Street, Chikola B;10101;Chingola;;zambia;
1010063;Complete Enterprise Solutions;4;;cnakazwe@zm.ces-africa.com;;www.se.com;Unit 2, La Belva Court Plot 417 Chindo Road Kabulonga;10101;Lusaka;;zambia;
1010065;Computers For Africa Solutions Limited;4;+260965445161;mwila@comp4africa.com;www.comp4africa.com;www.se.com;Plot 10426 Mandahill road Olympia;10101;Lusaka;;zambia;
1010066;Computers for Africa Solutions Ltd;4;+260211234664;njekwa@comp4africa.com;www.comp4africa.com;www.se.com;No. 8, Chinundu Road, Woodlands Extension;10101;Lusaka;;zambia;
1010067;CONCEPT TECHNOLOGIES LIMITED;4;0211221183/4;ricardonkanza@gmail.com;WWW.CONCEPTZAMBIA.COM;www.se.com;3rd FLOOR TAZARA HOUSE;50100;LUSAKA;;zambia;
1010068;Electrical Maintenance Lusaka Ltd;4;+260211227825;sureshsadhu79@gmail.com;www.eml-eis.com;www.se.com;Luanshya Road East-End;31189;Lusaka;;zambia;
1010069;Hynex Technologies Limited;4;260967316967;sales@hynextechnologies.com;https://www.hynextechnologies.com;www.se.com;Suite No. 10, Ifintu Auction Building, Along Zomba Road;10101;Kitwe;;zambia;
